time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4715,0.3236,0.3222,0.363,anxious,0.442,0.0
0.008333,N1,0.5103,0.3061,0.3204,0.3271,anxious,0.375,0.0
0.016667,N1,0.4938,0.3152,0.3052,0.3644,curious,0.398,0.0
0.025,N1,0.4929,0.3075,0.3181,0.3307,anxious,0.391,0.0
0.033333,N1,0.4804,0.2978,0.2844,0.3529,joyful,0.455,0.0
0.041667,N1,0.496,0.2957,0.285,0.3165,anxious,0.365,0.0
0.05,N1,0.5001,0.3151,0.2923,0.3494,anxious,0.426,0.0
0.058333,N1,0.5025,0.2746,0.2912,0.3454,serene,0.422,0.0
0.066667,N3,0.2908,0.1924,0.1937,0.3384,anxious,0.35,0.0
0.075,N3,0.2967,0.1775,0.1727,0.3517,melancholic,0.35,0.0
0.083333,N3,0.3045,0.2278,0.1956,0.3632,anxious,0.35,0.0
0.091667,N3,0.3198,0.1982,0.1949,0.352,anxious,0.35,0.0
0.1,N3,0.293,0.2174,0.151,0.3561,neutral,0.35,0.0
0.108333,N3,0.3154,0.2123,0.1783,0.3544,anxious,0.35,0.0
0.116667,N3,0.3126,0.1886,0.2253,0.3318,anxious,0.35,0.0
0.125,N3,0.3039,0.2264,0.2315,0.3714,anxious,0.35,0.0
0.133333,N3,0.2753,0.1955,0.2108,0.3348,anxious,0.35,0.0
0.141667,N3,0.3446,0.1561,0.1821,0.3455,anxious,0.35,0.0
0.15,N3,0.3203,0.2275,0.1864,0.3431,anxious,0.35,0.0
0.158333,N3,0.2838,0.2116,0.2207,0.3447,fearful,0.35,0.0
0.166667,N3,0.3282,0.2138,0.2049,0.3487,curious,0.35,0.0
0.175,N3,0.2896,0.1753,0.205,0.3432,anxious,0.35,0.0
0.183333,N3,0.3007,0.1963,0.1854,0.3274,joyful,0.35,0.0
0.191667,N3,0.3181,0.1656,0.2053,0.3376,anxious,0.35,0.0
0.2,N3,0.3038,0.1719,0.2196,0.3188,melancholic,0.35,0.0
0.208333,N3,0.2866,0.2023,0.2288,0.314,fearful,0.35,0.0
0.216667,N3,0.2886,0.2286,0.2044,0.3404,fearful,0.35,0.0
0.225,N3,0.3063,0.1818,0.2127,0.3143,anxious,0.35,0.0
0.233333,N3,0.2685,0.2058,0.1757,0.2948,neutral,0.35,0.0
0.241667,N3,0.2914,0.2055,0.2243,0.3142,anxious,0.35,0.0
0.25,N3,0.2773,0.1948,0.1805,0.3327,serene,0.35,0.0
0.258333,N3,0.2912,0.1933,0.2329,0.2922,fearful,0.35,0.0
0.266667,N3,0.2823,0.236,0.2293,0.3376,anxious,0.342,0.0
0.275,N3,0.2933,0.2154,0.1777,0.339,anxious,0.35,0.0
0.283333,N3,0.3136,0.2273,0.1805,0.3492,anxious,0.35,0.0
0.291667,N3,0.3118,0.1789,0.2013,0.2851,anxious,0.35,0.0
0.3,N2,0.4403,0.2768,0.2791,0.323,anxious,0.448,0.0
0.308333,N2,0.4917,0.2638,0.3001,0.2821,anxious,0.502,0.0
0.316667,N3,0.3345,0.1917,0.2098,0.3181,neutral,0.35,0.0
0.325,N3,0.3233,0.2078,0.228,0.2968,anxious,0.35,0.0
0.333333,N3,0.3107,0.2026,0.1782,0.303,curious,0.35,0.0
0.341667,N3,0.3129,0.1577,0.2057,0.2833,anxious,0.35,0.0
0.35,N3,0.2659,0.202,0.2211,0.3439,anxious,0.35,0.0
0.358333,N3,0.3135,0.2199,0.1773,0.2833,anxious,0.35,0.0
0.366667,N3,0.2908,0.2149,0.1998,0.316,anxious,0.35,0.0
0.375,N3,0.33,0.1996,0.2105,0.3202,fearful,0.35,0.0
0.383333,N3,0.3166,0.2409,0.1785,0.2853,melancholic,0.35,0.0
0.391667,N3,0.26,0.226,0.2004,0.3305,anxious,0.35,0.0
0.4,N3,0.2646,0.1715,0.204,0.3143,anxious,0.35,0.0
0.408333,N3,0.2963,0.1786,0.199,0.3365,neutral,0.35,0.0
0.416667,N3,0.3157,0.2042,0.1975,0.2968,melancholic,0.35,0.0
0.425,N3,0.3194,0.1985,0.1857,0.3273,fearful,0.326,0.0
0.433333,N3,0.3029,0.1932,0.1875,0.311,anxious,0.35,0.0
