time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5197,0.3282,0.3007,0.3438,anxious,0.579,0.0
0.008333,N1,0.4681,0.2826,0.3511,0.3323,anxious,0.455,0.0
0.016667,N1,0.5069,0.2976,0.2971,0.3611,fearful,0.578,0.0
0.025,N1,0.51,0.3163,0.3163,0.3588,anxious,0.521,0.0
0.033333,N1,0.5142,0.3147,0.297,0.3709,melancholic,0.559,0.0
0.041667,N1,0.5062,0.2864,0.2718,0.3151,anxious,0.566,0.0
0.05,N1,0.4823,0.3159,0.3347,0.3635,melancholic,0.525,0.0
0.058333,N1,0.4972,0.3123,0.3122,0.3708,anxious,0.512,0.0
0.066667,N1,0.4671,0.3109,0.364,0.3236,anxious,0.551,0.0
0.075,N1,0.4819,0.2906,0.2872,0.3519,anxious,0.526,0.0
0.083333,N2,0.4647,0.27,0.3158,0.333,anxious,0.598,0.0
0.091667,N2,0.4262,0.2736,0.275,0.3485,anxious,0.687,0.0
0.1,N2,0.4756,0.2681,0.2913,0.322,anxious,0.651,0.0
0.108333,N2,0.397,0.2721,0.2594,0.315,anxious,0.632,0.0
0.116667,N2,0.466,0.3219,0.2889,0.3479,anxious,0.608,0.0
0.125,N2,0.4608,0.301,0.2604,0.3124,melancholic,0.603,0.0
0.133333,N2,0.4484,0.2722,0.2549,0.3801,anxious,0.591,0.0
0.141667,N2,0.4708,0.3084,0.2826,0.318,fearful,0.602,0.0
0.15,N2,0.4413,0.29,0.2516,0.3629,anxious,0.613,0.0
0.158333,N2,0.4404,0.2845,0.2984,0.37,neutral,0.618,0.0
0.166667,N2,0.4529,0.2897,0.2956,0.3502,serene,0.649,0.0
0.175,N2,0.4457,0.2771,0.2729,0.3145,anxious,0.605,0.0
0.183333,N2,0.4208,0.2713,0.2801,0.3508,anxious,0.583,0.0
0.191667,N2,0.4409,0.2693,0.2802,0.3075,fearful,0.584,0.0
0.2,N2,0.4545,0.3025,0.2588,0.3154,neutral,0.674,0.0
0.208333,N2,0.4406,0.2543,0.2684,0.3015,curious,0.624,0.0
