time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5258,0.3352,0.3004,0.3323,joyful,0.409,0.0
0.083333,N2,0.4341,0.2907,0.2894,0.3524,joyful,0.368,0.0
0.166667,N2,0.4506,0.2938,0.2977,0.3231,neutral,0.392,0.0
0.25,N2,0.4565,0.2594,0.2634,0.3521,anxious,0.446,0.0
0.333333,N2,0.4631,0.2991,0.2735,0.3597,neutral,0.474,0.0
0.416667,N3,0.3096,0.1927,0.1869,0.3014,joyful,0.35,0.0
0.5,N3,0.3052,0.1817,0.2596,0.3108,neutral,0.35,0.0
0.583333,N3,0.3047,0.1924,0.2087,0.3509,melancholic,0.35,0.0
0.666667,N3,0.2867,0.212,0.2232,0.251,melancholic,0.35,0.0
0.75,N2,0.4582,0.2561,0.302,0.2899,joyful,0.391,0.0
0.833333,N2,0.458,0.2784,0.293,0.3213,neutral,0.396,0.0
0.916667,N2,0.4496,0.3094,0.2979,0.2791,joyful,0.388,0.0
