time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5114,0.3292,0.2553,0.3516,curious,0.386,0.0
0.083333,N2,0.4039,0.2724,0.2568,0.3397,neutral,0.337,0.0
0.166667,N2,0.4475,0.2482,0.2664,0.3142,neutral,0.452,0.0
0.25,N2,0.4438,0.2844,0.3097,0.3384,neutral,0.432,0.0
0.333333,N2,0.4581,0.297,0.2588,0.3279,anxious,0.416,0.0
0.416667,N3,0.2979,0.1956,0.2138,0.315,joyful,0.35,0.0
0.5,N3,0.3041,0.1787,0.2113,0.3101,melancholic,0.35,0.0
0.583333,N3,0.2808,0.1765,0.2062,0.2798,joyful,0.35,0.0
0.666667,N3,0.308,0.2125,0.2385,0.2921,joyful,0.35,0.0
0.75,N3,0.302,0.1955,0.1717,0.3206,neutral,0.35,0.0
0.833333,N3,0.2903,0.1528,0.1567,0.3103,joyful,0.35,0.0
0.916667,N3,0.2906,0.2156,0.1817,0.2687,joyful,0.346,0.0
