time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.462,0.3043,0.3292,0.3531,neutral,0.349,0.0
0.008333,N1,0.4777,0.2609,0.3097,0.3843,neutral,0.445,0.0
0.016667,N1,0.491,0.2663,0.3428,0.3247,neutral,0.384,0.0
0.025,N1,0.5044,0.2889,0.3101,0.318,neutral,0.391,0.0
0.033333,N1,0.4773,0.2884,0.2942,0.3724,anxious,0.347,0.0
0.041667,N1,0.4976,0.2969,0.2757,0.2984,melancholic,0.42,0.0
0.05,N1,0.5161,0.2928,0.3089,0.3737,neutral,0.39,0.0
0.058333,N1,0.5015,0.3013,0.3088,0.3633,neutral,0.351,0.0
0.066667,N1,0.5074,0.3458,0.3098,0.3949,joyful,0.375,0.0
0.075,N1,0.498,0.3131,0.2794,0.3424,neutral,0.373,0.0
0.083333,N2,0.4517,0.2751,0.3099,0.3353,joyful,0.396,0.0
0.091667,N2,0.4638,0.2531,0.2668,0.3215,joyful,0.377,0.0
0.1,N2,0.4515,0.3131,0.3103,0.3415,melancholic,0.406,0.0
0.108333,N2,0.4202,0.2752,0.2944,0.3177,anxious,0.412,0.0
0.116667,N2,0.3888,0.3032,0.2755,0.3327,joyful,0.372,0.0
0.125,N2,0.4057,0.2981,0.321,0.3577,curious,0.408,0.0
0.133333,N2,0.4403,0.2683,0.3075,0.3111,joyful,0.399,0.0
0.141667,N2,0.4238,0.3038,0.2827,0.3011,joyful,0.448,0.0
0.15,N2,0.4256,0.2978,0.3056,0.3321,neutral,0.42,0.0
0.158333,N2,0.4655,0.2799,0.2824,0.3566,anxious,0.396,0.0
0.166667,N2,0.4725,0.2936,0.2715,0.3286,joyful,0.367,0.0
0.175,N2,0.4144,0.2696,0.2753,0.3449,serene,0.335,0.0
0.183333,N2,0.4426,0.2459,0.2707,0.3417,joyful,0.43,0.0
0.191667,N2,0.4391,0.3045,0.2355,0.3316,curious,0.422,0.0
0.2,N2,0.4609,0.2902,0.2553,0.3015,serene,0.41,0.0
0.208333,N2,0.4671,0.2478,0.2627,0.3454,serene,0.401,0.0
0.216667,N2,0.4509,0.2553,0.2909,0.3096,curious,0.381,0.0
0.225,N2,0.4334,0.3013,0.2678,0.3433,curious,0.409,0.0
0.233333,N2,0.4581,0.27,0.2654,0.3518,neutral,0.384,0.0
0.241667,N2,0.4363,0.3036,0.2997,0.3426,curious,0.415,0.0
0.25,N2,0.4226,0.3048,0.2944,0.3323,curious,0.386,0.0
0.258333,N2,0.425,0.2764,0.2846,0.2837,neutral,0.419,0.0
0.266667,N2,0.4524,0.2916,0.3038,0.3521,joyful,0.428,0.0
0.275,N2,0.4398,0.2707,0.2844,0.3401,neutral,0.406,0.0
0.283333,N2,0.4229,0.2742,0.2557,0.3502,fearful,0.376,0.0
0.291667,N2,0.4804,0.2974,0.2581,0.3133,curious,0.429,0.0
0.3,N2,0.4489,0.2803,0.2616,0.319,neutral,0.426,0.0
0.308333,N2,0.4427,0.2569,0.2972,0.3429,curious,0.415,0.0
0.316667,N2,0.4337,0.2282,0.2588,0.316,joyful,0.403,0.0
0.325,N2,0.4395,0.2726,0.2869,0.3102,curious,0.37,0.0
0.333333,N2,0.4058,0.2806,0.275,0.3017,joyful,0.405,0.0
0.341667,N2,0.4584,0.2607,0.2514,0.3319,joyful,0.466,0.0
