time_hours,node_id,node_label,activation
0.0,mem::being_late,being_late,0.3893
0.0,mem::bright_light,bright_light,0.3439
0.0,mem::recurring_journey,recurring_journey,0.3296
0.0,mem::familiar_face,familiar_face,0.3052
0.0,mem::dread,dread,0.2937
0.0,event::code_review,code review,0.2519
0.0,mem::being_chased,being_chased,0.2412
0.0,mem::childhood_home,childhood_home,0.2396
0.0,event::design_discussion,design discussion,0.2057
0.0,mem::school_corridor,school_corridor,0.1966
0.0,mem::falling,falling,0.1931
0.0,mem::flying,flying,0.1882
0.833333,mem::being_late,being_late,0.2549
0.833333,mem::bright_light,bright_light,0.216
0.833333,mem::dread,dread,0.2118
0.833333,mem::familiar_face,familiar_face,0.1985
0.833333,event::code_review,code review,0.193
0.833333,mem::being_chased,being_chased,0.1882
0.833333,mem::childhood_home,childhood_home,0.1873
0.833333,mem::recurring_journey,recurring_journey,0.1692
0.833333,mem::school_corridor,school_corridor,0.1679
0.833333,mem::falling,falling,0.1663
0.833333,mem::teeth_loosening,teeth_loosening,0.1618
0.833333,mem::loud_crowd,loud_crowd,0.1535
