time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.508,0.2725,0.2883,0.3519,curious,0.5,0.0
0.008333,N1,0.4703,0.3049,0.3035,0.3397,fearful,0.466,0.0
0.016667,N1,0.5229,0.3056,0.2901,0.3189,melancholic,0.5,0.0
0.025,N1,0.5176,0.2757,0.2789,0.3401,serene,0.443,0.0
0.033333,N1,0.4979,0.2833,0.3173,0.3179,anxious,0.455,0.0
0.041667,N1,0.5167,0.2627,0.3127,0.3157,joyful,0.468,0.0
0.05,N1,0.4861,0.3169,0.3096,0.3824,anxious,0.448,0.0
0.058333,N1,0.539,0.3033,0.3111,0.327,anxious,0.5,0.0
0.066667,N1,0.5068,0.2754,0.3087,0.3568,melancholic,0.465,0.0
0.075,N1,0.5139,0.3351,0.266,0.3611,anxious,0.442,0.0
0.083333,N1,0.5194,0.2638,0.3125,0.3449,neutral,0.443,0.0
0.091667,N1,0.4727,0.3122,0.2936,0.3192,fearful,0.463,0.0
0.1,N2,0.435,0.2704,0.252,0.348,anxious,0.45,0.0
0.108333,N2,0.4138,0.2948,0.2654,0.3849,serene,0.45,0.0
0.116667,N2,0.4617,0.2684,0.2611,0.3531,anxious,0.45,0.0
0.125,N2,0.4371,0.2859,0.2841,0.3513,curious,0.45,0.0
0.133333,N2,0.433,0.3031,0.2744,0.3205,anxious,0.45,0.0
0.141667,N2,0.46,0.2707,0.2696,0.3346,anxious,0.45,0.0
0.15,N2,0.4501,0.2953,0.2796,0.333,anxious,0.45,0.0
0.158333,N2,0.4728,0.3005,0.318,0.3179,curious,0.45,0.0
0.166667,N2,0.4335,0.3052,0.2642,0.3412,anxious,0.45,0.0
0.175,N2,0.4771,0.2908,0.2819,0.336,anxious,0.45,0.0
0.183333,N2,0.4185,0.27,0.2751,0.3212,anxious,0.45,0.0
0.191667,N2,0.4534,0.2729,0.283,0.3075,anxious,0.45,0.0
0.2,N2,0.4079,0.2665,0.2939,0.3563,anxious,0.45,0.0
0.208333,N2,0.4661,0.2955,0.2401,0.3558,anxious,0.45,0.0
0.216667,N2,0.4531,0.2665,0.2662,0.3547,anxious,0.45,0.0
0.225,N2,0.4656,0.2781,0.268,0.3306,melancholic,0.45,0.0
0.233333,N2,0.4714,0.2754,0.2762,0.3137,anxious,0.45,0.0
0.241667,N2,0.4875,0.3071,0.2937,0.3301,serene,0.45,0.0
0.25,N2,0.4591,0.2668,0.2918,0.3312,neutral,0.45,0.0
0.258333,N2,0.4773,0.2937,0.2818,0.3283,anxious,0.45,0.0
0.266667,N2,0.4451,0.2718,0.2572,0.2961,anxious,0.45,0.0
0.275,N2,0.4655,0.2884,0.2782,0.3237,curious,0.45,0.0
0.283333,N2,0.4278,0.2594,0.2585,0.3086,anxious,0.45,0.0
0.291667,N2,0.4484,0.2581,0.2702,0.3214,anxious,0.45,0.0
0.3,N2,0.4394,0.2815,0.2609,0.3105,joyful,0.45,0.0
0.308333,N2,0.4844,0.2927,0.238,0.3366,anxious,0.45,0.0
0.316667,N2,0.4554,0.2498,0.3019,0.3442,anxious,0.45,0.0
0.325,N2,0.4481,0.2718,0.2813,0.3541,anxious,0.45,0.0
0.333333,N2,0.478,0.2848,0.266,0.3218,curious,0.45,0.0
0.341667,N2,0.443,0.2888,0.2937,0.3291,curious,0.45,0.0
0.35,N2,0.46,0.2425,0.2948,0.3358,anxious,0.45,0.0
0.358333,N2,0.4541,0.2937,0.2806,0.3273,anxious,0.45,0.0
0.366667,N2,0.4625,0.2775,0.2404,0.3224,anxious,0.45,0.0
0.375,N2,0.4437,0.266,0.2685,0.3319,anxious,0.45,0.0
0.383333,N2,0.4656,0.3055,0.2597,0.3034,anxious,0.45,0.0
0.391667,N2,0.4577,0.2913,0.2708,0.2939,neutral,0.45,0.0
0.4,N2,0.4525,0.2813,0.2827,0.3101,anxious,0.45,0.0
0.408333,N2,0.4497,0.2889,0.3004,0.3324,fearful,0.45,0.0
0.416667,N2,0.4505,0.2931,0.2457,0.3596,anxious,0.45,0.0
0.425,N2,0.4629,0.2788,0.2779,0.3512,melancholic,0.45,0.0
0.433333,N2,0.4481,0.2639,0.2977,0.2858,anxious,0.45,0.0
0.441667,N2,0.4608,0.2925,0.2911,0.3119,fearful,0.45,0.0
0.45,N3,0.3232,0.2156,0.1574,0.3299,anxious,0.3,0.0
0.458333,N3,0.3038,0.2009,0.2263,0.2897,joyful,0.3,0.0
0.466667,N3,0.2894,0.1864,0.1724,0.3094,joyful,0.3,0.0
0.475,N3,0.2922,0.2112,0.155,0.274,melancholic,0.3,0.0
0.483333,N3,0.2981,0.1913,0.1739,0.2982,neutral,0.3,0.0
0.491667,N3,0.3007,0.198,0.2023,0.3307,anxious,0.3,0.0
0.5,N3,0.2688,0.179,0.1967,0.3067,anxious,0.3,0.0
0.508333,N3,0.2973,0.1801,0.2253,0.3473,anxious,0.3,0.0
0.516667,N3,0.2624,0.2064,0.2053,0.3197,curious,0.3,0.0
0.525,N3,0.3393,0.235,0.2278,0.2806,neutral,0.3,0.0
0.533333,N3,0.3085,0.2124,0.2041,0.3279,joyful,0.3,0.0
0.541667,N3,0.296,0.2048,0.2108,0.3228,fearful,0.3,0.0
0.55,N3,0.2814,0.1917,0.2126,0.2867,anxious,0.3,0.0
0.558333,N3,0.2945,0.1965,0.1831,0.2817,serene,0.3,0.0
0.566667,N3,0.2783,0.1814,0.1614,0.3119,anxious,0.3,0.0
0.575,N3,0.319,0.2197,0.1759,0.2952,anxious,0.3,0.0
0.583333,N3,0.2833,0.1956,0.2437,0.2947,anxious,0.3,0.0
0.591667,N3,0.3134,0.1833,0.1934,0.3175,fearful,0.3,0.0
0.6,N3,0.2776,0.2049,0.2059,0.2798,anxious,0.3,0.0
0.608333,N3,0.2919,0.1927,0.2209,0.3189,fearful,0.3,0.0
0.616667,N3,0.3069,0.2352,0.203,0.3096,anxious,0.3,0.0
0.625,N3,0.2787,0.2273,0.1645,0.2809,joyful,0.3,0.0
0.633333,N3,0.2807,0.1842,0.2002,0.3567,anxious,0.3,0.0
0.641667,N3,0.2814,0.1813,0.2041,0.3065,joyful,0.3,0.0
