time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4869,0.3317,0.2895,0.3361,joyful,0.367,0.0
0.008333,N1,0.4707,0.2826,0.2931,0.3313,neutral,0.352,0.0
0.016667,N1,0.5275,0.3175,0.327,0.3309,curious,0.301,0.0
0.025,N1,0.4618,0.3032,0.3033,0.3663,joyful,0.335,0.0
0.033333,N1,0.5097,0.2781,0.3018,0.3758,joyful,0.376,0.0
0.041667,N1,0.482,0.31,0.3111,0.3407,curious,0.341,0.0
0.05,N1,0.5166,0.3259,0.2877,0.3522,joyful,0.358,0.0
0.058333,N1,0.4898,0.3264,0.2839,0.3654,anxious,0.338,0.0
0.066667,N2,0.43,0.284,0.2653,0.3468,neutral,0.457,0.0
0.075,N2,0.4448,0.2672,0.2932,0.3454,neutral,0.404,0.0
0.083333,N2,0.4439,0.2758,0.2942,0.3313,anxious,0.432,0.0
0.091667,N2,0.4786,0.3002,0.261,0.3636,neutral,0.394,0.0
0.1,N2,0.4656,0.2442,0.3106,0.3431,joyful,0.432,0.0
0.108333,N2,0.4783,0.2911,0.2648,0.3713,neutral,0.403,0.0
0.116667,N2,0.4671,0.2618,0.3047,0.3468,joyful,0.435,0.0
0.125,N2,0.4683,0.298,0.2714,0.3451,anxious,0.372,0.0
0.133333,N2,0.4712,0.2789,0.2728,0.327,neutral,0.418,0.0
0.141667,N2,0.4499,0.2773,0.2911,0.3152,joyful,0.406,0.0
0.15,N2,0.4638,0.306,0.3029,0.3486,joyful,0.38,0.0
0.158333,N2,0.4738,0.2695,0.2629,0.3057,anxious,0.42,0.0
0.166667,N2,0.4895,0.2745,0.2896,0.34,neutral,0.393,0.0
0.175,N2,0.4341,0.279,0.284,0.3244,neutral,0.364,0.0
0.183333,N2,0.4226,0.2717,0.2433,0.3277,joyful,0.385,0.0
0.191667,N2,0.4745,0.3029,0.2896,0.304,joyful,0.397,0.0
0.2,N2,0.4441,0.2602,0.2825,0.3173,neutral,0.363,0.0
0.208333,N2,0.4456,0.2667,0.2914,0.3369,joyful,0.416,0.0
0.216667,N2,0.4584,0.2864,0.2666,0.3502,curious,0.432,0.0
0.225,N2,0.43,0.2837,0.2611,0.3073,curious,0.424,0.0
0.233333,N2,0.491,0.2842,0.2858,0.3433,anxious,0.376,0.0
0.241667,N2,0.4296,0.2955,0.2415,0.3686,curious,0.418,0.0
0.25,N2,0.4232,0.2648,0.2563,0.3541,joyful,0.387,0.0
0.258333,N2,0.4433,0.2943,0.2523,0.3413,curious,0.428,0.0
0.266667,N2,0.4222,0.2627,0.2785,0.3143,curious,0.389,0.0
0.275,N2,0.4519,0.2739,0.2985,0.3261,joyful,0.386,0.0
0.283333,N2,0.4813,0.3122,0.2662,0.3358,neutral,0.369,0.0
0.291667,N2,0.4544,0.2791,0.2682,0.3405,melancholic,0.437,0.0
0.3,N2,0.4444,0.2457,0.291,0.3089,melancholic,0.412,0.0
0.308333,N2,0.4523,0.2941,0.2764,0.3317,neutral,0.406,0.0
0.316667,N2,0.4572,0.2939,0.255,0.3366,serene,0.412,0.0
0.325,N2,0.4829,0.3162,0.2771,0.3168,fearful,0.426,0.0
0.333333,N2,0.4594,0.2575,0.2813,0.2565,melancholic,0.43,0.0
0.341667,N2,0.4544,0.2569,0.2744,0.3329,fearful,0.439,0.0
0.35,N2,0.486,0.3087,0.2991,0.3087,anxious,0.438,0.0
0.358333,N2,0.4531,0.2454,0.2682,0.3506,curious,0.497,0.0
0.366667,N2,0.432,0.2753,0.2638,0.3359,anxious,0.438,0.0
0.375,N2,0.4224,0.2652,0.296,0.3552,neutral,0.359,0.0
0.383333,N2,0.4437,0.2603,0.2699,0.327,curious,0.382,0.0
0.391667,N2,0.4559,0.2794,0.2525,0.3172,curious,0.431,0.0
0.4,N2,0.4672,0.3092,0.2674,0.3407,melancholic,0.368,0.0
0.408333,N2,0.4221,0.3052,0.2907,0.3161,neutral,0.397,0.0
0.416667,N2,0.4235,0.3008,0.2799,0.3133,neutral,0.38,0.0
0.425,N2,0.4084,0.3314,0.2613,0.3633,melancholic,0.414,0.0
