time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5329,0.3092,0.2825,0.3339,joyful,0.373,0.0
0.083333,N2,0.4807,0.2788,0.2554,0.3331,joyful,0.451,0.0
0.166667,N2,0.4372,0.2942,0.2766,0.2973,joyful,0.428,0.0
0.25,N2,0.4538,0.2806,0.2912,0.3444,neutral,0.431,0.0
0.333333,N2,0.4674,0.2726,0.3061,0.3362,neutral,0.453,0.0
0.416667,N3,0.3074,0.1946,0.2179,0.2984,curious,0.35,0.0
0.5,N3,0.3052,0.2263,0.1953,0.3015,neutral,0.35,0.0
0.583333,N3,0.3153,0.2057,0.1981,0.2786,neutral,0.35,0.0
0.666667,N3,0.2882,0.2182,0.2368,0.2885,fearful,0.35,0.0
0.75,N3,0.2821,0.2033,0.1671,0.2969,curious,0.35,0.0
0.833333,N3,0.3005,0.2161,0.2235,0.2772,joyful,0.35,0.0
0.916667,N3,0.2913,0.1777,0.1773,0.3019,joyful,0.35,0.0
