time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4977,0.2927,0.3056,0.3389,neutral,0.386,0.0
0.008333,N1,0.4863,0.2663,0.2929,0.3621,neutral,0.35,0.0
0.016667,N1,0.5062,0.2943,0.3025,0.369,neutral,0.357,0.0
0.025,N1,0.521,0.2527,0.2658,0.3556,anxious,0.349,0.0
0.033333,N1,0.5067,0.3158,0.3269,0.3604,melancholic,0.42,0.0
0.041667,N1,0.5239,0.3303,0.3386,0.3698,joyful,0.325,0.0
0.05,N1,0.5283,0.2888,0.3226,0.3463,curious,0.323,0.0
0.058333,N1,0.4838,0.2836,0.3326,0.3334,neutral,0.394,0.0
0.066667,N1,0.5318,0.3062,0.2786,0.3329,joyful,0.358,0.0
0.075,N1,0.48,0.2792,0.3037,0.3887,neutral,0.379,0.0
0.083333,N2,0.4589,0.2729,0.2951,0.3174,melancholic,0.445,0.0
0.091667,N2,0.448,0.307,0.3154,0.3342,neutral,0.375,0.0
0.1,N2,0.484,0.2472,0.2786,0.3525,joyful,0.388,0.0
0.108333,N2,0.4614,0.2927,0.2686,0.3228,anxious,0.337,0.0
0.116667,N2,0.4539,0.3013,0.266,0.3262,anxious,0.445,0.0
0.125,N2,0.4468,0.2555,0.2764,0.3149,joyful,0.453,0.0
0.133333,N2,0.4177,0.2824,0.289,0.3368,joyful,0.373,0.0
0.141667,N2,0.4381,0.2764,0.2694,0.3328,joyful,0.399,0.0
0.15,N2,0.451,0.2825,0.2913,0.3329,neutral,0.417,0.0
0.158333,N2,0.4568,0.317,0.3178,0.3406,curious,0.392,0.0
0.166667,N2,0.4465,0.289,0.2604,0.3058,joyful,0.435,0.0
0.175,N2,0.4415,0.3041,0.2925,0.3503,fearful,0.373,0.0
0.183333,N2,0.4369,0.2669,0.2685,0.3225,joyful,0.434,0.0
0.191667,N2,0.4306,0.2824,0.3091,0.3288,joyful,0.373,0.0
0.2,N2,0.482,0.2893,0.2891,0.3125,curious,0.446,0.0
0.208333,N2,0.4053,0.2632,0.2788,0.3151,serene,0.419,0.0
0.216667,N2,0.4423,0.2736,0.2662,0.3541,curious,0.402,0.0
0.225,N2,0.4273,0.2778,0.2819,0.3381,joyful,0.413,0.0
0.233333,N2,0.4246,0.2579,0.2877,0.3123,joyful,0.413,0.0
