time_hours,node_id,node_label,activation
0.0,event::school_corridor,school_corridor,0.422
0.0,event::being_chased,being_chased,0.4045
0.0,mem::familiar_face,familiar_face,0.3764
0.0,mem::grief,grief,0.3444
0.0,mem::wonder,wonder,0.3362
0.0,mem::school_corridor,school_corridor,0.3254
0.0,mem::being_late,being_late,0.32
0.0,event::teeth_loosening,teeth_loosening,0.3128
0.0,mem::dread,dread,0.2413
0.0,mem::bright_light,bright_light,0.241
0.0,mem::flying,flying,0.2381
0.0,mem::childhood_home,childhood_home,0.238
0.083333,event::school_corridor,school_corridor,0.6356
0.083333,event::being_chased,being_chased,0.6268
0.083333,mem::familiar_face,familiar_face,0.6131
0.083333,mem::wonder,wonder,0.5932
0.083333,mem::bright_light,bright_light,0.5462
0.083333,mem::flying,flying,0.5448
0.083333,event::had_a_long_meeting,had a long meeting,0.5374
0.083333,mem::joy,joy,0.5141
0.083333,mem::grief,grief,0.3918
0.083333,mem::school_corridor,school_corridor,0.3762
0.083333,mem::being_late,being_late,0.3717
0.083333,event::teeth_loosening,teeth_loosening,0.3657
0.166667,event::school_corridor,school_corridor,0.6908
0.166667,event::being_chased,being_chased,0.685
0.166667,mem::familiar_face,familiar_face,0.6763
0.166667,mem::wonder,wonder,0.6637
0.166667,mem::bright_light,bright_light,0.6337
0.166667,mem::flying,flying,0.6329
0.166667,event::had_a_long_meeting,had a long meeting,0.628
0.166667,mem::joy,joy,0.6133
0.166667,mem::grief,grief,0.5336
0.166667,mem::school_corridor,school_corridor,0.5239
0.166667,mem::being_late,being_late,0.5209
0.166667,event::teeth_loosening,teeth_loosening,0.5171
0.25,event::school_corridor,school_corridor,0.6762
0.25,event::being_chased,being_chased,0.6713
0.25,mem::familiar_face,familiar_face,0.6643
0.25,mem::wonder,wonder,0.6538
0.25,mem::bright_light,bright_light,0.6291
0.25,mem::flying,flying,0.6285
0.25,mem::grief,grief,0.6267
0.25,event::had_a_long_meeting,had a long meeting,0.6245
0.25,mem::school_corridor,school_corridor,0.6205
0.25,mem::being_late,being_late,0.6187
0.25,event::teeth_loosening,teeth_loosening,0.6163
0.25,mem::joy,joy,0.6124
0.333333,event::school_corridor,school_corridor,0.6613
0.333333,event::being_chased,being_chased,0.6573
0.333333,mem::grief,grief,0.6567
0.333333,mem::school_corridor,school_corridor,0.6524
0.333333,mem::familiar_face,familiar_face,0.6515
0.333333,mem::being_late,being_late,0.651
0.333333,event::teeth_loosening,teeth_loosening,0.6492
0.333333,mem::wonder,wonder,0.643
0.333333,mem::dread,dread,0.6318
0.333333,mem::childhood_home,childhood_home,0.6311
0.333333,mem::bright_light,bright_light,0.6225
0.333333,mem::flying,flying,0.6221
0.416667,mem::grief,grief,0.7081
0.416667,event::school_corridor,school_corridor,0.7058
0.416667,mem::school_corridor,school_corridor,0.7052
0.416667,mem::being_late,being_late,0.7043
0.416667,event::being_chased,being_chased,0.7033
0.416667,event::teeth_loosening,teeth_loosening,0.7032
0.416667,mem::familiar_face,familiar_face,0.6996
0.416667,mem::wonder,wonder,0.6942
0.416667,mem::dread,dread,0.6921
0.416667,mem::childhood_home,childhood_home,0.6916
0.416667,mem::being_chased,being_chased,0.6854
0.416667,mem::loud_crowd,loud_crowd,0.6821
0.5,event::school_corridor,school_corridor,0.7342
0.5,event::being_chased,being_chased,0.7326
0.5,mem::familiar_face,familiar_face,0.7304
0.5,mem::wonder,wonder,0.7268
