time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5073,0.3369,0.2877,0.3754,melancholic,0.358,0.0
0.008333,N1,0.501,0.3284,0.2921,0.3382,serene,0.368,0.0
0.016667,N1,0.4955,0.2906,0.255,0.3395,curious,0.37,0.0
0.025,N1,0.4997,0.2781,0.3155,0.2988,neutral,0.386,0.0
0.033333,N1,0.5005,0.3024,0.3011,0.3522,melancholic,0.314,0.0
0.041667,N1,0.4758,0.2787,0.3096,0.3811,neutral,0.344,0.0
0.05,N1,0.5069,0.2876,0.3076,0.3285,anxious,0.381,0.0
0.058333,N1,0.5131,0.3013,0.3128,0.3354,melancholic,0.351,0.0
0.066667,N2,0.4631,0.3176,0.2576,0.3134,neutral,0.417,0.0
0.075,N2,0.4511,0.2776,0.3142,0.3569,curious,0.405,0.0
0.083333,N2,0.4488,0.2989,0.294,0.3406,neutral,0.371,0.0
0.091667,N2,0.4344,0.3278,0.2702,0.3371,neutral,0.395,0.0
0.1,N2,0.4754,0.2898,0.2646,0.3318,fearful,0.418,0.0
0.108333,N2,0.434,0.283,0.2836,0.2862,joyful,0.347,0.0
0.116667,N2,0.4415,0.2536,0.3139,0.3139,neutral,0.478,0.0
0.125,N2,0.4122,0.2855,0.2736,0.3264,joyful,0.392,0.0
0.133333,N2,0.457,0.2898,0.2594,0.3322,fearful,0.432,0.0
0.141667,N2,0.402,0.2917,0.2716,0.3323,neutral,0.418,0.0
0.15,N2,0.4297,0.2673,0.2826,0.3545,joyful,0.434,0.0
0.158333,N2,0.4395,0.2572,0.2715,0.3292,melancholic,0.408,0.0
0.166667,N2,0.4728,0.2974,0.2697,0.364,neutral,0.416,0.0
0.175,N2,0.4402,0.2825,0.259,0.3171,anxious,0.379,0.0
0.183333,N2,0.4149,0.2758,0.2452,0.3601,neutral,0.396,0.0
0.191667,N2,0.4665,0.2751,0.2822,0.3224,anxious,0.417,0.0
0.2,N2,0.4477,0.2937,0.2484,0.3547,curious,0.397,0.0
0.208333,N2,0.435,0.293,0.2689,0.3071,fearful,0.421,0.0
0.216667,N2,0.4603,0.3046,0.2988,0.3246,neutral,0.389,0.0
0.225,N2,0.4377,0.3001,0.2642,0.3405,curious,0.44,0.0
0.233333,N2,0.4743,0.2861,0.2843,0.3315,neutral,0.364,0.0
0.241667,N2,0.4824,0.2706,0.2662,0.318,anxious,0.447,0.0
0.25,N2,0.4822,0.2653,0.303,0.3147,serene,0.355,0.0
0.258333,N2,0.4337,0.277,0.2989,0.3346,anxious,0.384,0.0
0.266667,N2,0.4501,0.3024,0.3207,0.3261,curious,0.386,0.0
0.275,N2,0.4601,0.313,0.288,0.3265,curious,0.417,0.0
0.283333,N2,0.4895,0.2687,0.2567,0.318,curious,0.416,0.0
0.291667,N2,0.4367,0.2851,0.2273,0.352,anxious,0.441,0.0
0.3,N2,0.4475,0.2719,0.2759,0.3653,neutral,0.366,0.0
0.308333,N2,0.4636,0.249,0.2857,0.3546,melancholic,0.418,0.0
0.316667,N2,0.4411,0.2288,0.2756,0.3393,anxious,0.456,0.0
0.325,N2,0.4582,0.2508,0.2647,0.3168,curious,0.429,0.0
0.333333,N2,0.4502,0.2668,0.2916,0.3578,neutral,0.398,0.0
0.341667,N2,0.4606,0.2874,0.2813,0.3252,neutral,0.415,0.0
0.35,N2,0.4475,0.2934,0.2782,0.335,fearful,0.385,0.0
0.358333,N2,0.4523,0.2787,0.2664,0.3569,serene,0.37,0.0
0.366667,N2,0.4547,0.2459,0.2641,0.3366,curious,0.427,0.0
0.375,N2,0.4669,0.2854,0.2535,0.3265,curious,0.413,0.0
0.383333,N2,0.4811,0.2864,0.3066,0.3181,melancholic,0.399,0.0
0.391667,N2,0.4689,0.2815,0.2892,0.2988,neutral,0.378,0.0
0.4,N2,0.4512,0.2853,0.2714,0.2976,neutral,0.396,0.0
0.408333,N2,0.4214,0.2983,0.3116,0.291,curious,0.394,0.0
0.416667,N2,0.4367,0.2886,0.3005,0.2874,curious,0.455,0.0
0.425,N2,0.4384,0.267,0.263,0.3086,neutral,0.402,0.0
0.433333,N2,0.4267,0.2804,0.3031,0.3372,curious,0.43,0.0
0.441667,N2,0.4158,0.2637,0.2781,0.3454,joyful,0.36,0.0
0.45,N2,0.461,0.3042,0.3076,0.3345,fearful,0.379,0.0
0.458333,N2,0.4639,0.2517,0.281,0.3503,melancholic,0.4,0.0
0.466667,N3,0.2654,0.1984,0.1906,0.3017,curious,0.35,0.0
0.475,N3,0.2893,0.1967,0.2246,0.2873,neutral,0.34,0.0
