time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.4365
0.0,mem::familiar_face,familiar_face,0.3788
0.0,mem::falling,falling,0.3656
0.0,mem::school_corridor,school_corridor,0.3486
0.0,mem::being_late,being_late,0.3126
0.0,mem::flying,flying,0.3073
0.0,mem::dread,dread,0.2908
0.0,mem::joy,joy,0.2884
0.0,mem::recurring_journey,recurring_journey,0.2759
0.0,mem::being_chased,being_chased,0.2571
0.0,mem::bright_light,bright_light,0.2566
0.0,event::design_discussion,design discussion,0.2376
0.833333,event::code_review,code review,0.3335
0.833333,mem::falling,falling,0.3053
0.833333,mem::school_corridor,school_corridor,0.2986
0.833333,mem::being_late,being_late,0.2843
0.833333,mem::dread,dread,0.2756
0.833333,mem::familiar_face,familiar_face,0.2677
0.833333,mem::being_chased,being_chased,0.2622
0.833333,event::design_discussion,design discussion,0.2545
0.833333,mem::teeth_loosening,teeth_loosening,0.2521
0.833333,mem::loud_crowd,loud_crowd,0.2503
0.833333,mem::flying,flying,0.2356
0.833333,mem::grief,grief,0.2335
