time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4869,0.2566,0.3277,0.3586,joyful,0.365,0.0
0.008333,N1,0.5119,0.2154,0.3166,0.3698,anxious,0.271,0.0
0.016667,N1,0.5221,0.2527,0.2737,0.3431,joyful,0.352,0.0
0.025,N1,0.5132,0.2635,0.2708,0.3426,neutral,0.33,0.0
0.033333,N1,0.4876,0.2933,0.3084,0.3303,melancholic,0.39,0.0
0.041667,N1,0.5182,0.2762,0.3035,0.3641,curious,0.338,0.0
0.05,N1,0.4833,0.2879,0.2794,0.3333,curious,0.337,0.0
0.058333,N1,0.5096,0.2509,0.31,0.3664,serene,0.342,0.0
0.066667,N1,0.505,0.26,0.322,0.3673,melancholic,0.385,0.0
0.075,N1,0.5227,0.2802,0.3093,0.3113,fearful,0.368,0.0
0.083333,N1,0.4664,0.306,0.2835,0.3311,neutral,0.379,0.0
0.091667,N1,0.5179,0.281,0.3158,0.3596,curious,0.356,0.0
0.1,N2,0.4528,0.2413,0.2747,0.3386,neutral,0.445,0.0
0.108333,N2,0.4241,0.2617,0.259,0.3546,melancholic,0.411,0.0
0.116667,N2,0.4273,0.2649,0.2407,0.3234,joyful,0.402,0.0
0.125,N2,0.4277,0.2253,0.2591,0.3178,curious,0.391,0.0
0.133333,N2,0.4119,0.2646,0.2637,0.3713,neutral,0.371,0.0
0.141667,N2,0.4324,0.2322,0.2952,0.3792,joyful,0.37,0.0
0.15,N2,0.4256,0.2202,0.2731,0.3129,anxious,0.402,0.0
0.158333,N2,0.42,0.2702,0.298,0.3472,anxious,0.421,0.0
0.166667,N2,0.4746,0.2605,0.2884,0.3578,fearful,0.41,0.0
0.175,N2,0.4439,0.2537,0.2835,0.3394,joyful,0.369,0.0
0.183333,N2,0.4665,0.2379,0.2896,0.3097,melancholic,0.388,0.0
0.191667,N2,0.4535,0.2732,0.2831,0.3006,curious,0.424,0.0
0.2,N2,0.4496,0.2619,0.2898,0.3411,neutral,0.406,0.0
0.208333,N2,0.4621,0.2449,0.2992,0.3468,curious,0.429,0.0
0.216667,N2,0.4568,0.2532,0.2665,0.3439,curious,0.375,0.0
0.225,N2,0.4592,0.2568,0.271,0.3418,anxious,0.445,0.0
0.233333,N2,0.4166,0.2535,0.2726,0.3379,curious,0.418,0.0
0.241667,N2,0.4583,0.2316,0.282,0.3349,neutral,0.457,0.0
0.25,N2,0.4792,0.2452,0.2806,0.3554,curious,0.406,0.0
0.258333,N2,0.4334,0.2766,0.2943,0.3445,curious,0.462,0.0
0.266667,N2,0.4848,0.2488,0.2596,0.3238,neutral,0.434,0.0
0.275,N2,0.4384,0.2153,0.2883,0.3149,neutral,0.467,0.0
0.283333,N2,0.471,0.2427,0.2488,0.3053,joyful,0.385,0.0
0.291667,N2,0.4627,0.2314,0.2678,0.3581,anxious,0.413,0.0
0.3,N2,0.4437,0.2711,0.2879,0.3337,curious,0.368,0.0
0.308333,N2,0.4444,0.2134,0.2479,0.3127,curious,0.44,0.0
0.316667,N2,0.4476,0.2853,0.2656,0.3291,curious,0.423,0.0
0.325,N2,0.4481,0.2491,0.2779,0.3137,neutral,0.353,0.0
0.333333,N2,0.4074,0.2583,0.2704,0.3051,joyful,0.422,0.0
0.341667,N2,0.4309,0.2178,0.2716,0.3179,neutral,0.381,0.0
0.35,N2,0.4647,0.226,0.2712,0.3055,curious,0.421,0.0
