time_hours,node_id,node_label,activation
0.0,mem::childhood_home,childhood_home,0.3905
0.0,mem::being_chased,being_chased,0.3747
0.0,event::design_discussion,design discussion,0.3579
0.0,mem::school_corridor,school_corridor,0.3544
0.0,mem::wonder,wonder,0.3217
0.0,mem::falling,falling,0.3138
0.0,mem::cold_water,cold_water,0.31
0.0,event::code_review,code review,0.2735
0.0,mem::bright_light,bright_light,0.2374
0.0,mem::teeth_loosening,teeth_loosening,0.2333
0.0,mem::grief,grief,0.2066
0.0,mem::recurring_journey,recurring_journey,0.1858
0.833333,mem::wonder,wonder,0.294
0.833333,mem::bright_light,bright_light,0.2606
0.833333,mem::childhood_home,childhood_home,0.2457
0.833333,mem::familiar_face,familiar_face,0.2395
0.833333,mem::being_chased,being_chased,0.2385
0.833333,mem::joy,joy,0.232
0.833333,event::design_discussion,design discussion,0.231
0.833333,mem::school_corridor,school_corridor,0.2293
0.833333,mem::flying,flying,0.2152
0.833333,mem::falling,falling,0.2111
0.833333,mem::cold_water,cold_water,0.2094
0.833333,event::code_review,code review,0.1928
