time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5133,0.2987,0.3173,0.3158,melancholic,0.39,0.0
0.083333,N2,0.4281,0.311,0.2782,0.3531,curious,0.466,0.0
0.166667,N2,0.4448,0.2759,0.254,0.3567,curious,0.44,0.0
0.25,N2,0.4519,0.2992,0.3304,0.3106,curious,0.463,0.0
0.333333,N2,0.4456,0.2714,0.2624,0.2964,joyful,0.464,0.0
0.416667,N2,0.4618,0.2522,0.2868,0.3299,serene,0.451,0.0
0.5,N3,0.3147,0.2068,0.1881,0.2852,melancholic,0.35,0.0
0.583333,N3,0.2807,0.1906,0.1958,0.2998,joyful,0.35,0.0
0.666667,N3,0.3005,0.1397,0.1542,0.2993,melancholic,0.35,0.0
0.75,N3,0.3077,0.1772,0.1987,0.2824,fearful,0.348,0.0
0.833333,N3,0.2612,0.1998,0.1957,0.2735,curious,0.35,0.0
0.916667,N3,0.3051,0.2133,0.2276,0.2799,melancholic,0.348,0.0
