time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4816,0.292,0.3024,0.3473,melancholic,0.405,0.0
0.083333,N2,0.4607,0.2685,0.2554,0.3729,neutral,0.487,0.0
0.166667,N2,0.4592,0.2502,0.2851,0.3468,anxious,0.472,0.0
0.25,N2,0.4409,0.2595,0.2756,0.3074,curious,0.414,0.0
0.333333,N2,0.4445,0.2465,0.2389,0.3147,serene,0.4,0.0
0.416667,N2,0.4505,0.2819,0.2697,0.334,neutral,0.372,0.0
0.5,N3,0.3166,0.2175,0.1876,0.3067,anxious,0.35,0.0
0.583333,N3,0.2779,0.2126,0.1909,0.3125,neutral,0.35,0.0
0.666667,N3,0.3224,0.215,0.1913,0.2979,fearful,0.35,0.0
0.75,N3,0.2949,0.1755,0.1946,0.2804,joyful,0.35,0.0
0.833333,N3,0.3024,0.1778,0.1875,0.2738,joyful,0.35,0.0
0.916667,N3,0.3009,0.2052,0.1803,0.2694,anxious,0.348,0.0
