time_hours,node_id,node_label,activation
0.0,mem::joy,joy,0.4572
0.0,mem::flying,flying,0.4466
0.0,mem::teeth_loosening,teeth_loosening,0.3854
0.0,mem::school_corridor,school_corridor,0.3615
0.0,mem::cold_water,cold_water,0.3563
0.0,event::design_discussion,design discussion,0.3423
0.0,mem::falling,falling,0.3411
0.0,mem::bright_light,bright_light,0.3271
0.0,mem::recurring_journey,recurring_journey,0.3198
0.0,mem::wonder,wonder,0.3195
0.0,event::code_review,code review,0.3194
0.0,mem::being_late,being_late,0.3117
0.833333,mem::teeth_loosening,teeth_loosening,0.3532
0.833333,mem::school_corridor,school_corridor,0.3449
0.833333,mem::cold_water,cold_water,0.3431
0.833333,mem::falling,falling,0.3376
0.833333,event::code_review,code review,0.3302
0.833333,mem::being_late,being_late,0.3275
0.833333,mem::loud_crowd,loud_crowd,0.3221
0.833333,mem::grief,grief,0.3053
0.833333,mem::joy,joy,0.3032
0.833333,mem::flying,flying,0.2984
0.833333,mem::dread,dread,0.2967
0.833333,mem::childhood_home,childhood_home,0.2935
