time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4839,0.3053,0.3097,0.3614,serene,0.371,0.0
0.083333,N2,0.451,0.2366,0.2705,0.3273,curious,0.43,0.0
0.166667,N2,0.4613,0.2865,0.2688,0.3148,curious,0.391,0.0
0.25,N2,0.4595,0.3117,0.3084,0.321,melancholic,0.507,0.0
0.333333,N2,0.47,0.2583,0.2566,0.3255,neutral,0.453,0.0
0.416667,N2,0.468,0.2441,0.2433,0.3368,neutral,0.445,0.0
0.5,N3,0.2776,0.1769,0.1821,0.3024,fearful,0.35,0.0
0.583333,N3,0.2987,0.2016,0.1714,0.3199,anxious,0.35,0.0
0.666667,N3,0.2805,0.2176,0.2088,0.2898,joyful,0.35,0.0
0.75,N3,0.3135,0.235,0.1858,0.2722,neutral,0.35,0.0
0.833333,N3,0.3028,0.1993,0.1954,0.3141,curious,0.35,0.0
0.916667,N3,0.3203,0.1991,0.1699,0.2898,neutral,0.35,0.0
