time_hours,node_id,node_label,activation
0.0,mem::grief,grief,0.3841
0.0,mem::falling,falling,0.3782
0.0,mem::bright_light,bright_light,0.3768
0.0,mem::wonder,wonder,0.372
0.0,mem::being_late,being_late,0.3593
0.0,mem::childhood_home,childhood_home,0.3472
0.0,mem::familiar_face,familiar_face,0.3452
0.0,mem::teeth_loosening,teeth_loosening,0.3344
0.0,mem::flying,flying,0.29
0.0,mem::school_corridor,school_corridor,0.2889
0.0,mem::recurring_journey,recurring_journey,0.2848
0.0,event::had_a_long_meeting,had a long meeting,0.2724
0.083333,mem::bright_light,bright_light,0.5238
0.083333,mem::wonder,wonder,0.5207
0.083333,mem::familiar_face,familiar_face,0.5037
0.083333,mem::flying,flying,0.4684
0.083333,mem::joy,joy,0.4121
0.083333,mem::grief,grief,0.3593
0.083333,mem::falling,falling,0.3538
0.083333,mem::being_late,being_late,0.3361
0.083333,mem::childhood_home,childhood_home,0.3248
0.083333,mem::teeth_loosening,teeth_loosening,0.3129
0.083333,mem::school_corridor,school_corridor,0.2703
0.083333,mem::recurring_journey,recurring_journey,0.2664
0.166667,mem::bright_light,bright_light,0.5816
0.166667,mem::wonder,wonder,0.5794
0.166667,mem::familiar_face,familiar_face,0.5671
0.166667,mem::flying,flying,0.5414
0.166667,mem::joy,joy,0.5008
0.166667,mem::grief,grief,0.4062
0.166667,mem::falling,falling,0.4017
0.166667,mem::being_late,being_late,0.3872
0.166667,mem::childhood_home,childhood_home,0.3778
0.166667,mem::teeth_loosening,teeth_loosening,0.3679
0.166667,mem::school_corridor,school_corridor,0.333
0.166667,event::had_a_long_meeting,had a long meeting,0.3202
0.25,mem::bright_light,bright_light,0.6554
0.25,mem::wonder,wonder,0.6541
0.25,mem::familiar_face,familiar_face,0.6462
0.25,mem::flying,flying,0.6298
0.25,mem::joy,joy,0.604
0.25,mem::grief,grief,0.4397
0.25,mem::falling,falling,0.4361
0.25,mem::being_late,being_late,0.4241
0.25,mem::childhood_home,childhood_home,0.4164
0.25,mem::teeth_loosening,teeth_loosening,0.4084
0.25,mem::school_corridor,school_corridor,0.3795
0.25,event::had_a_long_meeting,had a long meeting,0.3689
0.333333,mem::bright_light,bright_light,0.739
0.333333,mem::wonder,wonder,0.7384
0.333333,mem::familiar_face,familiar_face,0.7345
0.333333,mem::flying,flying,0.7262
0.333333,mem::joy,joy,0.7136
