time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4307,0.3164,0.281,0.3259,fearful,0.401,0.0
0.008333,N1,0.5489,0.2749,0.3221,0.3203,neutral,0.491,0.0
0.016667,N1,0.5075,0.298,0.2756,0.3408,fearful,0.394,0.0
0.025,N1,0.5233,0.2762,0.2607,0.3603,anxious,0.392,0.0
0.033333,N1,0.4867,0.335,0.2847,0.3319,curious,0.459,0.0
0.041667,N1,0.4838,0.321,0.3078,0.3254,fearful,0.446,0.0
0.05,N1,0.492,0.2706,0.3138,0.3408,anxious,0.422,0.0
0.058333,N1,0.5236,0.2898,0.2803,0.3497,fearful,0.499,0.0
0.066667,N1,0.501,0.3319,0.3126,0.322,fearful,0.511,0.0
0.075,N1,0.5311,0.2814,0.2809,0.3446,anxious,0.412,0.0
0.083333,N2,0.4289,0.2846,0.2856,0.3213,curious,0.473,0.0
0.091667,N2,0.4516,0.2914,0.272,0.3398,anxious,0.527,0.0
0.1,N2,0.4665,0.3044,0.2594,0.322,anxious,0.475,0.0
0.108333,N2,0.4427,0.2841,0.2938,0.3092,anxious,0.468,0.0
0.116667,N2,0.4398,0.279,0.2855,0.3265,neutral,0.436,0.0
0.125,N2,0.4374,0.2633,0.2639,0.3086,melancholic,0.501,0.0
0.133333,N2,0.4248,0.2597,0.2932,0.323,neutral,0.482,0.0
0.141667,N2,0.4514,0.3017,0.3053,0.323,anxious,0.498,0.0
0.15,N2,0.4077,0.3081,0.2934,0.3588,anxious,0.462,0.0
0.158333,N2,0.4414,0.2821,0.2459,0.3375,joyful,0.44,0.0
0.166667,N2,0.4843,0.2872,0.2945,0.3564,fearful,0.503,0.0
0.175,N2,0.4324,0.2842,0.3018,0.3396,fearful,0.441,0.0
0.183333,N2,0.4209,0.2734,0.2713,0.3236,fearful,0.519,0.0
0.191667,N2,0.4305,0.2661,0.2934,0.3122,anxious,0.504,0.0
0.2,N2,0.4592,0.3043,0.2821,0.3467,fearful,0.523,0.0
0.208333,N2,0.4194,0.2516,0.2528,0.3271,anxious,0.439,0.0
0.216667,N2,0.4643,0.2705,0.3009,0.3157,joyful,0.513,0.0
0.225,N2,0.4685,0.2827,0.3134,0.3518,anxious,0.443,0.0
0.233333,N2,0.4795,0.2854,0.3042,0.3197,anxious,0.444,0.0
0.241667,N2,0.4215,0.2589,0.2946,0.353,anxious,0.506,0.0
0.25,N2,0.4537,0.2455,0.272,0.3062,anxious,0.506,0.0
0.258333,N2,0.4579,0.2591,0.2681,0.3341,anxious,0.478,0.0
0.266667,N2,0.4106,0.2885,0.2518,0.306,anxious,0.438,0.0
0.275,N2,0.4628,0.2639,0.2692,0.3451,anxious,0.465,0.0
0.283333,N2,0.4459,0.2606,0.288,0.3497,neutral,0.484,0.0
0.291667,N2,0.4424,0.2814,0.2889,0.3344,melancholic,0.504,0.0
0.3,N2,0.443,0.2847,0.2751,0.3633,anxious,0.427,0.0
0.308333,N2,0.469,0.2923,0.2945,0.3153,curious,0.526,0.0
0.316667,N2,0.4321,0.3063,0.2813,0.2895,melancholic,0.443,0.0
0.325,N2,0.4398,0.3071,0.3103,0.2898,anxious,0.522,0.0
0.333333,N2,0.4296,0.2703,0.2824,0.3186,curious,0.47,0.0
0.341667,N2,0.4445,0.2918,0.2708,0.3202,anxious,0.477,0.0
0.35,N2,0.4566,0.2842,0.31,0.327,neutral,0.474,0.0
0.358333,N2,0.4444,0.2584,0.2575,0.29,fearful,0.519,0.0
0.366667,N2,0.4347,0.2498,0.276,0.3084,joyful,0.438,0.0
0.375,N2,0.4128,0.264,0.2835,0.3197,joyful,0.493,0.0
0.383333,N2,0.4422,0.2784,0.2823,0.3266,anxious,0.485,0.0
0.391667,N2,0.4333,0.2904,0.2772,0.323,anxious,0.423,0.0
0.4,N2,0.4747,0.292,0.2705,0.3425,serene,0.527,0.0
0.408333,N2,0.4096,0.27,0.3055,0.3373,melancholic,0.446,0.0
0.416667,N2,0.4747,0.2843,0.2704,0.3337,melancholic,0.504,0.0
0.425,N2,0.4579,0.2791,0.2967,0.3016,anxious,0.486,0.0
0.433333,N2,0.4663,0.2915,0.3114,0.3136,fearful,0.515,0.0
0.441667,N2,0.4338,0.3213,0.2754,0.3455,anxious,0.487,0.0
0.45,N2,0.4434,0.2789,0.2722,0.303,anxious,0.506,0.0
0.458333,N2,0.462,0.2906,0.3147,0.3291,serene,0.451,0.0
0.466667,N2,0.4115,0.2504,0.2799,0.3048,anxious,0.474,0.0
0.475,N2,0.4241,0.2805,0.2762,0.3347,curious,0.484,0.0
0.483333,N3,0.3239,0.1624,0.2428,0.289,neutral,0.35,0.0
0.491667,N3,0.2752,0.2221,0.1711,0.2915,curious,0.35,0.0
0.5,N3,0.28,0.1709,0.2065,0.3036,fearful,0.35,0.0
0.508333,N3,0.304,0.188,0.2409,0.3428,anxious,0.35,0.0
0.516667,N3,0.3063,0.2202,0.2118,0.3404,melancholic,0.35,0.0
0.525,N3,0.2859,0.2011,0.2126,0.3084,serene,0.35,0.0
0.533333,N3,0.2894,0.1995,0.2,0.3132,joyful,0.35,0.0
0.541667,N3,0.3032,0.1995,0.2194,0.3276,joyful,0.35,0.0
0.55,N3,0.2874,0.1931,0.2018,0.3016,fearful,0.35,0.0
0.558333,N3,0.2754,0.2022,0.2214,0.2972,joyful,0.35,0.0
0.566667,N3,0.3158,0.1878,0.1945,0.3501,fearful,0.35,0.0
0.575,N3,0.3155,0.2033,0.178,0.2771,curious,0.35,0.0
0.583333,N3,0.3421,0.2102,0.2267,0.2747,fearful,0.35,0.0
0.591667,N3,0.2859,0.1853,0.2067,0.2806,anxious,0.35,0.0
0.6,N3,0.2959,0.2015,0.2006,0.2919,fearful,0.35,0.0
0.608333,N3,0.3046,0.19,0.1748,0.3102,serene,0.35,0.0
0.616667,N3,0.278,0.192,0.2225,0.3098,melancholic,0.35,0.0
0.625,N3,0.3025,0.1738,0.1705,0.2951,anxious,0.35,0.0
0.633333,N3,0.2447,0.2172,0.1775,0.2865,anxious,0.35,0.0
0.641667,N3,0.3196,0.2067,0.2082,0.2487,curious,0.35,0.0
0.65,N3,0.3289,0.2113,0.2034,0.279,fearful,0.35,0.0
0.658333,N3,0.2956,0.2085,0.1943,0.3021,anxious,0.35,0.0
0.666667,N3,0.3043,0.2058,0.2067,0.335,fearful,0.35,0.0
0.675,N3,0.3148,0.2248,0.2263,0.306,neutral,0.35,0.0
0.683333,N3,0.2801,0.2248,0.2162,0.3371,melancholic,0.35,0.0
0.691667,N3,0.335,0.2142,0.149,0.2979,fearful,0.35,0.0
0.7,N3,0.2741,0.1681,0.2445,0.3027,anxious,0.35,0.0
0.708333,N3,0.2585,0.2026,0.2023,0.2874,anxious,0.35,0.0
