time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.5403
0.0,mem::flying,flying,0.4955
0.0,mem::wonder,wonder,0.4642
0.0,mem::bright_light,bright_light,0.437
0.0,mem::joy,joy,0.4067
0.0,mem::being_late,being_late,0.3665
0.0,mem::falling,falling,0.3582
0.0,mem::grief,grief,0.3041
0.0,mem::familiar_face,familiar_face,0.2755
0.0,mem::cold_water,cold_water,0.24
0.0,mem::school_corridor,school_corridor,0.2183
0.0,mem::loud_crowd,loud_crowd,0.2059
0.083333,mem::flying,flying,1.0
0.083333,mem::wonder,wonder,1.0
0.083333,event::had_a_long_meeting,had a long meeting,1.0
0.083333,mem::bright_light,bright_light,0.9932
0.083333,mem::joy,joy,0.9648
0.083333,mem::familiar_face,familiar_face,0.8421
0.083333,mem::being_late,being_late,0.4842
0.083333,mem::falling,falling,0.4763
0.083333,mem::grief,grief,0.4258
0.083333,mem::cold_water,cold_water,0.3658
0.083333,mem::school_corridor,school_corridor,0.3455
0.083333,mem::loud_crowd,loud_crowd,0.3339
0.166667,mem::falling,falling,1.0
0.166667,mem::being_late,being_late,1.0
0.166667,mem::grief,grief,0.9827
0.166667,mem::flying,flying,0.9355
0.166667,mem::wonder,wonder,0.9355
0.166667,event::had_a_long_meeting,had a long meeting,0.9355
0.166667,mem::bright_light,bright_light,0.9291
0.166667,mem::cold_water,cold_water,0.9265
0.166667,mem::school_corridor,school_corridor,0.9075
0.166667,mem::joy,joy,0.9026
0.166667,mem::loud_crowd,loud_crowd,0.8966
0.166667,mem::dread,dread,0.873
0.25,mem::familiar_face,familiar_face,1.0
0.25,mem::flying,flying,1.0
0.25,mem::bright_light,bright_light,1.0
0.25,mem::joy,joy,1.0
0.25,mem::wonder,wonder,1.0
0.25,event::had_a_long_meeting,had a long meeting,1.0
0.25,mem::childhood_home,childhood_home,0.9544
0.25,mem::school_corridor,school_corridor,0.9544
0.25,mem::falling,falling,0.9544
0.25,mem::being_chased,being_chased,0.9544
0.25,mem::being_late,being_late,0.9544
0.25,mem::teeth_loosening,teeth_loosening,0.9544
0.333333,mem::familiar_face,familiar_face,1.0
0.333333,mem::flying,flying,1.0
0.333333,mem::bright_light,bright_light,1.0
0.333333,mem::joy,joy,1.0
0.333333,mem::wonder,wonder,1.0
0.333333,event::had_a_long_meeting,had a long meeting,1.0
0.333333,mem::childhood_home,childhood_home,0.9934
0.333333,mem::school_corridor,school_corridor,0.9934
0.333333,mem::falling,falling,0.9934
0.333333,mem::being_chased,being_chased,0.9934
0.333333,mem::being_late,being_late,0.9934
0.333333,mem::teeth_loosening,teeth_loosening,0.9934
0.416667,mem::childhood_home,childhood_home,0.9934
0.416667,mem::school_corridor,school_corridor,0.9934
0.416667,mem::falling,falling,0.9934
0.416667,mem::being_chased,being_chased,0.9934
0.416667,mem::being_late,being_late,0.9934
0.416667,mem::teeth_loosening,teeth_loosening,0.9934
0.416667,mem::cold_water,cold_water,0.9934
0.416667,mem::loud_crowd,loud_crowd,0.9934
0.416667,mem::grief,grief,0.9934
0.416667,mem::dread,dread,0.9934
0.416667,mem::familiar_face,familiar_face,0.9868
0.416667,mem::flying,flying,0.9868
0.5,mem::familiar_face,familiar_face,1.0
0.5,mem::flying,flying,1.0
0.5,mem::bright_light,bright_light,1.0
0.5,mem::joy,joy,1.0
0.5,mem::wonder,wonder,1.0
0.5,event::had_a_long_meeting,had a long meeting,1.0
0.5,mem::childhood_home,childhood_home,0.9934
0.5,mem::school_corridor,school_corridor,0.9934
0.5,mem::falling,falling,0.9934
0.5,mem::being_chased,being_chased,0.9934
0.5,mem::being_late,being_late,0.9934
0.5,mem::teeth_loosening,teeth_loosening,0.9934
0.583333,mem::childhood_home,childhood_home,1.0
0.583333,mem::school_corridor,school_corridor,1.0
0.583333,mem::falling,falling,1.0
0.583333,mem::being_chased,being_chased,1.0
0.583333,mem::being_late,being_late,1.0
0.583333,mem::teeth_loosening,teeth_loosening,1.0
0.583333,mem::cold_water,cold_water,1.0
0.583333,mem::loud_crowd,loud_crowd,1.0
0.583333,mem::grief,grief,1.0
0.583333,mem::dread,dread,1.0
0.583333,mem::familiar_face,familiar_face,0.9608
0.583333,mem::flying,flying,0.9608
