time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.4151
0.0,mem::falling,falling,0.3493
0.0,mem::being_late,being_late,0.3284
0.0,event::design_discussion,design discussion,0.3236
0.0,mem::loud_crowd,loud_crowd,0.3183
0.0,mem::dread,dread,0.3163
0.0,mem::wonder,wonder,0.303
0.0,mem::bright_light,bright_light,0.29
0.0,mem::joy,joy,0.2527
0.0,mem::recurring_journey,recurring_journey,0.2347
0.0,mem::school_corridor,school_corridor,0.2294
0.0,mem::flying,flying,0.2087
0.833333,event::code_review,code review,0.3324
0.833333,event::design_discussion,design discussion,0.2961
0.833333,mem::falling,falling,0.2888
0.833333,mem::wonder,wonder,0.2878
0.833333,mem::bright_light,bright_light,0.2828
0.833333,mem::being_late,being_late,0.2804
0.833333,mem::loud_crowd,loud_crowd,0.2765
0.833333,mem::dread,dread,0.2758
0.833333,mem::joy,joy,0.2679
0.833333,mem::flying,flying,0.2503
0.833333,mem::school_corridor,school_corridor,0.2411
0.833333,mem::familiar_face,familiar_face,0.234
