time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5216,0.3109,0.2966,0.3604,neutral,0.389,0.0
0.083333,N2,0.474,0.287,0.2925,0.2814,anxious,0.48,0.0
0.166667,N2,0.4332,0.2898,0.2697,0.3527,joyful,0.467,0.0
0.25,N2,0.4484,0.2835,0.3069,0.3254,neutral,0.392,0.0
0.333333,N2,0.4761,0.2795,0.2603,0.303,curious,0.45,0.0
0.416667,N2,0.4424,0.2945,0.2994,0.3113,neutral,0.394,0.0
0.5,N3,0.2974,0.2052,0.2155,0.2896,curious,0.35,0.0
0.583333,N3,0.3208,0.2006,0.2096,0.2926,curious,0.35,0.0
0.666667,N3,0.3002,0.1785,0.1609,0.2773,melancholic,0.35,0.0
0.75,N3,0.2997,0.2212,0.1451,0.2886,neutral,0.35,0.0
0.833333,N3,0.3051,0.1917,0.2104,0.3052,joyful,0.35,0.0
0.916667,N3,0.3275,0.1953,0.2062,0.3224,joyful,0.35,0.0
