time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4969,0.327,0.3126,0.3914,joyful,0.376,0.0
0.008333,N1,0.5177,0.3198,0.3182,0.3552,joyful,0.414,0.0
0.016667,N1,0.512,0.2902,0.2849,0.3081,curious,0.356,0.0
0.025,N1,0.4955,0.3076,0.2928,0.3368,anxious,0.382,0.0
0.033333,N1,0.5051,0.3101,0.2891,0.3536,joyful,0.388,0.0
0.041667,N1,0.4996,0.3198,0.2515,0.3321,neutral,0.4,0.0
0.05,N1,0.517,0.323,0.3231,0.344,curious,0.379,0.0
0.058333,N1,0.4844,0.2603,0.3235,0.3681,joyful,0.345,0.0
0.066667,N1,0.5195,0.3039,0.3096,0.3504,curious,0.374,0.0
0.075,N1,0.4869,0.2749,0.337,0.3467,fearful,0.347,0.0
0.083333,N2,0.4556,0.2572,0.269,0.3969,serene,0.397,0.0
0.091667,N2,0.4744,0.303,0.2752,0.3531,joyful,0.415,0.0
0.1,N2,0.4453,0.2443,0.2922,0.3374,joyful,0.346,0.0
0.108333,N2,0.4345,0.2882,0.2758,0.351,neutral,0.429,0.0
0.116667,N2,0.4451,0.2657,0.3132,0.3571,fearful,0.437,0.0
0.125,N2,0.4497,0.2972,0.2511,0.309,neutral,0.383,0.0
0.133333,N2,0.4522,0.2595,0.2492,0.3527,joyful,0.405,0.0
0.141667,N2,0.4241,0.2648,0.2534,0.3459,joyful,0.347,0.0
0.15,N2,0.4559,0.2844,0.2605,0.3182,neutral,0.36,0.0
0.158333,N2,0.4741,0.2455,0.2727,0.3549,neutral,0.377,0.0
0.166667,N2,0.4633,0.3143,0.3031,0.3123,neutral,0.421,0.0
0.175,N2,0.4537,0.2815,0.269,0.3392,neutral,0.433,0.0
0.183333,N2,0.4578,0.2715,0.2618,0.3481,neutral,0.499,0.0
0.191667,N2,0.4326,0.2679,0.2684,0.3181,melancholic,0.407,0.0
0.2,N2,0.4819,0.2786,0.3066,0.3323,curious,0.392,0.0
0.208333,N2,0.4558,0.2641,0.2619,0.3419,fearful,0.386,0.0
0.216667,N2,0.4537,0.2693,0.2723,0.3149,anxious,0.456,0.0
0.225,N2,0.4427,0.2495,0.2715,0.3317,anxious,0.38,0.0
0.233333,N2,0.457,0.2584,0.3141,0.3507,melancholic,0.396,0.0
0.241667,N2,0.4692,0.2679,0.2877,0.3002,neutral,0.409,0.0
0.25,N2,0.4462,0.2554,0.2867,0.3328,curious,0.367,0.0
0.258333,N2,0.4213,0.2819,0.2714,0.3583,anxious,0.397,0.0
0.266667,N2,0.4407,0.2642,0.276,0.2777,joyful,0.434,0.0
0.275,N2,0.4438,0.2579,0.2844,0.3112,neutral,0.367,0.0
0.283333,N2,0.4438,0.2899,0.2562,0.3328,serene,0.485,0.0
0.291667,N2,0.4623,0.3038,0.3178,0.3421,melancholic,0.39,0.0
0.3,N2,0.4678,0.2797,0.2665,0.2985,curious,0.396,0.0
0.308333,N2,0.3921,0.2326,0.257,0.3552,curious,0.424,0.0
0.316667,N2,0.4527,0.2905,0.2864,0.3217,curious,0.412,0.0
0.325,N2,0.4388,0.3143,0.3056,0.3425,curious,0.394,0.0
0.333333,N2,0.4894,0.2937,0.3234,0.2951,neutral,0.428,0.0
0.341667,N2,0.4555,0.2908,0.2678,0.3236,melancholic,0.434,0.0
0.35,N3,0.2878,0.1753,0.174,0.2968,anxious,0.35,0.0
0.358333,N3,0.3257,0.1916,0.1839,0.3443,curious,0.35,0.0
0.366667,N3,0.3041,0.2323,0.167,0.3459,neutral,0.35,0.0
0.375,N3,0.3026,0.2203,0.1642,0.3229,neutral,0.342,0.0
0.383333,N3,0.2914,0.1681,0.1689,0.3113,anxious,0.35,0.0
0.391667,N3,0.2876,0.2124,0.1755,0.3283,melancholic,0.35,0.0
0.4,N3,0.2844,0.1981,0.2011,0.3007,curious,0.35,0.0
