time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4932
0.0,mem::cold_water,cold_water,0.3838
0.0,mem::falling,falling,0.343
0.0,mem::school_corridor,school_corridor,0.3341
0.0,mem::joy,joy,0.3139
0.0,mem::familiar_face,familiar_face,0.3044
0.0,mem::childhood_home,childhood_home,0.2826
0.0,event::code_review,code review,0.261
0.0,mem::dread,dread,0.2602
0.0,mem::bright_light,bright_light,0.2205
0.0,mem::being_late,being_late,0.1966
0.0,mem::flying,flying,0.1906
0.833333,event::design_discussion,design discussion,0.3674
0.833333,mem::cold_water,cold_water,0.324
0.833333,mem::falling,falling,0.3076
0.833333,mem::school_corridor,school_corridor,0.3043
0.833333,mem::childhood_home,childhood_home,0.2837
0.833333,mem::dread,dread,0.2747
0.833333,mem::joy,joy,0.2685
0.833333,mem::familiar_face,familiar_face,0.2647
0.833333,mem::being_late,being_late,0.2495
0.833333,event::code_review,code review,0.2474
0.833333,mem::grief,grief,0.2384
0.833333,mem::bright_light,bright_light,0.2314
