time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4973,0.2799,0.2963,0.3924,neutral,0.403,0.0
0.083333,N1,0.513,0.2932,0.3018,0.3427,joyful,0.374,0.0
0.166667,N2,0.4715,0.2654,0.2827,0.363,curious,0.473,0.0
0.25,N2,0.4452,0.2778,0.2794,0.3642,melancholic,0.425,0.0
0.333333,N2,0.4513,0.3138,0.2891,0.2911,neutral,0.421,0.0
0.416667,N2,0.4472,0.2688,0.2795,0.2952,neutral,0.491,0.0
0.5,N3,0.3146,0.1999,0.202,0.3057,neutral,0.35,0.0
0.583333,N3,0.2772,0.2374,0.1981,0.2886,joyful,0.35,0.0
0.666667,N3,0.2818,0.1781,0.2052,0.3059,curious,0.35,0.0
0.75,N3,0.3091,0.1914,0.2059,0.2975,neutral,0.35,0.0
0.833333,N3,0.3149,0.2017,0.2316,0.3201,melancholic,0.35,0.0
0.916667,N3,0.2855,0.1924,0.2038,0.3029,neutral,0.35,0.0
