time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.4332
0.0,mem::flying,flying,0.4189
0.0,mem::wonder,wonder,0.4133
0.0,mem::familiar_face,familiar_face,0.4098
0.0,mem::loud_crowd,loud_crowd,0.3632
0.0,mem::grief,grief,0.3377
0.0,mem::bright_light,bright_light,0.3346
0.0,event::design_discussion,design discussion,0.3154
0.0,mem::joy,joy,0.2725
0.0,mem::teeth_loosening,teeth_loosening,0.2682
0.0,mem::school_corridor,school_corridor,0.2144
0.0,mem::cold_water,cold_water,0.2091
0.833333,event::code_review,code review,0.3521
0.833333,mem::flying,flying,0.3471
0.833333,mem::wonder,wonder,0.3452
0.833333,mem::familiar_face,familiar_face,0.344
0.833333,mem::bright_light,bright_light,0.3176
0.833333,mem::loud_crowd,loud_crowd,0.3044
0.833333,mem::joy,joy,0.2958
0.833333,mem::grief,grief,0.2942
0.833333,event::design_discussion,design discussion,0.2854
0.833333,mem::teeth_loosening,teeth_loosening,0.2666
0.833333,mem::school_corridor,school_corridor,0.2454
0.833333,mem::cold_water,cold_water,0.2431
