time_hours,node_id,node_label,activation
0.0,mem::dread,dread,0.4133
0.0,mem::school_corridor,school_corridor,0.38
0.0,mem::grief,grief,0.3632
0.0,mem::being_late,being_late,0.3577
0.0,event::code_review,code review,0.3469
0.0,mem::cold_water,cold_water,0.3443
0.0,mem::being_chased,being_chased,0.3283
0.0,mem::familiar_face,familiar_face,0.286
0.0,mem::teeth_loosening,teeth_loosening,0.2728
0.0,mem::loud_crowd,loud_crowd,0.2501
0.0,event::design_discussion,design discussion,0.2432
0.0,mem::falling,falling,0.2328
0.833333,mem::familiar_face,familiar_face,0.2634
0.833333,event::design_discussion,design discussion,0.2464
0.833333,mem::flying,flying,0.2385
0.833333,mem::joy,joy,0.2317
0.833333,mem::bright_light,bright_light,0.2236
0.833333,mem::dread,dread,0.2123
0.833333,mem::wonder,wonder,0.2051
0.833333,mem::school_corridor,school_corridor,0.195
0.833333,mem::grief,grief,0.1865
0.833333,mem::being_late,being_late,0.1835
0.833333,event::code_review,code review,0.1782
0.833333,mem::cold_water,cold_water,0.1768
