time_hours,node_id,node_label,activation
0.0,mem::wonder,wonder,0.4451
0.0,mem::familiar_face,familiar_face,0.3982
0.0,mem::dread,dread,0.3921
0.0,mem::cold_water,cold_water,0.3858
0.0,event::code_review,code review,0.3833
0.0,mem::loud_crowd,loud_crowd,0.3582
0.0,mem::being_chased,being_chased,0.3529
0.0,mem::childhood_home,childhood_home,0.3471
0.0,mem::being_late,being_late,0.3364
0.0,mem::school_corridor,school_corridor,0.3314
0.0,event::design_discussion,design discussion,0.3268
0.0,mem::joy,joy,0.2912
0.833333,mem::wonder,wonder,0.2704
0.833333,mem::familiar_face,familiar_face,0.2491
0.833333,mem::dread,dread,0.2418
0.833333,mem::cold_water,cold_water,0.2391
0.833333,event::code_review,code review,0.238
0.833333,mem::loud_crowd,loud_crowd,0.2266
0.833333,mem::being_chased,being_chased,0.2241
0.833333,mem::childhood_home,childhood_home,0.2215
0.833333,event::design_discussion,design discussion,0.2169
0.833333,mem::being_late,being_late,0.2167
0.833333,mem::school_corridor,school_corridor,0.2144
0.833333,mem::joy,joy,0.2008
