time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4915,0.2892,0.2938,0.3614,joyful,0.342,0.0
0.083333,N2,0.465,0.2693,0.2794,0.3534,curious,0.401,0.0
0.166667,N2,0.4385,0.2843,0.2427,0.3319,melancholic,0.47,0.0
0.25,N2,0.4833,0.2807,0.2587,0.3757,joyful,0.394,0.0
0.333333,N2,0.4442,0.275,0.2851,0.3561,neutral,0.422,0.0
0.416667,N3,0.3119,0.2053,0.1855,0.2939,neutral,0.35,0.0
0.5,N3,0.2998,0.2038,0.2327,0.3248,curious,0.339,0.0
0.583333,N3,0.3122,0.2013,0.2495,0.3263,curious,0.35,0.0
0.666667,N3,0.2762,0.2284,0.2137,0.3049,curious,0.35,0.0
0.75,N3,0.2987,0.176,0.2232,0.301,neutral,0.35,0.0
0.833333,N3,0.2861,0.1699,0.2061,0.2691,curious,0.344,0.0
0.916667,N3,0.3375,0.2118,0.2091,0.2898,neutral,0.35,0.0
