time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5095,0.3012,0.2986,0.3432,joyful,0.456,0.0
0.083333,N2,0.4626,0.281,0.2945,0.308,neutral,0.456,0.0
0.166667,N2,0.4603,0.2908,0.2866,0.3261,curious,0.454,0.0
0.25,N2,0.429,0.2825,0.2511,0.3241,curious,0.441,0.0
0.333333,N2,0.4412,0.2774,0.2716,0.3375,joyful,0.486,0.0
0.416667,N3,0.2921,0.1776,0.2102,0.328,joyful,0.35,0.0
0.5,N3,0.3194,0.194,0.1802,0.318,anxious,0.35,0.0
0.583333,N3,0.3313,0.2282,0.2148,0.312,curious,0.35,0.0
0.666667,N3,0.2894,0.1842,0.1979,0.2627,joyful,0.35,0.0
0.75,N3,0.2922,0.1825,0.2034,0.2911,neutral,0.35,0.0
0.833333,N3,0.3091,0.196,0.2252,0.2977,curious,0.35,0.0
0.916667,N3,0.3022,0.2307,0.2132,0.2755,serene,0.35,0.0
