time_hours,node_id,node_label,activation
0.0,mem::flying,flying,0.473
0.0,mem::wonder,wonder,0.4389
0.0,mem::familiar_face,familiar_face,0.4309
0.0,mem::falling,falling,0.3893
0.0,mem::cold_water,cold_water,0.3771
0.0,mem::childhood_home,childhood_home,0.3723
0.0,mem::joy,joy,0.3359
0.0,mem::being_chased,being_chased,0.3052
0.0,event::had_a_long_meeting,had a long meeting,0.2803
0.0,mem::teeth_loosening,teeth_loosening,0.2761
0.0,mem::grief,grief,0.2747
0.0,mem::bright_light,bright_light,0.2555
0.083333,mem::familiar_face,familiar_face,0.9868
0.083333,mem::flying,flying,0.9868
0.083333,mem::bright_light,bright_light,0.9868
0.083333,mem::joy,joy,0.9868
0.083333,mem::wonder,wonder,0.9868
0.083333,mem::falling,falling,0.3641
0.083333,mem::cold_water,cold_water,0.3527
0.083333,mem::childhood_home,childhood_home,0.3483
0.083333,mem::being_chased,being_chased,0.2856
0.083333,event::had_a_long_meeting,had a long meeting,0.2622
0.083333,mem::teeth_loosening,teeth_loosening,0.2583
0.083333,mem::grief,grief,0.257
0.166667,mem::familiar_face,familiar_face,0.9737
0.166667,mem::flying,flying,0.9737
0.166667,mem::bright_light,bright_light,0.9737
0.166667,mem::joy,joy,0.9737
0.166667,mem::wonder,wonder,0.9737
0.166667,mem::falling,falling,0.3406
0.166667,mem::cold_water,cold_water,0.33
0.166667,mem::childhood_home,childhood_home,0.3258
0.166667,mem::being_chased,being_chased,0.2672
0.166667,event::had_a_long_meeting,had a long meeting,0.2453
0.166667,mem::teeth_loosening,teeth_loosening,0.2417
0.166667,mem::grief,grief,0.2404
0.25,mem::familiar_face,familiar_face,0.9737
0.25,mem::flying,flying,0.9737
0.25,mem::bright_light,bright_light,0.9737
0.25,mem::joy,joy,0.9737
0.25,mem::wonder,wonder,0.9737
0.25,mem::falling,falling,0.905
0.25,mem::cold_water,cold_water,0.895
0.25,mem::childhood_home,childhood_home,0.8911
0.25,mem::being_chased,being_chased,0.8363
0.25,event::had_a_long_meeting,had a long meeting,0.8158
0.25,mem::teeth_loosening,teeth_loosening,0.8124
0.25,mem::grief,grief,0.8112
0.333333,mem::childhood_home,childhood_home,1.0
0.333333,mem::school_corridor,school_corridor,1.0
0.333333,mem::falling,falling,1.0
0.333333,mem::being_chased,being_chased,1.0
0.333333,mem::being_late,being_late,1.0
0.333333,mem::teeth_loosening,teeth_loosening,1.0
0.333333,mem::cold_water,cold_water,1.0
0.333333,mem::loud_crowd,loud_crowd,1.0
0.333333,mem::grief,grief,1.0
0.333333,mem::dread,dread,1.0
0.333333,event::had_a_long_meeting,had a long meeting,1.0
0.333333,mem::familiar_face,familiar_face,0.9608
0.416667,mem::familiar_face,familiar_face,0.9934
0.416667,mem::flying,flying,0.9934
0.416667,mem::bright_light,bright_light,0.9934
0.416667,mem::joy,joy,0.9934
0.416667,mem::wonder,wonder,0.9934
0.416667,mem::childhood_home,childhood_home,0.9868
0.416667,mem::school_corridor,school_corridor,0.9868
0.416667,mem::falling,falling,0.9868
0.416667,mem::being_chased,being_chased,0.9868
0.416667,mem::being_late,being_late,0.9868
0.416667,mem::teeth_loosening,teeth_loosening,0.9868
0.416667,mem::cold_water,cold_water,0.9868
0.5,mem::familiar_face,familiar_face,1.0
0.5,mem::flying,flying,1.0
0.5,mem::bright_light,bright_light,1.0
0.5,mem::joy,joy,1.0
0.5,mem::wonder,wonder,1.0
0.5,mem::childhood_home,childhood_home,0.9868
0.5,mem::school_corridor,school_corridor,0.9868
0.5,mem::falling,falling,0.9868
0.5,mem::being_chased,being_chased,0.9868
0.5,mem::being_late,being_late,0.9868
0.5,mem::teeth_loosening,teeth_loosening,0.9868
0.5,mem::cold_water,cold_water,0.9868
0.583333,mem::childhood_home,childhood_home,0.9934
0.583333,mem::school_corridor,school_corridor,0.9934
0.583333,mem::falling,falling,0.9934
0.583333,mem::being_chased,being_chased,0.9934
0.583333,mem::being_late,being_late,0.9934
0.583333,mem::teeth_loosening,teeth_loosening,0.9934
0.583333,mem::cold_water,cold_water,0.9934
0.583333,mem::loud_crowd,loud_crowd,0.9934
0.583333,mem::grief,grief,0.9934
0.583333,mem::dread,dread,0.9934
0.583333,event::had_a_long_meeting,had a long meeting,0.9934
0.583333,mem::familiar_face,familiar_face,0.9868
0.666667,mem::childhood_home,childhood_home,0.9934
0.666667,mem::school_corridor,school_corridor,0.9934
0.666667,mem::falling,falling,0.9934
0.666667,mem::being_chased,being_chased,0.9934
0.666667,mem::being_late,being_late,0.9934
0.666667,mem::teeth_loosening,teeth_loosening,0.9934
0.666667,mem::cold_water,cold_water,0.9934
0.666667,mem::loud_crowd,loud_crowd,0.9934
0.666667,mem::grief,grief,0.9934
0.666667,mem::dread,dread,0.9934
0.666667,event::had_a_long_meeting,had a long meeting,0.9934
0.666667,mem::familiar_face,familiar_face,0.9608
0.75,mem::childhood_home,childhood_home,0.9868
0.75,mem::school_corridor,school_corridor,0.9868
0.75,mem::falling,falling,0.9868
0.75,mem::being_chased,being_chased,0.9868
0.75,mem::being_late,being_late,0.9868
0.75,mem::teeth_loosening,teeth_loosening,0.9868
0.75,mem::cold_water,cold_water,0.9868
0.75,mem::loud_crowd,loud_crowd,0.9868
0.75,mem::grief,grief,0.9868
0.75,mem::dread,dread,0.9868
0.75,event::had_a_long_meeting,had a long meeting,0.9868
0.75,mem::familiar_face,familiar_face,0.9737
0.833333,mem::familiar_face,familiar_face,1.0
0.833333,mem::flying,flying,1.0
0.833333,mem::bright_light,bright_light,1.0
0.833333,mem::joy,joy,1.0
0.833333,mem::wonder,wonder,1.0
0.833333,mem::childhood_home,childhood_home,0.9802
0.833333,mem::school_corridor,school_corridor,0.9802
0.833333,mem::falling,falling,0.9802
0.833333,mem::being_chased,being_chased,0.9802
0.833333,mem::being_late,being_late,0.9802
0.833333,mem::teeth_loosening,teeth_loosening,0.9802
0.833333,mem::cold_water,cold_water,0.9802
0.916667,mem::familiar_face,familiar_face,0.9934
0.916667,mem::flying,flying,0.9934
