time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4998,0.3279,0.3092,0.3745,neutral,0.392,0.0
0.083333,N2,0.461,0.2623,0.2582,0.3643,serene,0.45,0.0
0.166667,N2,0.4495,0.3139,0.279,0.3231,joyful,0.447,0.0
0.25,N2,0.4518,0.3009,0.2857,0.3349,neutral,0.465,0.0
0.333333,N2,0.4474,0.2571,0.2966,0.3133,joyful,0.446,0.0
0.416667,N2,0.4468,0.2791,0.2961,0.3321,curious,0.438,0.0
0.5,N3,0.2851,0.2073,0.1866,0.3203,curious,0.35,0.0
0.583333,N3,0.3063,0.2341,0.2296,0.3279,curious,0.35,0.0
0.666667,N3,0.3134,0.1794,0.2038,0.3238,anxious,0.35,0.0
0.75,N3,0.2836,0.1979,0.2196,0.2768,curious,0.35,0.0
0.833333,N3,0.3277,0.203,0.1951,0.3125,neutral,0.35,0.0
0.916667,N3,0.3181,0.2284,0.2446,0.2716,neutral,0.35,0.0
