time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5126,0.2988,0.3319,0.2831,curious,0.368,0.0
0.008333,N1,0.525,0.3185,0.3103,0.3502,neutral,0.352,0.0
0.016667,N1,0.5171,0.2987,0.2971,0.3322,neutral,0.389,0.0
0.025,N1,0.4822,0.3303,0.3182,0.3655,fearful,0.329,0.0
0.033333,N1,0.5334,0.3057,0.2859,0.3342,neutral,0.381,0.0
0.041667,N1,0.4998,0.3356,0.2935,0.3633,joyful,0.343,0.0
0.05,N1,0.4645,0.2975,0.276,0.3602,neutral,0.434,0.0
0.058333,N1,0.5115,0.2878,0.2754,0.3798,anxious,0.367,0.0
0.066667,N1,0.4998,0.2833,0.3292,0.3528,neutral,0.395,0.0
0.075,N1,0.5032,0.3143,0.3183,0.3565,neutral,0.363,0.0
0.083333,N2,0.43,0.2943,0.2959,0.3618,joyful,0.38,0.0
0.091667,N2,0.432,0.2652,0.2839,0.3268,neutral,0.402,0.0
0.1,N2,0.4738,0.254,0.261,0.3288,fearful,0.383,0.0
0.108333,N2,0.3945,0.2851,0.2694,0.3352,joyful,0.377,0.0
0.116667,N2,0.4536,0.2889,0.2964,0.3563,serene,0.399,0.0
0.125,N2,0.4513,0.3044,0.2665,0.3386,curious,0.356,0.0
0.133333,N2,0.4248,0.3214,0.2839,0.3638,joyful,0.319,0.0
0.141667,N2,0.4372,0.2759,0.2947,0.373,anxious,0.442,0.0
0.15,N2,0.4725,0.269,0.2887,0.3258,curious,0.425,0.0
0.158333,N2,0.4373,0.2739,0.2488,0.3452,neutral,0.379,0.0
0.166667,N2,0.4401,0.2654,0.2859,0.3327,neutral,0.419,0.0
0.175,N2,0.4525,0.2399,0.2881,0.3447,neutral,0.421,0.0
0.183333,N2,0.4639,0.2926,0.2843,0.3582,neutral,0.391,0.0
0.191667,N2,0.4718,0.2762,0.277,0.3389,anxious,0.454,0.0
0.2,N2,0.487,0.2802,0.2849,0.3475,neutral,0.414,0.0
0.208333,N2,0.477,0.2687,0.2537,0.3281,anxious,0.418,0.0
0.216667,N2,0.4671,0.308,0.2624,0.333,serene,0.377,0.0
0.225,N2,0.4382,0.2611,0.2557,0.3523,neutral,0.424,0.0
0.233333,N2,0.4175,0.2938,0.2935,0.3003,curious,0.415,0.0
0.241667,N2,0.4607,0.2684,0.2847,0.3119,serene,0.357,0.0
0.25,N2,0.4347,0.293,0.286,0.347,neutral,0.448,0.0
0.258333,N2,0.4237,0.2643,0.2921,0.3113,joyful,0.378,0.0
0.266667,N2,0.4363,0.2636,0.2908,0.3595,fearful,0.406,0.0
0.275,N2,0.4468,0.3003,0.2924,0.321,fearful,0.404,0.0
0.283333,N2,0.4437,0.2906,0.2762,0.3181,curious,0.38,0.0
0.291667,N2,0.481,0.2512,0.2995,0.3329,neutral,0.442,0.0
0.3,N2,0.466,0.2863,0.2683,0.3734,neutral,0.408,0.0
0.308333,N2,0.469,0.266,0.2535,0.3394,curious,0.394,0.0
0.316667,N2,0.4434,0.2946,0.2803,0.3049,neutral,0.432,0.0
0.325,N2,0.4472,0.2473,0.2906,0.3418,neutral,0.363,0.0
0.333333,N2,0.4911,0.2614,0.3,0.3161,melancholic,0.406,0.0
0.341667,N2,0.4781,0.2609,0.2801,0.3474,anxious,0.449,0.0
0.35,N3,0.278,0.2087,0.2373,0.3463,neutral,0.35,0.0
0.358333,N3,0.3267,0.232,0.1683,0.3194,serene,0.35,0.0
0.366667,N3,0.2896,0.1944,0.1839,0.3366,neutral,0.33,0.0
0.375,N3,0.3013,0.2141,0.1969,0.3144,neutral,0.35,0.0
0.383333,N3,0.3122,0.1526,0.2033,0.2842,anxious,0.35,0.0
0.391667,N3,0.3201,0.1581,0.1906,0.3326,anxious,0.35,0.0
0.4,N3,0.2775,0.211,0.174,0.2997,fearful,0.35,0.0
0.408333,N3,0.3029,0.2278,0.2367,0.2988,joyful,0.314,0.0
0.416667,N3,0.2958,0.1861,0.2138,0.3299,curious,0.329,0.0
0.425,N3,0.3229,0.2455,0.1916,0.2908,curious,0.35,0.0
0.433333,N3,0.3137,0.2022,0.1876,0.2933,curious,0.35,0.0
0.441667,N3,0.3025,0.1755,0.2087,0.3281,neutral,0.329,0.0
0.45,N3,0.3047,0.1856,0.1678,0.3068,joyful,0.35,0.0
0.458333,N3,0.311,0.2079,0.2179,0.3361,anxious,0.35,0.0
0.466667,N3,0.2855,0.1579,0.1679,0.2856,joyful,0.346,0.0
0.475,N3,0.2835,0.1844,0.2165,0.3113,joyful,0.35,0.0
0.483333,N3,0.2952,0.172,0.1866,0.3129,curious,0.35,0.0
0.491667,N3,0.304,0.1944,0.2201,0.3067,joyful,0.35,0.0
0.5,N3,0.2645,0.1818,0.2108,0.2957,curious,0.349,0.0
0.508333,N3,0.2592,0.1879,0.2031,0.3419,curious,0.307,0.0
0.516667,N3,0.2928,0.2049,0.1895,0.2936,neutral,0.331,0.0
