time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4936,0.2747,0.2898,0.361,neutral,0.358,0.0
0.083333,N1,0.4837,0.3199,0.3143,0.3076,neutral,0.402,0.0
0.166667,N2,0.4593,0.3315,0.3007,0.377,neutral,0.404,0.0
0.25,N2,0.4438,0.2849,0.2883,0.2948,neutral,0.467,0.0
0.333333,N2,0.4421,0.29,0.2619,0.3124,neutral,0.462,0.0
0.416667,N2,0.4358,0.3027,0.3276,0.3196,curious,0.478,0.0
0.5,N3,0.3225,0.1746,0.2028,0.3165,anxious,0.35,0.0
0.583333,N3,0.3028,0.2112,0.1793,0.307,neutral,0.35,0.0
0.666667,N3,0.3321,0.2006,0.1808,0.2911,joyful,0.35,0.0
0.75,N3,0.2601,0.2179,0.1927,0.2703,curious,0.35,0.0
0.833333,N3,0.3226,0.1964,0.1958,0.2714,neutral,0.35,0.0
0.916667,N3,0.3233,0.181,0.207,0.2801,joyful,0.35,0.0
