time_hours,node_id,node_label,activation
0.0,event::sunrise_nap,sunrise nap,0.4122
0.0,mem::grief,grief,0.3869
0.0,mem::familiar_face,familiar_face,0.3291
0.0,mem::loud_crowd,loud_crowd,0.3267
0.0,event::early_run,early run,0.315
0.0,mem::wonder,wonder,0.2788
0.0,mem::being_late,being_late,0.2705
0.0,mem::being_chased,being_chased,0.2628
0.0,mem::bright_light,bright_light,0.2551
0.0,mem::joy,joy,0.2501
0.0,mem::dread,dread,0.2488
0.0,mem::falling,falling,0.2315
0.083333,event::sunrise_nap,sunrise nap,0.8258
0.083333,mem::grief,grief,0.8021
0.083333,mem::loud_crowd,loud_crowd,0.7458
0.083333,event::early_run,early run,0.7349
0.083333,mem::being_late,being_late,0.6932
0.083333,mem::being_chased,being_chased,0.6862
0.083333,mem::dread,dread,0.673
0.083333,mem::falling,falling,0.6569
0.083333,mem::childhood_home,childhood_home,0.6436
0.083333,mem::school_corridor,school_corridor,0.6157
0.083333,mem::familiar_face,familiar_face,0.5942
0.083333,mem::cold_water,cold_water,0.5829
0.166667,mem::childhood_home,childhood_home,0.9737
0.166667,mem::school_corridor,school_corridor,0.9737
0.166667,mem::falling,falling,0.9737
0.166667,mem::being_chased,being_chased,0.9737
0.166667,mem::being_late,being_late,0.9737
0.166667,mem::teeth_loosening,teeth_loosening,0.9737
0.166667,mem::cold_water,cold_water,0.9737
0.166667,mem::loud_crowd,loud_crowd,0.9737
0.166667,mem::grief,grief,0.9737
0.166667,mem::dread,dread,0.9737
0.166667,event::early_run,early run,0.9737
0.166667,event::sunrise_nap,sunrise nap,0.9737
0.25,mem::childhood_home,childhood_home,1.0
0.25,mem::school_corridor,school_corridor,1.0
0.25,mem::falling,falling,1.0
0.25,mem::being_chased,being_chased,1.0
0.25,mem::being_late,being_late,1.0
0.25,mem::teeth_loosening,teeth_loosening,1.0
0.25,mem::cold_water,cold_water,1.0
0.25,mem::loud_crowd,loud_crowd,1.0
0.25,mem::grief,grief,1.0
0.25,mem::dread,dread,1.0
0.25,event::early_run,early run,1.0
0.25,event::sunrise_nap,sunrise nap,1.0
0.333333,mem::childhood_home,childhood_home,0.9868
0.333333,mem::school_corridor,school_corridor,0.9868
0.333333,mem::falling,falling,0.9868
0.333333,mem::being_chased,being_chased,0.9868
0.333333,mem::being_late,being_late,0.9868
0.333333,mem::teeth_loosening,teeth_loosening,0.9868
0.333333,mem::cold_water,cold_water,0.9868
0.333333,mem::loud_crowd,loud_crowd,0.9868
0.333333,mem::grief,grief,0.9868
0.333333,mem::dread,dread,0.9868
0.333333,event::early_run,early run,0.9868
0.333333,event::sunrise_nap,sunrise nap,0.9868
0.416667,mem::familiar_face,familiar_face,1.0
0.416667,mem::flying,flying,1.0
0.416667,mem::bright_light,bright_light,1.0
0.416667,mem::joy,joy,1.0
0.416667,mem::wonder,wonder,1.0
0.416667,mem::childhood_home,childhood_home,0.9934
0.416667,mem::school_corridor,school_corridor,0.9934
