time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4759,0.3219,0.3202,0.3739,joyful,0.415,0.0
0.083333,N1,0.4718,0.3179,0.2951,0.3324,neutral,0.434,0.0
0.166667,N2,0.4602,0.2699,0.3413,0.3332,curious,0.346,0.0
0.25,N2,0.4505,0.2807,0.2647,0.3245,curious,0.429,0.0
0.333333,N2,0.4646,0.2999,0.3149,0.3373,neutral,0.424,0.0
0.416667,N2,0.464,0.2936,0.3027,0.3079,melancholic,0.426,0.0
0.5,N3,0.278,0.2129,0.213,0.3399,anxious,0.35,0.0
0.583333,N3,0.3256,0.1867,0.2138,0.3429,serene,0.35,0.0
0.666667,N3,0.299,0.1639,0.205,0.273,joyful,0.35,0.0
0.75,N3,0.3148,0.2018,0.2027,0.3075,neutral,0.35,0.0
0.833333,N3,0.2831,0.2038,0.2074,0.2863,serene,0.35,0.0
0.916667,N3,0.2643,0.1782,0.2022,0.2715,neutral,0.35,0.0
