time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.4482
0.0,mem::teeth_loosening,teeth_loosening,0.4158
0.0,mem::childhood_home,childhood_home,0.4073
0.0,mem::being_late,being_late,0.3975
0.0,mem::bright_light,bright_light,0.3667
0.0,mem::flying,flying,0.3643
0.0,mem::grief,grief,0.3601
0.0,mem::cold_water,cold_water,0.3193
0.0,mem::recurring_journey,recurring_journey,0.2747
0.0,mem::dread,dread,0.2527
0.0,mem::falling,falling,0.2461
0.0,mem::loud_crowd,loud_crowd,0.2408
0.083333,mem::teeth_loosening,teeth_loosening,0.6589
0.083333,mem::childhood_home,childhood_home,0.6552
0.083333,mem::being_late,being_late,0.651
0.083333,mem::grief,grief,0.6348
0.083333,mem::cold_water,cold_water,0.617
0.083333,mem::dread,dread,0.588
0.083333,mem::falling,falling,0.5853
0.083333,mem::loud_crowd,loud_crowd,0.583
0.083333,mem::being_chased,being_chased,0.5747
0.083333,mem::school_corridor,school_corridor,0.5674
0.083333,event::had_a_long_meeting,had a long meeting,0.5276
0.083333,mem::bright_light,bright_light,0.4685
0.166667,mem::teeth_loosening,teeth_loosening,0.7822
0.166667,mem::childhood_home,childhood_home,0.7807
0.166667,mem::being_late,being_late,0.779
0.166667,mem::grief,grief,0.7727
0.166667,mem::cold_water,cold_water,0.7661
0.166667,mem::dread,dread,0.7549
0.166667,mem::falling,falling,0.754
0.166667,mem::loud_crowd,loud_crowd,0.7531
0.166667,mem::being_chased,being_chased,0.7497
0.166667,mem::school_corridor,school_corridor,0.7471
0.166667,event::had_a_long_meeting,had a long meeting,0.5448
0.166667,mem::bright_light,bright_light,0.496
0.25,mem::teeth_loosening,teeth_loosening,0.8464
0.25,mem::childhood_home,childhood_home,0.846
0.25,mem::being_late,being_late,0.8455
0.25,mem::grief,grief,0.8438
0.25,mem::cold_water,cold_water,0.8418
0.25,mem::dread,dread,0.8385
0.25,mem::falling,falling,0.8382
0.25,mem::loud_crowd,loud_crowd,0.838
0.25,mem::being_chased,being_chased,0.8368
0.25,mem::school_corridor,school_corridor,0.836
0.25,event::had_a_long_meeting,had a long meeting,0.5097
0.25,mem::bright_light,bright_light,0.464
0.333333,mem::teeth_loosening,teeth_loosening,0.8474
0.333333,mem::childhood_home,childhood_home,0.8473
0.333333,mem::being_late,being_late,0.847
0.333333,mem::grief,grief,0.8463
0.333333,mem::cold_water,cold_water,0.8454
0.333333,mem::dread,dread,0.844
0.333333,mem::falling,falling,0.8438
0.333333,mem::loud_crowd,loud_crowd,0.8437
0.333333,mem::being_chased,being_chased,0.8432
0.333333,mem::school_corridor,school_corridor,0.8428
0.333333,event::had_a_long_meeting,had a long meeting,0.5277
0.333333,mem::bright_light,bright_light,0.4902
0.416667,mem::childhood_home,childhood_home,0.8518
0.416667,mem::teeth_loosening,teeth_loosening,0.8518
0.416667,mem::being_late,being_late,0.8516
0.416667,mem::grief,grief,0.8514
0.416667,mem::cold_water,cold_water,0.851
0.416667,mem::dread,dread,0.8505
0.416667,mem::falling,falling,0.8504
0.416667,mem::loud_crowd,loud_crowd,0.8504
0.416667,mem::being_chased,being_chased,0.8501
0.416667,mem::school_corridor,school_corridor,0.85
0.416667,event::had_a_long_meeting,had a long meeting,0.5442
0.416667,mem::bright_light,bright_light,0.5132
0.5,mem::childhood_home,childhood_home,0.8463
0.5,mem::being_late,being_late,0.8463
0.5,mem::teeth_loosening,teeth_loosening,0.8463
0.5,mem::grief,grief,0.8461
0.5,mem::cold_water,cold_water,0.8458
0.5,mem::falling,falling,0.8456
0.5,mem::loud_crowd,loud_crowd,0.8456
0.5,mem::dread,dread,0.8456
0.5,mem::school_corridor,school_corridor,0.8454
0.5,mem::being_chased,being_chased,0.8454
0.5,event::had_a_long_meeting,had a long meeting,0.6291
0.5,mem::bright_light,bright_light,0.6093
0.583333,mem::childhood_home,childhood_home,0.8345
0.583333,mem::being_late,being_late,0.8345
0.583333,mem::teeth_loosening,teeth_loosening,0.8345
0.583333,mem::grief,grief,0.8344
0.583333,mem::cold_water,cold_water,0.8343
0.583333,mem::falling,falling,0.8341
0.583333,mem::loud_crowd,loud_crowd,0.8341
0.583333,mem::dread,dread,0.8341
0.583333,mem::school_corridor,school_corridor,0.834
0.583333,mem::being_chased,being_chased,0.834
0.583333,event::had_a_long_meeting,had a long meeting,0.734
