time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4959,0.2886,0.2911,0.3836,curious,0.398,0.0
0.083333,N2,0.4531,0.2555,0.2807,0.3589,curious,0.47,0.0
0.166667,N2,0.4395,0.2752,0.2949,0.3852,curious,0.418,0.0
0.25,N2,0.4586,0.2728,0.2717,0.2962,serene,0.466,0.0
0.333333,N2,0.4184,0.2569,0.3023,0.3158,neutral,0.375,0.0
0.416667,N3,0.3327,0.191,0.1751,0.3029,curious,0.35,0.0
0.5,N3,0.3038,0.212,0.1804,0.3254,joyful,0.35,0.0
0.583333,N3,0.2987,0.1854,0.1637,0.3013,curious,0.35,0.0
0.666667,N3,0.2994,0.1943,0.1777,0.3267,fearful,0.35,0.0
0.75,N3,0.3122,0.1813,0.2147,0.2974,neutral,0.35,0.0
0.833333,N2,0.4315,0.2694,0.2999,0.309,serene,0.445,0.0
0.916667,N2,0.4488,0.2646,0.2858,0.2662,joyful,0.445,0.0
