time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.5274
0.0,mem::loud_crowd,loud_crowd,0.3968
0.0,mem::grief,grief,0.3746
0.0,mem::cold_water,cold_water,0.3714
0.0,mem::childhood_home,childhood_home,0.3241
0.0,mem::being_chased,being_chased,0.3228
0.0,mem::school_corridor,school_corridor,0.3053
0.0,mem::being_late,being_late,0.2913
0.0,mem::familiar_face,familiar_face,0.2894
0.0,mem::teeth_loosening,teeth_loosening,0.2389
0.0,mem::wonder,wonder,0.2352
0.0,mem::dread,dread,0.2327
0.833333,event::design_discussion,design discussion,0.3807
0.833333,mem::loud_crowd,loud_crowd,0.3288
0.833333,mem::grief,grief,0.3199
0.833333,mem::cold_water,cold_water,0.3186
0.833333,mem::childhood_home,childhood_home,0.2998
0.833333,mem::being_chased,being_chased,0.2994
0.833333,mem::school_corridor,school_corridor,0.2924
0.833333,mem::being_late,being_late,0.2869
0.833333,mem::teeth_loosening,teeth_loosening,0.2661
0.833333,mem::dread,dread,0.2636
0.833333,mem::falling,falling,0.2546
0.833333,mem::familiar_face,familiar_face,0.2
