time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5131,0.2868,0.3212,0.3944,anxious,0.35,0.0
0.083333,N2,0.4213,0.2851,0.2678,0.3464,neutral,0.373,0.0
0.166667,N2,0.4398,0.2824,0.2822,0.3512,neutral,0.397,0.0
0.25,N2,0.4563,0.2823,0.311,0.3355,joyful,0.411,0.0
0.333333,N2,0.4687,0.312,0.305,0.3049,neutral,0.418,0.0
0.416667,N2,0.4234,0.2518,0.3052,0.3179,neutral,0.453,0.0
0.5,N3,0.2655,0.1907,0.188,0.3156,melancholic,0.35,0.0
0.583333,N3,0.2837,0.1935,0.2236,0.3029,neutral,0.35,0.0
0.666667,N3,0.2849,0.2235,0.1908,0.291,anxious,0.35,0.0
0.75,N3,0.2739,0.1821,0.21,0.2863,neutral,0.35,0.0
0.833333,N3,0.2907,0.2011,0.1857,0.2634,curious,0.35,0.0
0.916667,N3,0.3055,0.1997,0.2032,0.2539,anxious,0.35,0.0
