time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5101,0.296,0.3343,0.36,fearful,0.377,0.0
0.008333,N1,0.5286,0.256,0.3192,0.3748,curious,0.379,0.0
0.016667,N1,0.5056,0.2756,0.317,0.3369,curious,0.35,0.0
0.025,N1,0.485,0.2403,0.2911,0.3344,neutral,0.349,0.0
0.033333,N1,0.5147,0.2354,0.3265,0.3452,neutral,0.338,0.0
0.041667,N1,0.5019,0.2775,0.2691,0.3304,curious,0.327,0.0
0.05,N1,0.4965,0.2597,0.3043,0.3266,neutral,0.374,0.0
0.058333,N1,0.5012,0.2482,0.2479,0.3577,neutral,0.354,0.0
0.066667,N2,0.4552,0.2525,0.2631,0.3537,neutral,0.402,0.0
0.075,N2,0.4511,0.2888,0.2458,0.3304,curious,0.448,0.0
0.083333,N2,0.4514,0.2659,0.2563,0.3426,neutral,0.425,0.0
0.091667,N2,0.4382,0.2355,0.2591,0.3391,curious,0.373,0.0
0.1,N2,0.4499,0.274,0.3099,0.3642,fearful,0.357,0.0
0.108333,N2,0.4451,0.2377,0.2459,0.3411,joyful,0.367,0.0
0.116667,N2,0.4614,0.2251,0.3029,0.3558,curious,0.376,0.0
0.125,N2,0.4794,0.2571,0.2978,0.3435,neutral,0.373,0.0
0.133333,N2,0.4822,0.2472,0.2582,0.3315,joyful,0.378,0.0
0.141667,N2,0.476,0.2258,0.2884,0.3287,curious,0.402,0.0
0.15,N2,0.4356,0.2788,0.2556,0.3888,neutral,0.429,0.0
0.158333,N2,0.4582,0.2762,0.2894,0.3134,curious,0.371,0.0
0.166667,N2,0.4311,0.2291,0.2861,0.3537,anxious,0.403,0.0
0.175,N2,0.4716,0.2485,0.2852,0.3248,melancholic,0.373,0.0
0.183333,N2,0.4608,0.2506,0.3,0.3759,curious,0.397,0.0
0.191667,N2,0.4277,0.2335,0.2708,0.3344,melancholic,0.394,0.0
0.2,N2,0.4429,0.2158,0.2806,0.343,melancholic,0.398,0.0
0.208333,N2,0.4781,0.2215,0.266,0.311,joyful,0.381,0.0
0.216667,N2,0.4687,0.2358,0.273,0.3281,curious,0.407,0.0
0.225,N2,0.3961,0.2231,0.2473,0.3504,neutral,0.376,0.0
0.233333,N2,0.5023,0.2329,0.282,0.3396,joyful,0.402,0.0
0.241667,N2,0.4694,0.2654,0.2671,0.3399,curious,0.361,0.0
0.25,N2,0.4422,0.312,0.275,0.3288,neutral,0.437,0.0
