time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5206,0.3586,0.3203,0.3225,neutral,0.441,0.0
0.008333,N1,0.5203,0.3597,0.318,0.3289,anxious,0.413,0.0
0.016667,N1,0.4882,0.3128,0.2978,0.3324,anxious,0.385,0.0
0.025,N1,0.5335,0.3516,0.2528,0.3198,curious,0.455,0.0
0.033333,N1,0.5023,0.3644,0.3022,0.3452,neutral,0.396,0.0
0.041667,N1,0.5442,0.3546,0.2514,0.3465,anxious,0.442,0.0
0.05,N1,0.4879,0.379,0.3158,0.3438,anxious,0.389,0.0
0.058333,N1,0.5105,0.3508,0.3129,0.3077,neutral,0.418,0.0
0.066667,N1,0.4915,0.387,0.2438,0.3445,fearful,0.459,0.0
0.075,N1,0.5008,0.3504,0.2713,0.3581,serene,0.436,0.0
0.083333,N2,0.4086,0.3753,0.2963,0.3425,neutral,0.438,0.0
0.091667,N2,0.4371,0.3264,0.267,0.3789,curious,0.484,0.0
0.1,N2,0.4292,0.3493,0.2541,0.3239,curious,0.476,0.0
0.108333,N2,0.4646,0.3597,0.2717,0.3521,melancholic,0.481,0.0
0.116667,N2,0.4667,0.3656,0.292,0.37,melancholic,0.485,0.0
0.125,N2,0.4379,0.3737,0.2904,0.361,anxious,0.518,0.0
0.133333,N2,0.4571,0.3047,0.2853,0.3461,fearful,0.454,0.0
0.141667,N2,0.4595,0.3633,0.3142,0.3131,anxious,0.399,0.0
0.15,N2,0.4568,0.3402,0.2632,0.3213,melancholic,0.473,0.0
0.158333,N2,0.4507,0.3673,0.2799,0.3103,neutral,0.477,0.0
0.166667,N2,0.4252,0.3671,0.2965,0.3427,anxious,0.478,0.0
0.175,N2,0.4725,0.333,0.2535,0.3207,joyful,0.464,0.0
0.183333,N2,0.4508,0.3417,0.2882,0.3445,fearful,0.419,0.0
0.191667,N2,0.4316,0.3325,0.2723,0.3509,joyful,0.451,0.0
0.2,N2,0.4113,0.3496,0.3235,0.3378,joyful,0.468,0.0
0.208333,N2,0.4725,0.3363,0.2813,0.3384,neutral,0.451,0.0
0.216667,N2,0.4615,0.3466,0.2791,0.3313,fearful,0.478,0.0
0.225,N2,0.4213,0.3361,0.3131,0.3395,neutral,0.454,0.0
