time_hours,node_id,node_label,activation
0.0,mem::familiar_face,familiar_face,0.4306
0.0,mem::cold_water,cold_water,0.3688
0.0,mem::teeth_loosening,teeth_loosening,0.3652
0.0,mem::wonder,wonder,0.355
0.0,mem::flying,flying,0.3403
0.0,event::had_a_long_meeting,had a long meeting,0.3281
0.0,mem::falling,falling,0.3192
0.0,mem::bright_light,bright_light,0.311
0.0,mem::recurring_journey,recurring_journey,0.2722
0.0,mem::joy,joy,0.2582
0.0,mem::loud_crowd,loud_crowd,0.2544
0.0,mem::school_corridor,school_corridor,0.2447
0.083333,mem::familiar_face,familiar_face,0.5599
0.083333,mem::wonder,wonder,0.5116
0.083333,mem::flying,flying,0.5023
0.083333,event::had_a_long_meeting,had a long meeting,0.4944
0.083333,mem::bright_light,bright_light,0.4836
0.083333,mem::cold_water,cold_water,0.4653
0.083333,mem::teeth_loosening,teeth_loosening,0.4629
0.083333,mem::joy,joy,0.4499
0.083333,mem::falling,falling,0.4294
0.083333,mem::loud_crowd,loud_crowd,0.3825
0.083333,mem::school_corridor,school_corridor,0.3756
0.083333,mem::childhood_home,childhood_home,0.3335
0.166667,mem::familiar_face,familiar_face,0.7025
0.166667,mem::wonder,wonder,0.6786
0.166667,mem::flying,flying,0.674
0.166667,event::had_a_long_meeting,had a long meeting,0.67
0.166667,mem::bright_light,bright_light,0.6647
0.166667,mem::joy,joy,0.6482
0.166667,mem::cold_water,cold_water,0.4876
0.166667,mem::teeth_loosening,teeth_loosening,0.4857
0.166667,mem::falling,falling,0.4582
0.166667,mem::loud_crowd,loud_crowd,0.4197
0.166667,mem::school_corridor,school_corridor,0.4138
0.166667,mem::childhood_home,childhood_home,0.3792
0.25,mem::familiar_face,familiar_face,0.6859
0.25,mem::wonder,wonder,0.6662
0.25,mem::flying,flying,0.6624
0.25,event::had_a_long_meeting,had a long meeting,0.6591
0.25,mem::bright_light,bright_light,0.6547
0.25,mem::joy,joy,0.6411
0.25,mem::cold_water,cold_water,0.5937
0.25,mem::teeth_loosening,teeth_loosening,0.5926
0.25,mem::falling,falling,0.575
0.25,mem::loud_crowd,loud_crowd,0.5504
0.25,mem::school_corridor,school_corridor,0.5468
0.25,mem::childhood_home,childhood_home,0.5247
0.333333,mem::familiar_face,familiar_face,0.7462
0.333333,mem::wonder,wonder,0.7351
0.333333,mem::flying,flying,0.733
0.333333,event::had_a_long_meeting,had a long meeting,0.7312
0.333333,mem::bright_light,bright_light,0.7287
0.333333,mem::joy,joy,0.7211
0.333333,mem::cold_water,cold_water,0.629
0.333333,mem::teeth_loosening,teeth_loosening,0.6282
0.333333,mem::falling,falling,0.6154
0.333333,mem::loud_crowd,loud_crowd,0.5975
0.333333,mem::school_corridor,school_corridor,0.5949
0.333333,mem::childhood_home,childhood_home,0.5789
0.416667,mem::familiar_face,familiar_face,0.7634
0.416667,mem::wonder,wonder,0.7562
0.416667,mem::flying,flying,0.755
0.416667,event::had_a_long_meeting,had a long meeting,0.7539
0.416667,mem::bright_light,bright_light,0.7523
0.416667,mem::joy,joy,0.7474
0.416667,mem::cold_water,cold_water,0.6253
0.416667,mem::teeth_loosening,teeth_loosening,0.6247
0.416667,mem::falling,falling,0.6141
0.416667,mem::loud_crowd,loud_crowd,0.5994
0.416667,mem::school_corridor,school_corridor,0.5973
0.416667,mem::childhood_home,childhood_home,0.5841
0.5,mem::familiar_face,familiar_face,0.7559
0.5,mem::wonder,wonder,0.7505
0.5,mem::flying,flying,0.7498
0.5,event::had_a_long_meeting,had a long meeting,0.7491
0.5,mem::bright_light,bright_light,0.7478
0.5,mem::joy,joy,0.7443
0.5,mem::cold_water,cold_water,0.6519
0.5,mem::teeth_loosening,teeth_loosening,0.6514
0.5,mem::falling,falling,0.6438
0.5,mem::loud_crowd,loud_crowd,0.6331
0.5,mem::school_corridor,school_corridor,0.6316
0.5,mem::childhood_home,childhood_home,0.622
0.583333,mem::cold_water,cold_water,0.7662
0.583333,mem::teeth_loosening,teeth_loosening,0.7659
0.583333,mem::falling,falling,0.7627
0.583333,mem::loud_crowd,loud_crowd,0.758
0.583333,mem::school_corridor,school_corridor,0.7574
0.583333,mem::childhood_home,childhood_home,0.7532
0.583333,mem::grief,grief,0.7518
0.583333,mem::dread,dread,0.7495
0.583333,mem::being_late,being_late,0.7488
0.583333,mem::being_chased,being_chased,0.7479
0.583333,mem::familiar_face,familiar_face,0.7269
0.583333,mem::wonder,wonder,0.7224
0.666667,mem::cold_water,cold_water,0.7693
0.666667,mem::teeth_loosening,teeth_loosening,0.7691
0.666667,mem::falling,falling,0.7671
0.666667,mem::loud_crowd,loud_crowd,0.7642
