time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5255,0.2955,0.325,0.3364,joyful,0.384,0.0
0.008333,N1,0.5201,0.2809,0.2875,0.3578,anxious,0.384,0.0
0.016667,N1,0.4783,0.3037,0.3256,0.3559,neutral,0.286,0.0
0.025,N1,0.5289,0.3025,0.2909,0.3501,joyful,0.365,0.0
0.033333,N1,0.4896,0.2964,0.2828,0.3661,joyful,0.346,0.0
0.041667,N1,0.5154,0.2978,0.2958,0.351,fearful,0.412,0.0
0.05,N1,0.5027,0.3178,0.2998,0.3409,neutral,0.359,0.0
0.058333,N1,0.4591,0.2802,0.3255,0.3529,neutral,0.35,0.0
0.066667,N1,0.4795,0.2706,0.3013,0.338,neutral,0.34,0.0
0.075,N1,0.5086,0.2827,0.3137,0.3644,neutral,0.353,0.0
0.083333,N1,0.5041,0.3136,0.3126,0.3467,joyful,0.393,0.0
0.091667,N1,0.5209,0.2983,0.2714,0.3228,curious,0.354,0.0
0.1,N2,0.4649,0.2731,0.2965,0.3718,anxious,0.449,0.0
0.108333,N2,0.4805,0.2788,0.2742,0.323,serene,0.416,0.0
0.116667,N2,0.4586,0.2839,0.2871,0.3616,curious,0.376,0.0
0.125,N2,0.4588,0.2687,0.2598,0.2988,joyful,0.358,0.0
0.133333,N2,0.4587,0.2797,0.2733,0.3099,curious,0.437,0.0
0.141667,N2,0.4563,0.2976,0.3241,0.335,joyful,0.424,0.0
0.15,N2,0.44,0.2725,0.3073,0.3451,serene,0.347,0.0
0.158333,N2,0.4656,0.2737,0.2935,0.3174,curious,0.418,0.0
0.166667,N2,0.4312,0.2684,0.2928,0.3642,joyful,0.365,0.0
0.175,N2,0.4303,0.2522,0.3168,0.3307,anxious,0.376,0.0
0.183333,N2,0.4518,0.3091,0.3171,0.3123,curious,0.441,0.0
0.191667,N2,0.4435,0.2885,0.2771,0.3135,anxious,0.437,0.0
0.2,N2,0.4389,0.2824,0.2916,0.3101,neutral,0.421,0.0
0.208333,N2,0.4316,0.2826,0.259,0.3235,neutral,0.35,0.0
0.216667,N2,0.4624,0.2927,0.2649,0.3363,serene,0.454,0.0
0.225,N2,0.444,0.2599,0.2604,0.3261,neutral,0.401,0.0
0.233333,N2,0.4344,0.2618,0.2769,0.3215,neutral,0.374,0.0
0.241667,N2,0.4398,0.3087,0.2957,0.3278,anxious,0.37,0.0
0.25,N2,0.4713,0.2966,0.278,0.2889,neutral,0.426,0.0
0.258333,N2,0.4639,0.2763,0.2256,0.327,curious,0.399,0.0
0.266667,N2,0.4498,0.2424,0.3247,0.3413,joyful,0.356,0.0
0.275,N2,0.4484,0.2826,0.2913,0.3216,anxious,0.401,0.0
0.283333,N2,0.4075,0.2754,0.3142,0.3218,melancholic,0.406,0.0
0.291667,N2,0.4579,0.2495,0.2763,0.3683,neutral,0.424,0.0
0.3,N2,0.4586,0.2336,0.259,0.3068,neutral,0.46,0.0
0.308333,N2,0.4588,0.2846,0.2625,0.367,serene,0.365,0.0
0.316667,N2,0.4274,0.247,0.2859,0.3413,joyful,0.362,0.0
0.325,N2,0.4516,0.2682,0.3049,0.3296,neutral,0.322,0.0
0.333333,N2,0.4042,0.278,0.2624,0.3139,joyful,0.417,0.0
0.341667,N2,0.4001,0.2866,0.2999,0.3222,curious,0.427,0.0
0.35,N2,0.4382,0.2719,0.2836,0.3002,neutral,0.411,0.0
0.358333,N2,0.4276,0.3076,0.2988,0.3543,curious,0.38,0.0
0.366667,N2,0.4583,0.3017,0.2807,0.3204,serene,0.384,0.0
0.375,N2,0.4745,0.2948,0.2936,0.3051,neutral,0.431,0.0
0.383333,N2,0.4431,0.2448,0.2997,0.3373,anxious,0.411,0.0
0.391667,N2,0.4112,0.2657,0.2811,0.3208,curious,0.388,0.0
0.4,N3,0.3077,0.2282,0.207,0.3073,joyful,0.325,0.0
0.408333,N3,0.3087,0.1889,0.172,0.3495,joyful,0.35,0.0
0.416667,N3,0.2954,0.1864,0.2221,0.3008,neutral,0.35,0.0
0.425,N3,0.3043,0.1669,0.2103,0.3251,neutral,0.35,0.0
0.433333,N3,0.3172,0.2169,0.1539,0.3429,melancholic,0.35,0.0
0.441667,N3,0.3351,0.1921,0.1938,0.3487,curious,0.334,0.0
0.45,N3,0.277,0.2163,0.2091,0.2999,neutral,0.35,0.0
0.458333,N3,0.2794,0.1932,0.2102,0.3136,anxious,0.35,0.0
0.466667,N3,0.3213,0.2422,0.1629,0.324,serene,0.35,0.0
0.475,N3,0.3266,0.2029,0.2006,0.327,joyful,0.35,0.0
0.483333,N3,0.286,0.1891,0.2125,0.339,neutral,0.343,0.0
0.491667,N3,0.2891,0.1906,0.1847,0.3125,neutral,0.333,0.0
