time_hours,node_id,node_label,activation
0.0,mem::school_corridor,school_corridor,0.3879
0.0,mem::loud_crowd,loud_crowd,0.3711
0.0,event::code_review,code review,0.3563
0.0,mem::joy,joy,0.321
0.0,mem::familiar_face,familiar_face,0.3185
0.0,mem::being_chased,being_chased,0.293
0.0,mem::being_late,being_late,0.2656
0.0,mem::recurring_journey,recurring_journey,0.2614
0.0,mem::wonder,wonder,0.2455
0.0,event::design_discussion,design discussion,0.2364
0.0,mem::bright_light,bright_light,0.2237
0.0,mem::childhood_home,childhood_home,0.1938
0.833333,mem::joy,joy,0.3748
0.833333,mem::familiar_face,familiar_face,0.374
0.833333,mem::wonder,wonder,0.3484
0.833333,event::design_discussion,design discussion,0.3453
0.833333,mem::bright_light,bright_light,0.3408
0.833333,mem::flying,flying,0.312
0.833333,mem::school_corridor,school_corridor,0.3056
0.833333,mem::loud_crowd,loud_crowd,0.299
0.833333,event::code_review,code review,0.293
0.833333,mem::being_chased,being_chased,0.2678
0.833333,mem::being_late,being_late,0.2571
0.833333,mem::childhood_home,childhood_home,0.2285
