time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.503,0.2918,0.2515,0.3296,melancholic,0.402,0.0
0.083333,N1,0.5064,0.2949,0.3048,0.3337,neutral,0.339,0.0
0.166667,N2,0.4267,0.2637,0.2754,0.3564,neutral,0.507,0.0
0.25,N2,0.4319,0.285,0.3113,0.3105,melancholic,0.484,0.0
0.333333,N2,0.477,0.3048,0.2775,0.2898,neutral,0.508,0.0
0.416667,N3,0.3391,0.1922,0.1881,0.3203,curious,0.35,0.0
0.5,N3,0.2945,0.2007,0.1677,0.2916,joyful,0.35,0.0
0.583333,N3,0.283,0.2115,0.1858,0.3177,neutral,0.35,0.0
0.666667,N3,0.2738,0.1933,0.2046,0.3013,melancholic,0.35,0.0
0.75,N3,0.2927,0.2036,0.195,0.3347,melancholic,0.35,0.0
0.833333,N3,0.2888,0.232,0.2283,0.2648,neutral,0.332,0.0
0.916667,N2,0.4615,0.3212,0.294,0.2614,melancholic,0.439,0.0
