time_hours,node_id,node_label,activation
0.0,event::crowded_train,crowded train,0.496
0.0,mem::joy,joy,0.3922
0.0,mem::being_late,being_late,0.3838
0.0,mem::familiar_face,familiar_face,0.3835
0.0,mem::being_chased,being_chased,0.3791
0.0,mem::recurring_journey,recurring_journey,0.3664
0.0,mem::flying,flying,0.3407
0.0,event::deadline,deadline,0.3226
0.0,mem::grief,grief,0.3048
0.0,mem::school_corridor,school_corridor,0.2764
0.0,mem::wonder,wonder,0.2746
0.0,mem::loud_crowd,loud_crowd,0.2692
0.083333,event::crowded_train,crowded train,0.7197
0.083333,mem::being_late,being_late,0.6769
0.083333,mem::being_chased,being_chased,0.675
0.083333,event::deadline,deadline,0.6534
0.083333,mem::grief,grief,0.6466
0.083333,mem::school_corridor,school_corridor,0.6357
0.083333,mem::loud_crowd,loud_crowd,0.633
0.083333,mem::falling,falling,0.6257
0.083333,mem::cold_water,cold_water,0.622
0.083333,mem::childhood_home,childhood_home,0.6143
0.083333,mem::teeth_loosening,teeth_loosening,0.6137
0.083333,mem::dread,dread,0.6076
0.166667,event::crowded_train,crowded train,0.7789
0.166667,mem::being_late,being_late,0.7579
0.166667,mem::being_chased,being_chased,0.7569
0.166667,event::deadline,deadline,0.7462
0.166667,mem::grief,grief,0.7427
0.166667,mem::school_corridor,school_corridor,0.7374
0.166667,mem::loud_crowd,loud_crowd,0.7361
0.166667,mem::falling,falling,0.7326
0.166667,mem::cold_water,cold_water,0.7307
0.166667,mem::childhood_home,childhood_home,0.7269
0.166667,mem::teeth_loosening,teeth_loosening,0.7265
0.166667,mem::dread,dread,0.7236
0.25,event::crowded_train,crowded train,0.8431
0.25,mem::being_late,being_late,0.8369
0.25,mem::being_chased,being_chased,0.8365
0.25,event::deadline,deadline,0.8334
0.25,mem::grief,grief,0.8324
0.25,mem::school_corridor,school_corridor,0.8308
0.25,mem::loud_crowd,loud_crowd,0.8302
0.25,mem::falling,falling,0.8293
0.25,mem::cold_water,cold_water,0.8287
0.25,mem::childhood_home,childhood_home,0.8275
0.25,mem::teeth_loosening,teeth_loosening,0.8274
0.25,mem::dread,dread,0.8268
0.333333,event::crowded_train,crowded train,0.8645
0.333333,mem::being_late,being_late,0.8626
0.333333,mem::being_chased,being_chased,0.8625
0.333333,event::deadline,deadline,0.8617
0.333333,mem::grief,grief,0.8615
0.333333,mem::school_corridor,school_corridor,0.861
0.333333,mem::loud_crowd,loud_crowd,0.8607
0.333333,mem::falling,falling,0.8604
0.333333,mem::cold_water,cold_water,0.8603
0.333333,mem::childhood_home,childhood_home,0.8599
0.333333,mem::teeth_loosening,teeth_loosening,0.8599
0.333333,mem::dread,dread,0.8596
0.416667,event::crowded_train,crowded train,0.8652
0.416667,mem::being_chased,being_chased,0.8646
0.416667,mem::being_late,being_late,0.8646
0.416667,mem::grief,grief,0.8643
0.416667,event::deadline,deadline,0.8643
0.416667,mem::school_corridor,school_corridor,0.8642
0.416667,mem::loud_crowd,loud_crowd,0.864
0.416667,mem::falling,falling,0.8639
0.416667,mem::cold_water,cold_water,0.8639
0.416667,mem::childhood_home,childhood_home,0.8638
0.416667,mem::teeth_loosening,teeth_loosening,0.8638
0.416667,mem::dread,dread,0.8637
0.5,event::crowded_train,crowded train,0.8594
0.5,mem::being_chased,being_chased,0.8591
0.5,mem::being_late,being_late,0.8591
0.5,mem::grief,grief,0.859
0.5,event::deadline,deadline,0.859
0.5,mem::school_corridor,school_corridor,0.8589
0.5,mem::childhood_home,childhood_home,0.8588
0.5,mem::falling,falling,0.8588
0.5,mem::teeth_loosening,teeth_loosening,0.8588
0.5,mem::cold_water,cold_water,0.8588
0.5,mem::loud_crowd,loud_crowd,0.8588
0.5,mem::dread,dread,0.8587
0.583333,event::crowded_train,crowded train,0.8646
0.583333,mem::being_chased,being_chased,0.8645
0.583333,mem::being_late,being_late,0.8645
0.583333,mem::school_corridor,school_corridor,0.8644
0.583333,mem::grief,grief,0.8644
0.583333,event::deadline,deadline,0.8644
0.583333,mem::childhood_home,childhood_home,0.8643
0.583333,mem::falling,falling,0.8643
0.583333,mem::teeth_loosening,teeth_loosening,0.8643
0.583333,mem::cold_water,cold_water,0.8643
0.583333,mem::loud_crowd,loud_crowd,0.8643
0.583333,mem::dread,dread,0.8643
0.666667,mem::being_chased,being_chased,0.8671
0.666667,mem::being_late,being_late,0.8671
0.666667,event::crowded_train,crowded train,0.8671
0.666667,mem::childhood_home,childhood_home,0.867
0.666667,mem::school_corridor,school_corridor,0.867
0.666667,mem::falling,falling,0.867
0.666667,mem::teeth_loosening,teeth_loosening,0.867
0.666667,mem::cold_water,cold_water,0.867
0.666667,mem::loud_crowd,loud_crowd,0.867
0.666667,mem::grief,grief,0.867
0.666667,mem::dread,dread,0.867
