time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5087,0.2883,0.301,0.3615,anxious,0.399,0.0
0.083333,N2,0.4455,0.2981,0.3267,0.3494,neutral,0.424,0.0
0.166667,N2,0.4898,0.2799,0.2757,0.3088,joyful,0.476,0.0
0.25,N2,0.4528,0.2727,0.2933,0.3094,curious,0.439,0.0
0.333333,N2,0.4091,0.3129,0.2763,0.3078,melancholic,0.419,0.0
0.416667,N3,0.3297,0.2007,0.1797,0.3423,serene,0.35,0.0
0.5,N3,0.2934,0.2118,0.231,0.3014,fearful,0.35,0.0
0.583333,N3,0.2995,0.2202,0.2175,0.328,joyful,0.35,0.0
0.666667,N3,0.3102,0.2062,0.1896,0.298,joyful,0.339,0.0
0.75,N3,0.2854,0.2098,0.1998,0.266,melancholic,0.35,0.0
0.833333,N2,0.4518,0.295,0.3,0.2931,neutral,0.429,0.0
0.916667,N2,0.4587,0.2939,0.284,0.252,fearful,0.42,0.0
