time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5086,0.2875,0.2833,0.331,anxious,0.418,0.0
0.083333,N2,0.462,0.2678,0.2798,0.3541,joyful,0.432,0.0
0.166667,N2,0.445,0.2532,0.2941,0.3151,neutral,0.435,0.0
0.25,N2,0.4457,0.2635,0.2596,0.3101,curious,0.397,0.0
0.333333,N2,0.4349,0.262,0.2685,0.3115,melancholic,0.467,0.0
0.416667,N2,0.4438,0.2733,0.2646,0.323,curious,0.442,0.0
0.5,N3,0.2866,0.2013,0.1864,0.2992,melancholic,0.35,0.0
0.583333,N3,0.2681,0.2105,0.1984,0.2857,curious,0.35,0.0
0.666667,N3,0.2846,0.2033,0.2001,0.3057,joyful,0.35,0.0
0.75,N3,0.3191,0.2004,0.24,0.2996,anxious,0.35,0.0
0.833333,N3,0.287,0.2313,0.176,0.2836,neutral,0.35,0.0
0.916667,N3,0.3001,0.2223,0.192,0.2903,curious,0.35,0.0
