time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.542,0.2609,0.2782,0.3764,curious,0.387,0.0
0.008333,N1,0.4763,0.2561,0.2619,0.3789,curious,0.365,0.0
0.016667,N1,0.4934,0.2892,0.3243,0.3287,melancholic,0.322,0.0
0.025,N1,0.5058,0.2326,0.285,0.3639,curious,0.363,0.0
0.033333,N1,0.4992,0.2691,0.3014,0.3267,neutral,0.407,0.0
0.041667,N1,0.515,0.2599,0.2845,0.3397,curious,0.382,0.0
0.05,N1,0.4656,0.2745,0.3354,0.3151,neutral,0.348,0.0
0.058333,N1,0.5007,0.2659,0.2429,0.3467,joyful,0.353,0.0
0.066667,N2,0.4326,0.2852,0.2737,0.3877,anxious,0.402,0.0
0.075,N2,0.4373,0.2865,0.2806,0.3567,neutral,0.457,0.0
0.083333,N2,0.4356,0.2399,0.2935,0.3027,joyful,0.399,0.0
0.091667,N2,0.4516,0.2158,0.272,0.3706,curious,0.42,0.0
0.1,N2,0.4455,0.305,0.2885,0.3179,curious,0.385,0.0
0.108333,N2,0.4525,0.2293,0.3068,0.331,joyful,0.418,0.0
0.116667,N2,0.4454,0.2232,0.2785,0.3329,neutral,0.456,0.0
0.125,N2,0.4584,0.2496,0.2501,0.3396,anxious,0.415,0.0
0.133333,N2,0.462,0.2476,0.2881,0.338,neutral,0.385,0.0
0.141667,N2,0.4515,0.2481,0.2777,0.3638,joyful,0.383,0.0
0.15,N2,0.4771,0.2219,0.2568,0.3399,joyful,0.438,0.0
0.158333,N2,0.4281,0.2289,0.3108,0.3255,neutral,0.385,0.0
0.166667,N2,0.4444,0.2733,0.2544,0.3512,fearful,0.4,0.0
0.175,N2,0.4706,0.2914,0.329,0.3606,serene,0.395,0.0
0.183333,N2,0.4681,0.2658,0.2651,0.3771,curious,0.402,0.0
0.191667,N2,0.4965,0.2437,0.2557,0.3821,neutral,0.423,0.0
0.2,N2,0.4732,0.2247,0.2726,0.297,joyful,0.397,0.0
0.208333,N2,0.4331,0.2185,0.2649,0.355,serene,0.38,0.0
0.216667,N2,0.4934,0.2576,0.2887,0.3549,fearful,0.366,0.0
0.225,N2,0.4623,0.2338,0.3022,0.3398,neutral,0.328,0.0
0.233333,N2,0.4463,0.2586,0.2782,0.3572,joyful,0.403,0.0
0.241667,N2,0.4891,0.2428,0.2932,0.3028,melancholic,0.431,0.0
0.25,N2,0.4665,0.2786,0.2601,0.3059,neutral,0.402,0.0
0.258333,N2,0.4652,0.258,0.2783,0.2932,neutral,0.419,0.0
0.266667,N2,0.4541,0.2564,0.2376,0.3652,melancholic,0.474,0.0
0.275,N2,0.4224,0.2317,0.2798,0.3449,joyful,0.425,0.0
