time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5563,0.3037,0.299,0.3236,joyful,0.484,0.0
0.083333,N1,0.5054,0.3344,0.3105,0.3401,anxious,0.365,0.0
0.166667,N2,0.441,0.2396,0.2971,0.3459,melancholic,0.444,0.0
0.25,N2,0.4255,0.2997,0.2859,0.3213,melancholic,0.416,0.0
0.333333,N2,0.4063,0.2672,0.2936,0.3081,neutral,0.377,0.0
0.416667,N3,0.319,0.2063,0.228,0.2966,curious,0.35,0.0
0.5,N3,0.3206,0.2068,0.1798,0.3181,anxious,0.35,0.0
0.583333,N3,0.3059,0.1838,0.165,0.272,anxious,0.35,0.0
0.666667,N3,0.2954,0.195,0.1905,0.2986,melancholic,0.35,0.0
0.75,N3,0.3163,0.2335,0.2209,0.3061,neutral,0.35,0.0
0.833333,N3,0.3048,0.2057,0.1798,0.2876,neutral,0.35,0.0
0.916667,N2,0.4128,0.2743,0.2541,0.2808,neutral,0.488,0.0
