time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.486,0.2834,0.302,0.3857,anxious,0.457,0.0
0.008333,N1,0.5117,0.3088,0.3009,0.3549,fearful,0.464,0.0
0.016667,N1,0.499,0.2988,0.3171,0.3775,anxious,0.486,0.0
0.025,N1,0.5055,0.3106,0.2842,0.3319,anxious,0.482,0.0
0.033333,N1,0.501,0.2901,0.2938,0.3365,anxious,0.492,0.0
0.041667,N1,0.5035,0.2732,0.2689,0.346,anxious,0.458,0.0
0.05,N1,0.5071,0.2902,0.2894,0.349,neutral,0.5,0.0
0.058333,N1,0.4779,0.3135,0.3084,0.3489,joyful,0.458,0.0
0.066667,N2,0.52,0.3132,0.2412,0.3338,anxious,0.45,0.0
0.075,N2,0.4282,0.2716,0.3285,0.3139,anxious,0.45,0.0
0.083333,N2,0.441,0.3025,0.289,0.3576,fearful,0.45,0.0
0.091667,N2,0.4382,0.2645,0.2764,0.3358,curious,0.45,0.0
0.1,N2,0.4597,0.288,0.2568,0.328,fearful,0.45,0.0
0.108333,N2,0.4423,0.2642,0.2622,0.3515,fearful,0.45,0.0
0.116667,N2,0.4824,0.2865,0.2834,0.3525,anxious,0.45,0.0
0.125,N2,0.4482,0.3089,0.2925,0.3361,joyful,0.45,0.0
0.133333,N2,0.4508,0.2733,0.2724,0.3287,fearful,0.45,0.0
0.141667,N2,0.4722,0.268,0.2776,0.3417,melancholic,0.45,0.0
0.15,N2,0.4946,0.3239,0.2911,0.3122,anxious,0.45,0.0
0.158333,N2,0.4375,0.2876,0.2679,0.3633,fearful,0.45,0.0
0.166667,N2,0.4403,0.3171,0.2907,0.3406,anxious,0.45,0.0
0.175,N2,0.4462,0.2637,0.2883,0.3176,anxious,0.45,0.0
0.183333,N2,0.4392,0.2842,0.2811,0.3328,anxious,0.45,0.0
0.191667,N2,0.4553,0.2556,0.2689,0.3226,melancholic,0.45,0.0
