time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.49,0.2549,0.2952,0.3605,neutral,0.391,0.0
0.008333,N1,0.5063,0.2686,0.3017,0.3028,curious,0.329,0.0
0.016667,N1,0.5288,0.3105,0.2989,0.3237,anxious,0.374,0.0
0.025,N1,0.5305,0.2936,0.2876,0.3543,melancholic,0.414,0.0
0.033333,N1,0.5213,0.2738,0.2946,0.336,neutral,0.375,0.0
0.041667,N1,0.5246,0.2734,0.3114,0.3362,neutral,0.354,0.0
0.05,N1,0.5176,0.2498,0.3223,0.3173,neutral,0.328,0.0
0.058333,N1,0.4807,0.2912,0.343,0.3332,neutral,0.384,0.0
0.066667,N2,0.4471,0.2189,0.303,0.3613,neutral,0.386,0.0
0.075,N2,0.4642,0.2732,0.3029,0.3732,joyful,0.362,0.0
0.083333,N2,0.4281,0.2648,0.2785,0.3409,curious,0.389,0.0
0.091667,N2,0.4768,0.2585,0.2766,0.3256,curious,0.451,0.0
0.1,N2,0.4195,0.2499,0.2585,0.3562,neutral,0.398,0.0
0.108333,N2,0.4467,0.2572,0.2878,0.3591,fearful,0.377,0.0
0.116667,N2,0.4237,0.2677,0.2977,0.3588,melancholic,0.4,0.0
0.125,N2,0.4652,0.2523,0.2785,0.3117,curious,0.415,0.0
0.133333,N2,0.4233,0.2719,0.2786,0.3352,joyful,0.429,0.0
0.141667,N2,0.4274,0.2346,0.2595,0.3068,curious,0.376,0.0
0.15,N2,0.4319,0.2424,0.2721,0.3617,joyful,0.428,0.0
0.158333,N2,0.4218,0.2415,0.2923,0.3344,fearful,0.366,0.0
0.166667,N2,0.447,0.2615,0.3135,0.3601,fearful,0.403,0.0
0.175,N2,0.4424,0.24,0.2963,0.3302,melancholic,0.379,0.0
0.183333,N2,0.4638,0.2408,0.2816,0.3648,neutral,0.325,0.0
0.191667,N2,0.4501,0.2792,0.2677,0.3364,curious,0.41,0.0
0.2,N2,0.4194,0.2733,0.2673,0.3375,neutral,0.378,0.0
0.208333,N2,0.4557,0.2534,0.3046,0.2908,joyful,0.374,0.0
0.216667,N2,0.4332,0.2702,0.2957,0.344,curious,0.375,0.0
0.225,N2,0.4766,0.2505,0.291,0.3125,anxious,0.396,0.0
0.233333,N2,0.4414,0.2292,0.3067,0.3322,joyful,0.402,0.0
0.241667,N2,0.4689,0.2318,0.2921,0.36,anxious,0.323,0.0
0.25,N2,0.4114,0.2936,0.304,0.3613,joyful,0.375,0.0
0.258333,N2,0.4552,0.2272,0.2526,0.3115,serene,0.413,0.0
0.266667,N2,0.4489,0.2505,0.2851,0.3399,melancholic,0.396,0.0
0.275,N2,0.4329,0.2897,0.2892,0.3074,anxious,0.396,0.0
0.283333,N2,0.4493,0.234,0.2688,0.3215,neutral,0.412,0.0
0.291667,N2,0.4485,0.269,0.2455,0.3475,joyful,0.414,0.0
0.3,N2,0.4256,0.2348,0.2571,0.3121,neutral,0.371,0.0
0.308333,N2,0.4414,0.2692,0.3,0.318,serene,0.378,0.0
0.316667,N2,0.4709,0.2478,0.317,0.3824,curious,0.341,0.0
0.325,N2,0.4387,0.2205,0.2574,0.271,melancholic,0.416,0.0
0.333333,N2,0.4709,0.2409,0.2636,0.3286,curious,0.44,0.0
0.341667,N2,0.4652,0.2422,0.2887,0.3443,curious,0.391,0.0
0.35,N2,0.4416,0.2002,0.2716,0.3678,curious,0.375,0.0
0.358333,N2,0.4176,0.2806,0.2953,0.3061,melancholic,0.316,0.0
0.366667,N2,0.4361,0.2734,0.2548,0.3025,anxious,0.363,0.0
0.375,N2,0.458,0.2695,0.2801,0.3164,neutral,0.391,0.0
0.383333,N3,0.3009,0.1674,0.2232,0.2883,melancholic,0.35,0.0
0.391667,N3,0.3012,0.1662,0.2308,0.3052,joyful,0.329,0.0
0.4,N3,0.3159,0.1898,0.1546,0.3427,neutral,0.335,0.0
0.408333,N3,0.3093,0.1861,0.2009,0.3052,melancholic,0.35,0.0
0.416667,N3,0.3344,0.1734,0.2314,0.336,neutral,0.326,0.0
0.425,N3,0.3026,0.1897,0.1839,0.3531,neutral,0.35,0.0
0.433333,N3,0.3031,0.1439,0.1829,0.3323,fearful,0.35,0.0
0.441667,N3,0.2818,0.1738,0.1841,0.2921,joyful,0.35,0.0
0.45,N3,0.3452,0.2063,0.1729,0.2934,joyful,0.35,0.0
0.458333,N3,0.2944,0.1848,0.1927,0.3118,joyful,0.347,0.0
0.466667,N3,0.3194,0.1876,0.2192,0.2915,serene,0.306,0.0
0.475,N3,0.3016,0.1811,0.2019,0.2865,joyful,0.35,0.0
0.483333,N3,0.3335,0.1902,0.1906,0.2996,joyful,0.347,0.0
0.491667,N3,0.3023,0.183,0.1975,0.2888,joyful,0.35,0.0
0.5,N3,0.3413,0.1706,0.2058,0.2884,curious,0.343,0.0
0.508333,N3,0.294,0.1856,0.2034,0.2911,curious,0.312,0.0
0.516667,N3,0.2758,0.1772,0.1604,0.2956,neutral,0.32,0.0
0.525,N3,0.2869,0.1543,0.189,0.2715,curious,0.35,0.0
0.533333,N3,0.314,0.1727,0.194,0.272,joyful,0.35,0.0
0.541667,N3,0.288,0.1772,0.2232,0.3139,melancholic,0.35,0.0
0.55,N3,0.331,0.1825,0.204,0.2683,neutral,0.35,0.0
0.558333,N3,0.3225,0.1599,0.1899,0.2901,joyful,0.35,0.0
0.566667,N3,0.2696,0.1754,0.1879,0.3242,fearful,0.35,0.0
0.575,N3,0.3008,0.1912,0.2142,0.2837,anxious,0.35,0.0
0.583333,N3,0.263,0.1695,0.239,0.3108,melancholic,0.35,0.0
0.591667,N3,0.2961,0.1803,0.1921,0.2897,neutral,0.35,0.0
0.6,N3,0.3244,0.1627,0.2234,0.2635,neutral,0.326,0.0
0.608333,N3,0.3043,0.183,0.1892,0.3183,fearful,0.35,0.0
0.616667,N3,0.2759,0.2207,0.1915,0.2685,curious,0.35,0.0
0.625,N3,0.2985,0.1794,0.2094,0.2988,serene,0.335,0.0
0.633333,N3,0.2918,0.1704,0.2334,0.3215,neutral,0.35,0.0
0.641667,N3,0.33,0.1816,0.2122,0.303,curious,0.35,0.0
0.65,N3,0.3277,0.1571,0.1898,0.2581,neutral,0.35,0.0
0.658333,N3,0.3188,0.1563,0.2121,0.2816,joyful,0.35,0.0
0.666667,N3,0.3274,0.1839,0.1966,0.2669,melancholic,0.342,0.0
0.675,N3,0.3008,0.1804,0.2024,0.2456,anxious,0.35,0.0
0.683333,N3,0.2963,0.1973,0.2034,0.2931,neutral,0.35,0.0
0.691667,N3,0.3104,0.1886,0.1678,0.3239,curious,0.35,0.0
0.7,N3,0.3045,0.1691,0.2253,0.2863,curious,0.342,0.0
0.708333,N3,0.2953,0.2,0.1886,0.2922,joyful,0.35,0.0
0.716667,N3,0.3151,0.189,0.2234,0.3117,neutral,0.304,0.0
0.725,N3,0.3287,0.1556,0.1702,0.2669,melancholic,0.321,0.0
0.733333,N3,0.3316,0.1764,0.162,0.288,melancholic,0.339,0.0
0.741667,N3,0.3044,0.1884,0.2048,0.2689,neutral,0.35,0.0
0.75,N3,0.2756,0.2162,0.1892,0.3095,anxious,0.35,0.0
0.758333,N3,0.2565,0.1878,0.1964,0.2923,neutral,0.35,0.0
0.766667,N3,0.2959,0.1925,0.2175,0.2934,curious,0.336,0.0
0.775,N3,0.2956,0.2017,0.1971,0.2892,joyful,0.338,0.0
0.783333,N3,0.3037,0.1663,0.2086,0.3307,joyful,0.35,0.0
0.791667,N3,0.3157,0.1438,0.2304,0.2805,serene,0.35,0.0
0.8,N3,0.2763,0.1917,0.2009,0.2731,joyful,0.305,0.0
0.808333,N3,0.311,0.1947,0.2278,0.2938,joyful,0.35,0.0
0.816667,N3,0.3161,0.2088,0.2155,0.2813,neutral,0.343,0.0
0.825,N3,0.296,0.2036,0.2025,0.2675,melancholic,0.343,0.0
0.833333,N3,0.2808,0.2034,0.2158,0.2902,curious,0.32,0.0
0.841667,N3,0.3056,0.1716,0.2104,0.2975,melancholic,0.35,0.0
0.85,N2,0.446,0.2563,0.2534,0.2836,melancholic,0.369,0.0
0.858333,N2,0.4709,0.2233,0.2996,0.261,curious,0.355,0.0
0.866667,N2,0.4761,0.2708,0.2762,0.293,joyful,0.464,0.0
0.875,N2,0.4594,0.2254,0.2774,0.2825,curious,0.399,0.0
0.883333,N2,0.4781,0.2787,0.2942,0.288,anxious,0.391,0.0
0.891667,N2,0.4576,0.2905,0.2604,0.2713,neutral,0.398,0.0
0.9,N2,0.4379,0.2374,0.3029,0.2876,neutral,0.328,0.0
0.908333,N2,0.4353,0.245,0.2947,0.2628,melancholic,0.38,0.0
0.916667,N2,0.4796,0.2222,0.2692,0.2609,curious,0.369,0.0
0.925,N2,0.4545,0.2656,0.2673,0.27,neutral,0.343,0.0
0.933333,N2,0.463,0.2592,0.3074,0.2858,curious,0.367,0.0
0.941667,N2,0.4544,0.2801,0.3162,0.2714,melancholic,0.401,0.0
0.95,N2,0.4944,0.2619,0.3083,0.2538,curious,0.435,0.0
0.958333,N2,0.4875,0.2527,0.2588,0.2957,joyful,0.36,0.0
0.966667,N2,0.4336,0.2358,0.2934,0.2794,joyful,0.398,0.0
0.975,N2,0.4536,0.2517,0.3262,0.302,neutral,0.377,0.0
0.983333,N2,0.4722,0.2195,0.2524,0.2613,neutral,0.382,0.0
0.991667,N2,0.4526,0.2731,0.2718,0.2681,joyful,0.387,0.0
1.0,N2,0.4385,0.2261,0.2758,0.2781,melancholic,0.393,0.0
1.008333,N2,0.4272,0.2535,0.3077,0.2662,neutral,0.385,0.0
1.016667,N2,0.4437,0.2683,0.292,0.2518,anxious,0.366,0.0
1.025,N2,0.4334,0.245,0.264,0.2215,anxious,0.394,0.0
1.033333,N2,0.4614,0.2423,0.2711,0.3074,melancholic,0.373,0.0
1.041667,N2,0.4686,0.2374,0.269,0.2583,curious,0.418,0.0
1.05,N2,0.4624,0.2397,0.2758,0.2565,joyful,0.377,0.0
1.058333,N2,0.4862,0.2581,0.2829,0.2741,curious,0.422,0.0
1.066667,N2,0.4496,0.2673,0.2771,0.268,fearful,0.424,0.0
1.075,N2,0.4583,0.2277,0.2579,0.2426,curious,0.364,0.0
1.083333,N2,0.4491,0.269,0.3212,0.2519,neutral,0.364,0.0
1.091667,N2,0.4678,0.2463,0.3067,0.2304,neutral,0.428,0.0
1.1,N2,0.4502,0.2424,0.2834,0.2829,melancholic,0.393,0.0
1.108333,N2,0.4839,0.2698,0.297,0.2516,joyful,0.379,0.0
1.116667,N2,0.4333,0.237,0.2693,0.2147,anxious,0.411,0.0
1.125,N2,0.4827,0.2544,0.2811,0.252,serene,0.375,0.0
1.133333,N2,0.4291,0.2149,0.2703,0.2219,anxious,0.417,0.0
1.141667,N2,0.5114,0.2217,0.3079,0.2643,neutral,0.355,0.0
1.15,N2,0.4579,0.2657,0.3018,0.2729,joyful,0.394,0.0
1.158333,N2,0.4206,0.229,0.2945,0.2609,joyful,0.365,0.0
1.166667,N2,0.441,0.291,0.2495,0.279,curious,0.434,0.0
1.175,N2,0.459,0.2505,0.2946,0.2481,joyful,0.371,0.0
1.183333,N2,0.4518,0.2725,0.2943,0.2456,anxious,0.372,0.0
1.191667,N2,0.4623,0.246,0.3146,0.2376,joyful,0.323,0.0
1.2,N2,0.4255,0.2429,0.271,0.2317,joyful,0.399,0.0
1.208333,N2,0.4717,0.2574,0.2764,0.2323,fearful,0.364,0.0
1.216667,N2,0.4563,0.279,0.2796,0.2512,neutral,0.425,0.0
1.225,N2,0.4505,0.2396,0.2758,0.2289,neutral,0.42,0.0
1.233333,N2,0.4381,0.2364,0.252,0.2319,anxious,0.418,0.0
1.241667,N2,0.4378,0.2471,0.2966,0.2757,curious,0.321,0.0
1.25,N2,0.4243,0.2794,0.2542,0.2621,curious,0.426,0.0
1.258333,N2,0.4451,0.2514,0.3129,0.2421,curious,0.431,0.0
1.266667,N2,0.4661,0.2432,0.2634,0.2267,neutral,0.431,0.0
1.275,N2,0.449,0.2529,0.2937,0.2345,joyful,0.43,0.0
1.283333,N2,0.4576,0.266,0.2887,0.2184,neutral,0.368,0.0
1.291667,N2,0.4684,0.2062,0.252,0.2264,joyful,0.414,0.0
1.3,N2,0.4175,0.2432,0.3166,0.2151,neutral,0.375,0.0
1.308333,N2,0.436,0.2555,0.2777,0.2288,neutral,0.404,0.0
1.316667,N2,0.4499,0.2505,0.2582,0.2413,neutral,0.379,0.0
1.325,N2,0.4374,0.2301,0.3085,0.2416,melancholic,0.337,0.0
