time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5259,0.3004,0.3016,0.3411,curious,0.39,0.0
0.008333,N1,0.501,0.2704,0.2845,0.3447,melancholic,0.427,0.0
0.016667,N1,0.5199,0.3245,0.3037,0.3346,neutral,0.355,0.0
0.025,N1,0.521,0.2651,0.3332,0.3468,anxious,0.328,0.0
0.033333,N1,0.4956,0.3126,0.2655,0.3354,curious,0.395,0.0
0.041667,N1,0.4962,0.2928,0.328,0.3669,anxious,0.295,0.0
0.05,N1,0.512,0.3123,0.3121,0.3556,joyful,0.373,0.0
0.058333,N1,0.4949,0.3035,0.3337,0.3575,neutral,0.341,0.0
0.066667,N2,0.4214,0.2728,0.2795,0.3335,melancholic,0.419,0.0
0.075,N2,0.4565,0.2848,0.3256,0.3623,neutral,0.422,0.0
0.083333,N2,0.4557,0.2828,0.2735,0.3614,joyful,0.422,0.0
0.091667,N2,0.4681,0.2678,0.2674,0.3709,melancholic,0.408,0.0
0.1,N2,0.4549,0.2767,0.2912,0.3709,joyful,0.352,0.0
0.108333,N2,0.4382,0.3018,0.3013,0.3457,anxious,0.426,0.0
0.116667,N2,0.4243,0.2693,0.2913,0.3443,joyful,0.384,0.0
0.125,N2,0.4696,0.2743,0.2811,0.3472,neutral,0.401,0.0
0.133333,N2,0.4546,0.2662,0.2676,0.3341,neutral,0.461,0.0
0.141667,N2,0.4543,0.2837,0.2891,0.3514,curious,0.386,0.0
0.15,N2,0.4557,0.2683,0.234,0.3319,joyful,0.445,0.0
0.158333,N2,0.4511,0.2992,0.2879,0.3511,curious,0.438,0.0
0.166667,N2,0.4524,0.2666,0.259,0.2937,joyful,0.423,0.0
0.175,N2,0.4471,0.2497,0.2758,0.3182,fearful,0.373,0.0
0.183333,N2,0.4759,0.271,0.2917,0.2911,anxious,0.418,0.0
0.191667,N2,0.4267,0.2632,0.2676,0.3259,joyful,0.468,0.0
0.2,N2,0.4443,0.2478,0.2627,0.3339,curious,0.484,0.0
0.208333,N2,0.4623,0.2594,0.2849,0.3302,joyful,0.38,0.0
0.216667,N2,0.4355,0.2899,0.2527,0.3705,curious,0.409,0.0
0.225,N2,0.4656,0.2832,0.292,0.3551,neutral,0.422,0.0
0.233333,N2,0.4638,0.2787,0.2982,0.3605,melancholic,0.407,0.0
0.241667,N2,0.4606,0.3006,0.2863,0.358,anxious,0.414,0.0
0.25,N2,0.4713,0.2959,0.2842,0.3347,joyful,0.366,0.0
0.258333,N2,0.4495,0.2802,0.295,0.2973,curious,0.356,0.0
0.266667,N2,0.4618,0.2531,0.2784,0.3088,neutral,0.384,0.0
0.275,N2,0.4658,0.2852,0.2795,0.3349,anxious,0.374,0.0
0.283333,N2,0.4898,0.2698,0.2992,0.3019,curious,0.422,0.0
0.291667,N2,0.4468,0.2572,0.3022,0.3354,neutral,0.405,0.0
0.3,N2,0.3904,0.2684,0.2629,0.3506,anxious,0.429,0.0
0.308333,N2,0.4392,0.3166,0.3052,0.3766,neutral,0.387,0.0
0.316667,N2,0.4154,0.2859,0.2642,0.3123,curious,0.416,0.0
0.325,N2,0.4244,0.2705,0.2587,0.3362,joyful,0.394,0.0
0.333333,N2,0.4548,0.2793,0.2882,0.33,curious,0.421,0.0
0.341667,N2,0.4365,0.3093,0.2986,0.3053,joyful,0.446,0.0
0.35,N2,0.438,0.2978,0.2846,0.3182,serene,0.404,0.0
0.358333,N2,0.4554,0.2575,0.3165,0.346,serene,0.438,0.0
0.366667,N2,0.4461,0.313,0.2848,0.3461,curious,0.321,0.0
0.375,N2,0.426,0.2959,0.2772,0.3171,neutral,0.421,0.0
0.383333,N2,0.4781,0.2731,0.2947,0.2947,joyful,0.459,0.0
0.391667,N2,0.4557,0.2541,0.2922,0.3198,joyful,0.401,0.0
0.4,N3,0.2838,0.2334,0.2318,0.3346,melancholic,0.309,0.0
0.408333,N3,0.3244,0.2237,0.1917,0.3158,serene,0.343,0.0
0.416667,N3,0.3123,0.1919,0.2143,0.3228,neutral,0.35,0.0
0.425,N3,0.2713,0.2018,0.1879,0.2977,neutral,0.319,0.0
0.433333,N3,0.2925,0.2348,0.1813,0.2896,neutral,0.35,0.0
0.441667,N3,0.2788,0.2102,0.1971,0.3125,joyful,0.34,0.0
0.45,N3,0.2669,0.1958,0.1786,0.3002,neutral,0.35,0.0
0.458333,N3,0.3081,0.1809,0.1771,0.3137,serene,0.345,0.0
0.466667,N3,0.3052,0.2311,0.2036,0.3131,curious,0.35,0.0
0.475,N3,0.3057,0.1982,0.1669,0.2628,anxious,0.35,0.0
0.483333,N3,0.2979,0.21,0.1846,0.3468,joyful,0.35,0.0
0.491667,N3,0.3048,0.2357,0.1844,0.3464,anxious,0.35,0.0
0.5,N3,0.3042,0.2217,0.1824,0.2693,melancholic,0.35,0.0
0.508333,N3,0.2838,0.1814,0.2064,0.3047,joyful,0.35,0.0
0.516667,N3,0.2913,0.2222,0.2312,0.3522,anxious,0.336,0.0
0.525,N3,0.296,0.2055,0.2467,0.3078,curious,0.35,0.0
0.533333,N3,0.2822,0.222,0.1971,0.3017,anxious,0.313,0.0
0.541667,N3,0.3105,0.2046,0.2233,0.2765,curious,0.35,0.0
0.55,N3,0.284,0.161,0.1958,0.2935,curious,0.35,0.0
0.558333,N3,0.3189,0.2197,0.1985,0.2961,neutral,0.35,0.0
0.566667,N3,0.2932,0.2145,0.1778,0.299,anxious,0.35,0.0
0.575,N3,0.3246,0.2215,0.169,0.2986,joyful,0.35,0.0
0.583333,N3,0.2721,0.1989,0.1863,0.2949,neutral,0.312,0.0
0.591667,N3,0.3107,0.2188,0.2011,0.3135,joyful,0.35,0.0
0.6,N3,0.2742,0.2103,0.1601,0.3136,neutral,0.35,0.0
0.608333,N3,0.2987,0.1889,0.2094,0.2968,neutral,0.309,0.0
0.616667,N3,0.308,0.195,0.2173,0.3185,neutral,0.35,0.0
0.625,N3,0.2854,0.2024,0.2079,0.3256,joyful,0.35,0.0
0.633333,N3,0.3258,0.1922,0.2124,0.3052,anxious,0.35,0.0
0.641667,N3,0.2928,0.1981,0.2299,0.2873,anxious,0.323,0.0
0.65,N3,0.2485,0.2081,0.1899,0.2895,melancholic,0.308,0.0
0.658333,N3,0.2743,0.2011,0.1937,0.2928,neutral,0.35,0.0
0.666667,N3,0.2956,0.1937,0.2111,0.3193,serene,0.35,0.0
0.675,N3,0.3218,0.1878,0.1933,0.2969,joyful,0.333,0.0
0.683333,N3,0.2628,0.2171,0.2226,0.3198,anxious,0.35,0.0
0.691667,N3,0.3151,0.2118,0.1841,0.2986,neutral,0.348,0.0
0.7,N3,0.2817,0.2156,0.1831,0.3198,fearful,0.314,0.0
0.708333,N3,0.2886,0.1947,0.2094,0.2995,joyful,0.316,0.0
0.716667,N3,0.3476,0.2092,0.1813,0.313,melancholic,0.35,0.0
0.725,N3,0.3065,0.2025,0.2216,0.2777,curious,0.346,0.0
0.733333,N3,0.2983,0.2012,0.1975,0.2772,neutral,0.35,0.0
0.741667,N3,0.3004,0.2425,0.2045,0.2317,melancholic,0.35,0.0
0.75,N3,0.3119,0.2486,0.2305,0.2795,curious,0.35,0.0
0.758333,N3,0.3089,0.2119,0.2,0.3087,neutral,0.35,0.0
0.766667,N3,0.2744,0.2011,0.2052,0.2848,melancholic,0.35,0.0
0.775,N3,0.309,0.1975,0.1852,0.2951,curious,0.35,0.0
0.783333,N3,0.2912,0.1741,0.1969,0.298,joyful,0.35,0.0
0.791667,N3,0.2752,0.21,0.1872,0.2706,neutral,0.337,0.0
0.8,N3,0.2841,0.2161,0.2299,0.2875,joyful,0.35,0.0
0.808333,N3,0.2914,0.2052,0.1815,0.2749,joyful,0.327,0.0
0.816667,N3,0.2978,0.1995,0.2227,0.2606,curious,0.35,0.0
0.825,N3,0.2968,0.184,0.1913,0.3025,anxious,0.316,0.0
0.833333,N3,0.2734,0.1976,0.225,0.2935,neutral,0.35,0.0
0.841667,N3,0.2827,0.1599,0.1802,0.2779,neutral,0.35,0.0
0.85,N3,0.3138,0.1987,0.1845,0.2819,neutral,0.35,0.0
0.858333,N3,0.2792,0.2184,0.1814,0.3261,joyful,0.35,0.0
0.866667,N3,0.2956,0.1901,0.2062,0.2568,neutral,0.35,0.0
0.875,N3,0.3223,0.2249,0.1883,0.2781,neutral,0.35,0.0
0.883333,N3,0.2958,0.2072,0.2422,0.2914,melancholic,0.35,0.0
0.891667,N3,0.3003,0.2046,0.2014,0.3133,curious,0.316,0.0
0.9,N3,0.2826,0.1814,0.1943,0.2611,neutral,0.338,0.0
0.908333,N3,0.3363,0.193,0.2254,0.267,neutral,0.35,0.0
0.916667,N3,0.3002,0.2147,0.1897,0.2716,neutral,0.35,0.0
0.925,N3,0.2874,0.2161,0.2214,0.2885,joyful,0.35,0.0
0.933333,N3,0.3154,0.1753,0.2587,0.2715,serene,0.35,0.0
0.941667,N3,0.3227,0.1719,0.2171,0.3207,curious,0.35,0.0
0.95,N3,0.3025,0.213,0.2361,0.2669,serene,0.35,0.0
0.958333,N3,0.2751,0.1829,0.1745,0.2526,neutral,0.345,0.0
0.966667,N3,0.2718,0.2435,0.2364,0.2617,neutral,0.342,0.0
0.975,N3,0.2859,0.1762,0.2216,0.2879,neutral,0.3,0.0
0.983333,N3,0.2912,0.2017,0.1856,0.2905,neutral,0.35,0.0
0.991667,N3,0.2709,0.213,0.2142,0.2828,neutral,0.334,0.0
