time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5232,0.3037,0.2872,0.3694,neutral,0.398,0.0
0.083333,N1,0.4925,0.3053,0.3018,0.3504,neutral,0.448,0.0
0.166667,N2,0.4684,0.2897,0.2922,0.3348,neutral,0.411,0.0
0.25,N2,0.4331,0.2891,0.26,0.3223,fearful,0.448,0.0
0.333333,N2,0.4748,0.2633,0.309,0.3161,curious,0.463,0.0
0.416667,N2,0.4489,0.2576,0.2885,0.317,joyful,0.43,0.0
0.5,N3,0.3095,0.2417,0.2019,0.2856,curious,0.35,0.0
0.583333,N3,0.3095,0.2141,0.173,0.2984,joyful,0.35,0.0
0.666667,N3,0.2767,0.172,0.1731,0.3213,serene,0.35,0.0
0.75,N3,0.2716,0.2352,0.1808,0.2634,neutral,0.35,0.0
0.833333,N3,0.3152,0.2032,0.1914,0.2825,joyful,0.35,0.0
0.916667,N3,0.306,0.2315,0.2153,0.2459,curious,0.35,0.0
