time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4864,0.2828,0.2915,0.3743,neutral,0.385,0.0
0.008333,N1,0.5084,0.303,0.2917,0.323,joyful,0.349,0.0
0.016667,N1,0.5141,0.3142,0.2604,0.3338,joyful,0.367,0.0
0.025,N1,0.5126,0.3018,0.3186,0.3332,serene,0.396,0.0
0.033333,N1,0.527,0.3323,0.3011,0.3286,curious,0.37,0.0
0.041667,N1,0.4844,0.3124,0.3124,0.3473,neutral,0.373,0.0
0.05,N1,0.5077,0.2717,0.2978,0.3965,melancholic,0.402,0.0
0.058333,N1,0.5379,0.3188,0.3156,0.3327,curious,0.345,0.0
0.066667,N1,0.469,0.2896,0.2985,0.3682,anxious,0.338,0.0
0.075,N1,0.532,0.2932,0.283,0.3633,neutral,0.392,0.0
0.083333,N2,0.4415,0.301,0.2951,0.3783,neutral,0.43,0.0
0.091667,N2,0.455,0.3097,0.2587,0.3277,neutral,0.389,0.0
0.1,N2,0.4401,0.2683,0.2805,0.3384,melancholic,0.362,0.0
0.108333,N2,0.4839,0.3083,0.2941,0.3531,neutral,0.445,0.0
0.116667,N2,0.4517,0.2765,0.2819,0.3515,neutral,0.407,0.0
0.125,N2,0.4469,0.27,0.3037,0.3116,anxious,0.366,0.0
0.133333,N2,0.481,0.2919,0.3114,0.3611,neutral,0.425,0.0
0.141667,N2,0.4325,0.2699,0.2944,0.3275,curious,0.397,0.0
0.15,N2,0.4566,0.29,0.263,0.3688,neutral,0.405,0.0
0.158333,N2,0.4355,0.2748,0.286,0.324,joyful,0.409,0.0
0.166667,N2,0.4604,0.2425,0.2702,0.3488,curious,0.438,0.0
0.175,N2,0.4827,0.2632,0.2998,0.3319,curious,0.388,0.0
0.183333,N2,0.4807,0.2873,0.3125,0.37,anxious,0.39,0.0
0.191667,N2,0.4487,0.2598,0.3327,0.3474,curious,0.352,0.0
0.2,N2,0.448,0.2793,0.2768,0.3364,melancholic,0.401,0.0
0.208333,N2,0.4646,0.2549,0.268,0.3026,anxious,0.41,0.0
0.216667,N2,0.4647,0.2662,0.2791,0.3286,neutral,0.413,0.0
0.225,N2,0.4747,0.2908,0.3059,0.3003,curious,0.415,0.0
0.233333,N2,0.4665,0.3053,0.2682,0.3178,anxious,0.441,0.0
0.241667,N2,0.4232,0.2249,0.2635,0.322,curious,0.379,0.0
0.25,N2,0.4407,0.318,0.268,0.3227,curious,0.351,0.0
0.258333,N2,0.4598,0.2907,0.2693,0.3355,neutral,0.41,0.0
0.266667,N2,0.4428,0.2583,0.2712,0.3144,melancholic,0.405,0.0
0.275,N2,0.4701,0.28,0.2673,0.3448,joyful,0.46,0.0
0.283333,N2,0.4565,0.286,0.2601,0.3711,melancholic,0.416,0.0
0.291667,N2,0.4391,0.2808,0.2826,0.3642,serene,0.408,0.0
0.3,N2,0.4589,0.2907,0.2397,0.3516,joyful,0.394,0.0
0.308333,N2,0.4453,0.2751,0.2677,0.2919,melancholic,0.438,0.0
0.316667,N2,0.4567,0.2452,0.2652,0.3178,fearful,0.457,0.0
0.325,N2,0.431,0.2621,0.3012,0.3157,curious,0.434,0.0
0.333333,N2,0.4477,0.3079,0.3061,0.3461,joyful,0.356,0.0
0.341667,N2,0.437,0.2716,0.2453,0.2947,anxious,0.426,0.0
0.35,N3,0.2783,0.1819,0.2396,0.2916,curious,0.35,0.0
0.358333,N3,0.2766,0.159,0.1971,0.3076,neutral,0.35,0.0
0.366667,N3,0.3017,0.1811,0.1912,0.365,anxious,0.35,0.0
0.375,N3,0.3202,0.1899,0.1777,0.324,neutral,0.35,0.0
0.383333,N3,0.3123,0.1963,0.172,0.3036,anxious,0.35,0.0
0.391667,N3,0.2981,0.2105,0.2303,0.3555,neutral,0.348,0.0
0.4,N3,0.3016,0.2108,0.1872,0.353,neutral,0.35,0.0
0.408333,N3,0.3047,0.2095,0.2072,0.338,neutral,0.35,0.0
0.416667,N3,0.3149,0.194,0.1763,0.3076,joyful,0.35,0.0
0.425,N3,0.3147,0.1649,0.1998,0.3376,joyful,0.311,0.0
0.433333,N3,0.2939,0.1949,0.1879,0.3057,neutral,0.35,0.0
0.441667,N3,0.308,0.2308,0.1798,0.3276,fearful,0.35,0.0
0.45,N3,0.3168,0.1797,0.2051,0.2922,joyful,0.35,0.0
0.458333,N3,0.2951,0.2052,0.2033,0.3091,joyful,0.321,0.0
0.466667,N3,0.2935,0.1719,0.1883,0.3132,neutral,0.35,0.0
0.475,N3,0.2934,0.1888,0.1748,0.2837,curious,0.322,0.0
0.483333,N3,0.3144,0.2138,0.2352,0.3102,joyful,0.292,0.0
0.491667,N3,0.2803,0.1993,0.1805,0.2997,curious,0.35,0.0
0.5,N3,0.3319,0.2213,0.1888,0.3115,curious,0.35,0.0
0.508333,N3,0.3267,0.1612,0.2351,0.3256,neutral,0.346,0.0
0.516667,N3,0.2995,0.2132,0.1791,0.3074,curious,0.345,0.0
0.525,N3,0.275,0.2056,0.1987,0.3352,neutral,0.35,0.0
0.533333,N3,0.3057,0.2233,0.2165,0.3238,neutral,0.35,0.0
0.541667,N3,0.2666,0.1907,0.211,0.3479,neutral,0.35,0.0
0.55,N3,0.3165,0.1725,0.2129,0.3176,joyful,0.347,0.0
0.558333,N3,0.3122,0.1889,0.2125,0.3121,joyful,0.35,0.0
0.566667,N3,0.2883,0.1942,0.227,0.3128,anxious,0.35,0.0
0.575,N3,0.318,0.2055,0.2022,0.2843,neutral,0.35,0.0
0.583333,N3,0.2872,0.2012,0.1644,0.3043,anxious,0.35,0.0
0.591667,N3,0.3212,0.2002,0.2122,0.2593,curious,0.328,0.0
0.6,N3,0.3043,0.1802,0.1936,0.3037,joyful,0.35,0.0
0.608333,N3,0.3337,0.2144,0.206,0.2811,joyful,0.35,0.0
0.616667,N3,0.2956,0.1838,0.2348,0.303,joyful,0.35,0.0
0.625,N3,0.3013,0.2248,0.1821,0.306,curious,0.35,0.0
0.633333,N3,0.2757,0.1759,0.1886,0.2879,melancholic,0.336,0.0
0.641667,N3,0.2771,0.1784,0.1911,0.2793,melancholic,0.348,0.0
0.65,N3,0.2919,0.1879,0.2058,0.3322,neutral,0.35,0.0
0.658333,N3,0.305,0.1969,0.2566,0.2914,neutral,0.35,0.0
0.666667,N3,0.2612,0.1986,0.1889,0.3085,neutral,0.35,0.0
0.675,N3,0.3091,0.242,0.2116,0.284,neutral,0.325,0.0
0.683333,N3,0.2533,0.2426,0.1956,0.3162,curious,0.35,0.0
0.691667,N3,0.3439,0.1996,0.2175,0.2486,curious,0.35,0.0
0.7,N3,0.3099,0.1813,0.2306,0.2945,serene,0.338,0.0
0.708333,N3,0.316,0.2056,0.1925,0.239,joyful,0.35,0.0
0.716667,N3,0.315,0.1783,0.2212,0.2833,melancholic,0.35,0.0
0.725,N3,0.2885,0.2257,0.2022,0.3012,curious,0.35,0.0
0.733333,N3,0.2987,0.167,0.2171,0.3048,curious,0.31,0.0
0.741667,N3,0.302,0.2168,0.2215,0.3079,curious,0.35,0.0
0.75,N3,0.3169,0.1882,0.2187,0.3026,curious,0.338,0.0
0.758333,N3,0.3026,0.1626,0.1911,0.3306,neutral,0.35,0.0
0.766667,N3,0.2746,0.1807,0.1855,0.2838,neutral,0.346,0.0
0.775,N3,0.3203,0.2251,0.2153,0.3185,neutral,0.35,0.0
0.783333,N3,0.3037,0.1751,0.1733,0.301,joyful,0.35,0.0
0.791667,N3,0.2545,0.1578,0.212,0.2768,neutral,0.319,0.0
0.8,N3,0.3078,0.2138,0.1813,0.24,neutral,0.314,0.0
0.808333,N3,0.2737,0.1988,0.215,0.2781,neutral,0.35,0.0
0.816667,N3,0.2987,0.2103,0.1652,0.3105,curious,0.35,0.0
0.825,N3,0.2881,0.1842,0.1923,0.286,melancholic,0.35,0.0
0.833333,N3,0.3078,0.1931,0.188,0.2756,joyful,0.334,0.0
0.841667,N3,0.2941,0.2408,0.222,0.3052,melancholic,0.345,0.0
0.85,N3,0.3323,0.1939,0.2045,0.3081,curious,0.35,0.0
0.858333,N3,0.2956,0.1941,0.2145,0.3132,fearful,0.35,0.0
0.866667,N2,0.438,0.2501,0.2688,0.311,neutral,0.43,0.0
0.875,N2,0.4602,0.2987,0.259,0.3085,joyful,0.433,0.0
0.883333,N2,0.5133,0.2902,0.281,0.2862,curious,0.381,0.0
0.891667,N2,0.4457,0.2903,0.2743,0.2596,joyful,0.436,0.0
0.9,N2,0.4535,0.264,0.2844,0.268,joyful,0.392,0.0
0.908333,N2,0.4429,0.2928,0.284,0.2567,joyful,0.426,0.0
0.916667,N2,0.5056,0.2828,0.2638,0.2467,joyful,0.401,0.0
0.925,N2,0.4649,0.2572,0.2702,0.2827,joyful,0.485,0.0
0.933333,N2,0.4618,0.2875,0.2961,0.2507,neutral,0.325,0.0
0.941667,N2,0.4189,0.2681,0.268,0.2827,joyful,0.432,0.0
0.95,N2,0.4933,0.3334,0.2891,0.258,melancholic,0.398,0.0
0.958333,N2,0.474,0.246,0.297,0.2848,joyful,0.449,0.0
0.966667,N2,0.4333,0.2786,0.2607,0.28,curious,0.406,0.0
0.975,N2,0.4423,0.2946,0.2919,0.3,neutral,0.423,0.0
0.983333,N2,0.4601,0.2744,0.3047,0.2998,joyful,0.383,0.0
0.991667,N2,0.4799,0.3057,0.2743,0.2958,joyful,0.412,0.0
