time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5346,0.3196,0.3317,0.361,neutral,0.38,0.0
0.008333,N1,0.482,0.379,0.308,0.3563,serene,0.433,0.0
0.016667,N1,0.509,0.3002,0.3025,0.3445,anxious,0.467,0.0
0.025,N1,0.486,0.3769,0.3113,0.3388,fearful,0.373,0.0
0.033333,N1,0.4833,0.3754,0.3073,0.3369,anxious,0.409,0.0
0.041667,N1,0.5116,0.3599,0.3087,0.3458,anxious,0.443,0.0
0.05,N1,0.495,0.3534,0.2915,0.3487,neutral,0.419,0.0
0.058333,N1,0.5411,0.3316,0.2894,0.3463,serene,0.435,0.0
0.066667,N2,0.4677,0.3374,0.2676,0.3783,neutral,0.446,0.0
0.075,N2,0.442,0.3493,0.3051,0.3192,serene,0.459,0.0
0.083333,N2,0.4749,0.3534,0.2909,0.3593,fearful,0.484,0.0
0.091667,N2,0.4693,0.3393,0.2564,0.3512,joyful,0.445,0.0
0.1,N2,0.4885,0.3194,0.2827,0.3323,curious,0.539,0.0
0.108333,N2,0.4312,0.3251,0.2556,0.3459,curious,0.478,0.0
0.116667,N2,0.4655,0.3588,0.2685,0.3595,melancholic,0.441,0.0
0.125,N2,0.4183,0.3639,0.2698,0.3538,curious,0.469,0.0
0.133333,N2,0.4725,0.3303,0.2816,0.3337,anxious,0.55,0.0
0.141667,N2,0.4705,0.3523,0.2556,0.3394,fearful,0.435,0.0
0.15,N2,0.4745,0.3518,0.3019,0.3245,melancholic,0.456,0.0
0.158333,N2,0.4268,0.3259,0.2672,0.3597,anxious,0.501,0.0
0.166667,N2,0.4357,0.3215,0.2634,0.3529,anxious,0.439,0.0
0.175,N2,0.451,0.318,0.2951,0.3397,melancholic,0.439,0.0
0.183333,N2,0.4855,0.3488,0.2833,0.3433,joyful,0.513,0.0
0.191667,N2,0.4292,0.344,0.2954,0.3392,serene,0.459,0.0
0.2,N2,0.436,0.3483,0.2438,0.3252,anxious,0.456,0.0
0.208333,N2,0.4305,0.3499,0.2606,0.3308,anxious,0.456,0.0
0.216667,N2,0.4376,0.3394,0.2831,0.35,joyful,0.454,0.0
0.225,N2,0.4272,0.3314,0.276,0.3004,curious,0.504,0.0
0.233333,N2,0.4391,0.3779,0.2561,0.2939,anxious,0.458,0.0
0.241667,N2,0.4609,0.3421,0.3243,0.3212,joyful,0.469,0.0
0.25,N2,0.4389,0.3253,0.3067,0.3158,anxious,0.441,0.0
0.258333,N2,0.4082,0.3631,0.2693,0.3469,neutral,0.441,0.0
0.266667,N2,0.4587,0.3186,0.2871,0.3178,neutral,0.47,0.0
0.275,N2,0.435,0.3339,0.2745,0.3291,melancholic,0.447,0.0
0.283333,N2,0.4589,0.3402,0.2992,0.3571,curious,0.498,0.0
0.291667,N2,0.4601,0.3329,0.2302,0.3199,anxious,0.433,0.0
0.3,N2,0.4411,0.3743,0.2776,0.3597,anxious,0.414,0.0
0.308333,N2,0.4755,0.3691,0.3,0.3327,neutral,0.502,0.0
0.316667,N2,0.4404,0.3373,0.2993,0.3294,neutral,0.499,0.0
0.325,N2,0.4654,0.3183,0.2875,0.3224,melancholic,0.436,0.0
0.333333,N2,0.4377,0.3158,0.3138,0.3179,neutral,0.454,0.0
0.341667,N2,0.4441,0.3587,0.3124,0.3226,anxious,0.476,0.0
0.35,N2,0.4556,0.332,0.2447,0.3552,joyful,0.453,0.0
0.358333,N2,0.4495,0.3196,0.3074,0.3426,fearful,0.465,0.0
0.366667,N2,0.4368,0.3262,0.2933,0.342,neutral,0.454,0.0
0.375,N2,0.4589,0.3323,0.2796,0.3141,anxious,0.42,0.0
0.383333,N2,0.4918,0.3463,0.2791,0.3173,anxious,0.487,0.0
0.391667,N2,0.4501,0.3,0.2639,0.3191,anxious,0.461,0.0
0.4,N2,0.487,0.3406,0.2542,0.3218,anxious,0.445,0.0
0.408333,N2,0.47,0.3485,0.2721,0.3022,serene,0.473,0.0
0.416667,N3,0.2851,0.2227,0.2177,0.3036,anxious,0.35,0.0
0.425,N3,0.2902,0.2339,0.149,0.3042,curious,0.35,0.0
0.433333,N3,0.2987,0.2188,0.1982,0.3209,fearful,0.35,0.0
0.441667,N3,0.322,0.2503,0.1992,0.3051,anxious,0.35,0.0
0.45,N3,0.3165,0.2252,0.1528,0.3286,melancholic,0.35,0.0
0.458333,N3,0.3041,0.2565,0.2182,0.3141,joyful,0.35,0.0
0.466667,N3,0.3306,0.2296,0.204,0.2941,melancholic,0.35,0.0
0.475,N3,0.3091,0.2279,0.2121,0.2944,anxious,0.35,0.0
