time_hours,node_id,node_label,activation
0.0,event::early_run,early run,0.4723
0.0,mem::cold_water,cold_water,0.4583
0.0,mem::childhood_home,childhood_home,0.4007
0.0,mem::joy,joy,0.3666
0.0,mem::familiar_face,familiar_face,0.3471
0.0,mem::being_late,being_late,0.3424
0.0,mem::bright_light,bright_light,0.303
0.0,mem::grief,grief,0.2941
0.0,mem::falling,falling,0.2892
0.0,mem::teeth_loosening,teeth_loosening,0.2854
0.0,mem::being_chased,being_chased,0.2758
0.0,event::sunrise_nap,sunrise nap,0.2664
0.083333,event::early_run,early run,0.6215
0.083333,mem::cold_water,cold_water,0.5823
0.083333,mem::joy,joy,0.5622
0.083333,mem::familiar_face,familiar_face,0.5514
0.083333,mem::childhood_home,childhood_home,0.5456
0.083333,mem::bright_light,bright_light,0.5267
0.083333,mem::being_late,being_late,0.5085
0.083333,event::sunrise_nap,sunrise nap,0.5059
0.083333,mem::grief,grief,0.4776
0.083333,mem::falling,falling,0.4745
0.083333,mem::teeth_loosening,teeth_loosening,0.4722
0.083333,mem::being_chased,being_chased,0.4659
0.166667,mem::cold_water,cold_water,0.6247
0.166667,event::early_run,early run,0.6199
0.166667,mem::childhood_home,childhood_home,0.5982
0.166667,mem::being_late,being_late,0.5713
0.166667,mem::joy,joy,0.5711
0.166667,mem::familiar_face,familiar_face,0.5621
0.166667,mem::grief,grief,0.5489
0.166667,mem::falling,falling,0.5465
0.166667,mem::teeth_loosening,teeth_loosening,0.5449
0.166667,mem::bright_light,bright_light,0.5418
0.166667,mem::being_chased,being_chased,0.5405
0.166667,mem::loud_crowd,loud_crowd,0.5329
0.25,event::early_run,early run,0.6824
0.25,mem::cold_water,cold_water,0.658
0.25,mem::joy,joy,0.6512
0.25,mem::familiar_face,familiar_face,0.6455
0.25,mem::childhood_home,childhood_home,0.6389
0.25,mem::bright_light,bright_light,0.6326
0.25,event::sunrise_nap,sunrise nap,0.6217
0.25,mem::being_late,being_late,0.6195
0.25,mem::grief,grief,0.6032
0.25,mem::falling,falling,0.6014
0.25,mem::teeth_loosening,teeth_loosening,0.6003
0.25,mem::flying,flying,0.5988
0.333333,mem::cold_water,cold_water,0.6762
0.333333,event::early_run,early run,0.67
0.333333,mem::childhood_home,childhood_home,0.6623
0.333333,mem::being_late,being_late,0.6482
0.333333,mem::joy,joy,0.6443
0.333333,mem::familiar_face,familiar_face,0.6397
0.333333,mem::grief,grief,0.6364
0.333333,mem::falling,falling,0.6352
0.333333,mem::teeth_loosening,teeth_loosening,0.6344
0.333333,mem::being_chased,being_chased,0.6321
0.333333,mem::bright_light,bright_light,0.629
0.333333,mem::loud_crowd,loud_crowd,0.6281
0.416667,mem::cold_water,cold_water,0.7571
0.416667,mem::childhood_home,childhood_home,0.7503
0.416667,mem::being_late,being_late,0.7435
0.416667,mem::grief,grief,0.7375
0.416667,mem::falling,falling,0.7369
0.416667,mem::teeth_loosening,teeth_loosening,0.7366
0.416667,mem::being_chased,being_chased,0.7354
0.416667,mem::loud_crowd,loud_crowd,0.7334
0.416667,mem::dread,dread,0.7283
0.416667,mem::school_corridor,school_corridor,0.7268
0.416667,event::early_run,early run,0.6877
0.416667,mem::joy,joy,0.6691
0.5,mem::cold_water,cold_water,0.7466
0.5,mem::childhood_home,childhood_home,0.7417
0.5,mem::being_late,being_late,0.7369
0.5,mem::grief,grief,0.7324
0.5,mem::falling,falling,0.7319
0.5,mem::teeth_loosening,teeth_loosening,0.7317
0.5,mem::being_chased,being_chased,0.7308
0.5,mem::loud_crowd,loud_crowd,0.7296
0.5,event::early_run,early run,0.7291
0.5,mem::dread,dread,0.7258
0.5,mem::school_corridor,school_corridor,0.7248
0.5,mem::joy,joy,0.7173
0.583333,mem::cold_water,cold_water,0.7412
0.583333,mem::childhood_home,childhood_home,0.7377
0.583333,mem::being_late,being_late,0.734
0.583333,event::early_run,early run,0.7312
0.583333,mem::grief,grief,0.7309
0.583333,mem::falling,falling,0.7304
0.583333,mem::teeth_loosening,teeth_loosening,0.7303
0.583333,mem::being_chased,being_chased,0.7297
0.583333,mem::loud_crowd,loud_crowd,0.729
0.583333,mem::dread,dread,0.7261
0.583333,mem::school_corridor,school_corridor,0.7253
0.583333,mem::joy,joy,0.7225
0.666667,event::early_run,early run,0.7512
0.666667,mem::joy,joy,0.7458
0.666667,mem::familiar_face,familiar_face,0.7448
0.666667,mem::bright_light,bright_light,0.7424
0.666667,event::sunrise_nap,sunrise nap,0.7405
0.666667,mem::flying,flying,0.7367
0.666667,mem::wonder,wonder,0.733
0.666667,mem::cold_water,cold_water,0.717
0.666667,mem::childhood_home,childhood_home,0.7141
0.666667,mem::being_late,being_late,0.711
0.666667,mem::grief,grief,0.7085
0.666667,mem::falling,falling,0.708
