time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.4691
0.0,event::design_discussion,design discussion,0.4014
0.0,mem::falling,falling,0.3854
0.0,mem::familiar_face,familiar_face,0.3564
0.0,mem::loud_crowd,loud_crowd,0.3394
0.0,mem::flying,flying,0.3298
0.0,mem::school_corridor,school_corridor,0.2452
0.0,mem::being_late,being_late,0.2359
0.0,mem::grief,grief,0.2265
0.0,mem::teeth_loosening,teeth_loosening,0.2216
0.0,mem::recurring_journey,recurring_journey,0.2089
0.0,mem::childhood_home,childhood_home,0.1967
0.833333,mem::falling,falling,0.3738
0.833333,event::code_review,code review,0.3579
0.833333,mem::loud_crowd,loud_crowd,0.3576
0.833333,event::design_discussion,design discussion,0.3308
0.833333,mem::school_corridor,school_corridor,0.3248
0.833333,mem::being_late,being_late,0.3214
0.833333,mem::grief,grief,0.3182
0.833333,mem::teeth_loosening,teeth_loosening,0.3164
0.833333,mem::familiar_face,familiar_face,0.313
0.833333,mem::childhood_home,childhood_home,0.3078
0.833333,mem::flying,flying,0.3025
0.833333,mem::being_chased,being_chased,0.2876
