time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4991,0.2698,0.2826,0.3402,neutral,0.348,0.0
0.083333,N2,0.4622,0.2992,0.2841,0.3264,neutral,0.453,0.0
0.166667,N2,0.4278,0.2948,0.2955,0.3458,neutral,0.437,0.0
0.25,N2,0.4756,0.2765,0.3006,0.3374,curious,0.402,0.0
0.333333,N3,0.2862,0.2362,0.2083,0.3387,joyful,0.35,0.0
0.416667,N3,0.3043,0.2182,0.2235,0.3328,neutral,0.35,0.0
0.5,N3,0.3123,0.2042,0.1876,0.3335,neutral,0.35,0.0
0.583333,N3,0.2948,0.2101,0.2266,0.2803,melancholic,0.35,0.0
0.666667,N3,0.3224,0.2279,0.1959,0.2815,curious,0.35,0.0
0.75,N3,0.3396,0.2171,0.2234,0.2815,fearful,0.35,0.0
0.833333,N3,0.341,0.2235,0.1927,0.2632,melancholic,0.35,0.0
0.916667,N2,0.4498,0.2718,0.257,0.2498,neutral,0.427,0.0
