time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.4267
0.0,mem::loud_crowd,loud_crowd,0.395
0.0,mem::childhood_home,childhood_home,0.3866
0.0,mem::cold_water,cold_water,0.3616
0.0,mem::wonder,wonder,0.3516
0.0,mem::school_corridor,school_corridor,0.2979
0.0,mem::being_late,being_late,0.2661
0.0,mem::teeth_loosening,teeth_loosening,0.2642
0.0,mem::joy,joy,0.2521
0.0,event::design_discussion,design discussion,0.251
0.0,mem::being_chased,being_chased,0.2451
0.0,mem::familiar_face,familiar_face,0.2422
0.833333,event::code_review,code review,0.3503
0.833333,mem::loud_crowd,loud_crowd,0.3393
0.833333,mem::childhood_home,childhood_home,0.3364
0.833333,mem::cold_water,cold_water,0.3276
0.833333,mem::school_corridor,school_corridor,0.3053
0.833333,mem::being_late,being_late,0.2941
0.833333,mem::teeth_loosening,teeth_loosening,0.2937
0.833333,mem::being_chased,being_chased,0.2869
0.833333,mem::grief,grief,0.2797
0.833333,mem::dread,dread,0.2488
0.833333,mem::falling,falling,0.2469
0.833333,mem::wonder,wonder,0.1806
