time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5115,0.2745,0.2618,0.347,joyful,0.436,0.0
0.008333,N1,0.4996,0.2744,0.3338,0.3227,anxious,0.42,0.0
0.016667,N1,0.4819,0.3137,0.2985,0.3265,anxious,0.375,0.0
0.025,N1,0.496,0.3168,0.3039,0.3486,anxious,0.408,0.0
0.033333,N1,0.526,0.3173,0.3315,0.308,anxious,0.397,0.0
0.041667,N1,0.5006,0.2852,0.3148,0.3405,melancholic,0.358,0.0
0.05,N1,0.5292,0.2927,0.2954,0.3513,serene,0.422,0.0
0.058333,N1,0.5221,0.3009,0.3072,0.334,anxious,0.416,0.0
0.066667,N1,0.4906,0.2852,0.3061,0.3693,anxious,0.492,0.0
0.075,N1,0.5106,0.3369,0.3012,0.3056,anxious,0.443,0.0
0.083333,N1,0.4829,0.2883,0.2755,0.3472,joyful,0.365,0.0
0.091667,N1,0.5248,0.3221,0.318,0.3534,melancholic,0.441,0.0
0.1,N3,0.2699,0.2038,0.1918,0.3104,joyful,0.35,0.0
0.108333,N3,0.2979,0.2259,0.2134,0.3629,anxious,0.35,0.0
0.116667,N2,0.4061,0.2878,0.2613,0.3275,curious,0.48,0.0
0.125,N2,0.385,0.2825,0.261,0.3418,anxious,0.43,0.0
0.133333,N2,0.4201,0.2879,0.2725,0.3795,curious,0.475,0.0
0.141667,N2,0.4839,0.2947,0.2577,0.3144,anxious,0.467,0.0
0.15,N2,0.4388,0.2786,0.2959,0.3027,anxious,0.518,0.0
0.158333,N2,0.4288,0.2682,0.2832,0.3549,serene,0.454,0.0
0.166667,N2,0.4176,0.2911,0.2639,0.3437,anxious,0.431,0.0
0.175,N2,0.4654,0.2873,0.2832,0.372,anxious,0.451,0.0
0.183333,N2,0.4569,0.2841,0.3005,0.3198,anxious,0.456,0.0
0.191667,N2,0.4432,0.269,0.2857,0.3265,anxious,0.471,0.0
0.2,N2,0.4745,0.3036,0.29,0.3391,anxious,0.506,0.0
0.208333,N2,0.4717,0.2537,0.2883,0.3438,anxious,0.476,0.0
0.216667,N2,0.458,0.2767,0.2978,0.3243,melancholic,0.452,0.0
0.225,N2,0.4347,0.2999,0.2904,0.3436,anxious,0.437,0.0
0.233333,N2,0.4621,0.3207,0.251,0.3378,anxious,0.494,0.0
0.241667,N2,0.4187,0.2733,0.2719,0.3118,anxious,0.396,0.0
0.25,N2,0.4502,0.2496,0.2817,0.3374,fearful,0.435,0.0
0.258333,N2,0.4312,0.3244,0.266,0.3297,joyful,0.403,0.0
0.266667,N2,0.4548,0.2479,0.2779,0.2927,melancholic,0.424,0.0
0.275,N2,0.4471,0.2764,0.2731,0.2997,anxious,0.431,0.0
0.283333,N2,0.4836,0.2466,0.2873,0.3308,curious,0.467,0.0
0.291667,N2,0.4322,0.2575,0.256,0.3385,anxious,0.428,0.0
0.3,N2,0.4315,0.2964,0.2682,0.3496,anxious,0.411,0.0
0.308333,N2,0.4419,0.2629,0.3062,0.351,anxious,0.422,0.0
0.316667,N2,0.4527,0.2758,0.2546,0.3037,anxious,0.413,0.0
0.325,N2,0.4506,0.2966,0.3057,0.3764,curious,0.414,0.0
0.333333,N2,0.4682,0.2621,0.2664,0.3369,fearful,0.488,0.0
0.341667,N2,0.4657,0.2859,0.2685,0.2918,anxious,0.51,0.0
0.35,N2,0.3976,0.2573,0.2738,0.3166,melancholic,0.479,0.0
0.358333,N2,0.4136,0.2838,0.2723,0.3143,anxious,0.455,0.0
0.366667,N2,0.4445,0.2979,0.2531,0.3345,anxious,0.447,0.0
0.375,N2,0.4044,0.2768,0.2752,0.314,anxious,0.419,0.0
0.383333,N2,0.4698,0.2895,0.3068,0.3276,anxious,0.446,0.0
0.391667,N2,0.4539,0.2785,0.2818,0.3284,anxious,0.46,0.0
0.4,N2,0.464,0.2507,0.2627,0.3038,anxious,0.443,0.0
0.408333,N2,0.4314,0.2867,0.2722,0.3379,anxious,0.456,0.0
0.416667,N2,0.4255,0.2789,0.2662,0.3449,anxious,0.426,0.0
0.425,N2,0.4625,0.276,0.2356,0.313,joyful,0.477,0.0
0.433333,N2,0.4695,0.2858,0.2908,0.3246,anxious,0.464,0.0
0.441667,N2,0.4122,0.3073,0.2839,0.3028,anxious,0.423,0.0
0.45,N2,0.4591,0.2614,0.2768,0.3059,fearful,0.47,0.0
0.458333,N2,0.4626,0.2744,0.2822,0.3179,anxious,0.432,0.0
0.466667,N2,0.446,0.2862,0.2701,0.3173,curious,0.431,0.0
0.475,N2,0.4544,0.3261,0.2774,0.3138,curious,0.492,0.0
0.483333,N2,0.4536,0.2819,0.2774,0.3336,fearful,0.51,0.0
0.491667,N2,0.4646,0.2672,0.2986,0.3376,fearful,0.415,0.0
0.5,N3,0.3256,0.1846,0.2211,0.2937,anxious,0.35,0.0
0.508333,N3,0.2896,0.1964,0.2092,0.3319,anxious,0.35,0.0
0.516667,N3,0.2962,0.2019,0.2335,0.334,anxious,0.35,0.0
0.525,N3,0.3351,0.1856,0.2318,0.3226,anxious,0.35,0.0
0.533333,N3,0.2874,0.2174,0.2014,0.3189,fearful,0.35,0.0
0.541667,N3,0.3139,0.2029,0.1849,0.2881,anxious,0.35,0.0
0.55,N3,0.2964,0.1692,0.1955,0.3374,anxious,0.35,0.0
0.558333,N3,0.2928,0.1728,0.1862,0.2785,fearful,0.35,0.0
0.566667,N3,0.2935,0.1972,0.2003,0.3081,anxious,0.35,0.0
0.575,N3,0.2932,0.1929,0.238,0.3093,neutral,0.35,0.0
0.583333,N3,0.2751,0.2228,0.2215,0.3138,anxious,0.35,0.0
0.591667,N3,0.3138,0.189,0.2124,0.2987,anxious,0.35,0.0
0.6,N3,0.2986,0.1896,0.193,0.3024,joyful,0.35,0.0
0.608333,N3,0.2983,0.1736,0.2092,0.2911,anxious,0.35,0.0
0.616667,N3,0.2705,0.2333,0.209,0.3313,curious,0.35,0.0
0.625,N3,0.298,0.1872,0.2257,0.2712,anxious,0.35,0.0
0.633333,N3,0.2573,0.1829,0.2145,0.3306,anxious,0.35,0.0
0.641667,N3,0.3082,0.2201,0.2033,0.2893,melancholic,0.35,0.0
0.65,N3,0.2796,0.2185,0.2243,0.3204,neutral,0.35,0.0
0.658333,N3,0.3187,0.1991,0.1761,0.2863,anxious,0.35,0.0
0.666667,N3,0.2986,0.2155,0.2074,0.3048,anxious,0.35,0.0
0.675,N3,0.2974,0.1554,0.1535,0.2864,anxious,0.35,0.0
0.683333,N3,0.2853,0.2038,0.2321,0.3053,melancholic,0.35,0.0
0.691667,N3,0.2962,0.1686,0.2013,0.2795,anxious,0.35,0.0
0.7,N3,0.2945,0.2144,0.2421,0.2746,anxious,0.35,0.0
0.708333,N3,0.3244,0.1924,0.1893,0.2837,neutral,0.35,0.0
0.716667,N3,0.2878,0.2143,0.169,0.2865,anxious,0.35,0.0
0.725,N3,0.2931,0.231,0.1973,0.28,anxious,0.35,0.0
0.733333,N3,0.3117,0.1699,0.2138,0.2756,anxious,0.35,0.0
0.741667,N3,0.3296,0.2029,0.2017,0.3123,melancholic,0.35,0.0
0.75,N3,0.2702,0.1725,0.2001,0.2711,anxious,0.35,0.0
0.758333,N3,0.3039,0.2245,0.2073,0.26,anxious,0.35,0.0
0.766667,N3,0.2999,0.1957,0.1946,0.2955,anxious,0.35,0.0
0.775,N3,0.2958,0.1908,0.1806,0.3021,anxious,0.35,0.0
0.783333,N3,0.2735,0.2378,0.1709,0.3141,joyful,0.35,0.0
0.791667,N3,0.3277,0.2549,0.2102,0.2842,anxious,0.35,0.0
0.8,N3,0.3234,0.2035,0.2218,0.2843,anxious,0.35,0.0
0.808333,N3,0.3216,0.2018,0.1956,0.2811,anxious,0.35,0.0
0.816667,N3,0.2852,0.1641,0.2281,0.2959,fearful,0.35,0.0
0.825,N3,0.2495,0.2206,0.1866,0.2799,curious,0.35,0.0
